Created as New Dataset,Sample 436 By Analyst Date Tuesday, June 13 2023
cm-1,%T
4000.00,100.02
3999.00,100.02
3998.00,100.02
3997.00,100.02
3996.00,100.02
3995.00,100.02
3994.00,100.01
3993.00,100.01
3992.00,100.00
3991.00,100.00
3990.00,100.00
3989.00,100.00
3988.00,100.00
3987.00,100.00
3986.00,100.00
3985.00,100.00
3984.00,100.00
3983.00,100.00
3982.00,100.00
3981.00,100.00
3980.00,99.99
3979.00,99.99
3978.00,99.98
3977.00,99.98
3976.00,99.98
3975.00,99.98
3974.00,99.98
3973.00,99.98
3972.00,99.98
3971.00,99.97
3970.00,99.97
3969.00,99.97
3968.00,99.97
3967.00,99.97
3966.00,99.97
3965.00,99.96
3964.00,99.95
3963.00,99.95
3962.00,99.94
3961.00,99.94
3960.00,99.94
3959.00,99.94
3958.00,99.95
3957.00,99.95
3956.00,99.95
3955.00,99.95
3954.00,99.95
3953.00,99.94
3952.00,99.94
3951.00,99.94
3950.00,99.94
3949.00,99.94
3948.00,99.94
3947.00,99.93
3946.00,99.91
3945.00,99.91
3944.00,99.90
3943.00,99.90
3942.00,99.91
3941.00,99.92
3940.00,99.92
3939.00,99.93
3938.00,99.92
3937.00,99.92
3936.00,99.92
3935.00,99.91
3934.00,99.92
3933.00,99.92
3932.00,99.91
3931.00,99.91
3930.00,99.91
3929.00,99.90
3928.00,99.89
3927.00,99.89
3926.00,99.89
3925.00,99.89
3924.00,99.89
3923.00,99.89
3922.00,99.89
3921.00,99.88
3920.00,99.88
3919.00,99.88
3918.00,99.89
3917.00,99.89
3916.00,99.89
3915.00,99.90
3914.00,99.90
3913.00,99.91
3912.00,99.91
3911.00,99.92
3910.00,99.92
3909.00,99.91
3908.00,99.89
3907.00,99.87
3906.00,99.85
3905.00,99.83
3904.00,99.81
3903.00,99.79
3902.00,99.78
3901.00,99.78
3900.00,99.78
3899.00,99.79
3898.00,99.80
3897.00,99.82
3896.00,99.83
3895.00,99.84
3894.00,99.84
3893.00,99.85
3892.00,99.86
3891.00,99.85
3890.00,99.84
3889.00,99.83
3888.00,99.83
3887.00,99.82
3886.00,99.81
3885.00,99.80
3884.00,99.79
3883.00,99.79
3882.00,99.80
3881.00,99.80
3880.00,99.80
3879.00,99.81
3878.00,99.82
3877.00,99.83
3876.00,99.82
3875.00,99.81
3874.00,99.80
3873.00,99.80
3872.00,99.80
3871.00,99.80
3870.00,99.79
3869.00,99.77
3868.00,99.77
3867.00,99.77
3866.00,99.77
3865.00,99.77
3864.00,99.78
3863.00,99.79
3862.00,99.81
3861.00,99.82
3860.00,99.82
3859.00,99.81
3858.00,99.79
3857.00,99.77
3856.00,99.75
3855.00,99.74
3854.00,99.73
3853.00,99.71
3852.00,99.69
3851.00,99.70
3850.00,99.72
3849.00,99.75
3848.00,99.78
3847.00,99.81
3846.00,99.83
3845.00,99.84
3844.00,99.85
3843.00,99.84
3842.00,99.83
3841.00,99.81
3840.00,99.79
3839.00,99.78
3838.00,99.76
3837.00,99.75
3836.00,99.75
3835.00,99.76
3834.00,99.77
3833.00,99.79
3832.00,99.81
3831.00,99.83
3830.00,99.84
3829.00,99.85
3828.00,99.86
3827.00,99.86
3826.00,99.86
3825.00,99.85
3824.00,99.84
3823.00,99.83
3822.00,99.82
3821.00,99.80
3820.00,99.79
3819.00,99.78
3818.00,99.79
3817.00,99.79
3816.00,99.79
3815.00,99.80
3814.00,99.82
3813.00,99.84
3812.00,99.86
3811.00,99.86
3810.00,99.87
3809.00,99.88
3808.00,99.88
3807.00,99.87
3806.00,99.86
3805.00,99.84
3804.00,99.84
3803.00,99.83
3802.00,99.82
3801.00,99.80
3800.00,99.80
3799.00,99.82
3798.00,99.83
3797.00,99.84
3796.00,99.86
3795.00,99.88
3794.00,99.90
3793.00,99.91
3792.00,99.92
3791.00,99.93
3790.00,99.94
3789.00,99.95
3788.00,99.96
3787.00,99.96
3786.00,99.96
3785.00,99.95
3784.00,99.95
3783.00,99.94
3782.00,99.94
3781.00,99.94
3780.00,99.94
3779.00,99.94
3778.00,99.94
3777.00,99.95
3776.00,99.95
3775.00,99.95
