TITLE,PTSA_KBr
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,matsulab
DATE,24/01/19
TIME,16:43:55
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  399.1927
LASTX, 4000.6047
NPOINTS,    3736
FIRSTY,     0.05140
MAXY,     0.05159
MINY,     0.00100
XYDATA
399.1927,0.0513991
400.1569,0.0408595
401.1211,0.0256068
402.0854,0.0124346
403.0496,0.00416561
404.0138,0.001
404.9781,0.00192512
405.9423,0.00548667
406.9065,0.0101668
407.8708,0.014613
408.8350,0.0178182
409.7992,0.0192803
410.7635,0.0191296
411.7277,0.0181116
412.6919,0.0172969
413.6562,0.0176398
414.6204,0.0196897
415.5846,0.0235228
416.5489,0.0286148
417.5131,0.0334459
418.4773,0.035521
419.4416,0.033285
420.4058,0.0281861
421.3700,0.0230058
422.3343,0.0193115
423.2985,0.0173143
424.2627,0.0166364
425.2270,0.0167558
426.1912,0.0171756
427.1554,0.0175129
428.1197,0.0175393
429.0839,0.0171811
430.0481,0.0165236
431.0124,0.0158194
431.9766,0.0154405
432.9408,0.0157235
433.9051,0.0167631
434.8693,0.0183015
435.8335,0.0198475
436.7978,0.0209987
437.7620,0.0217131
438.7262,0.0222909
439.6905,0.0230953
440.6547,0.0242337
441.6189,0.0253976
442.5832,0.02598
443.5474,0.0254579
444.5116,0.023781
445.4759,0.0214107
446.4401,0.0189858
447.4043,0.0169598
448.3686,0.0154823
449.3328,0.0145014
450.2970,0.0139177
451.2613,0.0136572
452.2255,0.0136377
453.1897,0.0137137
454.1540,0.0137029
455.1182,0.0135159
456.0824,0.0133113
457.0467,0.013528
458.0109,0.0146268
458.9751,0.0166248
459.9394,0.018929
460.9036,0.0207329
461.8678,0.0215223
462.8321,0.0212619
463.7963,0.0203116
464.7605,0.0192226
465.7248,0.0184803
466.6890,0.018301
467.6532,0.0186214
468.6175,0.0192688
469.5817,0.0201244
470.5459,0.0211292
471.5102,0.0221516
472.4744,0.0228857
473.4386,0.0229712
474.4029,0.0222697
475.3671,0.0209883
476.3313,0.0195258
477.2956,0.0182263
478.2598,0.0172319
479.2240,0.0164905
480.1883,0.0158871
481.1525,0.0154047
482.1167,0.0151948
483.0810,0.0154826
484.0452,0.0163545
485.0094,0.017592
485.9737,0.0187243
486.9379,0.0192757
487.9021,0.0189987
488.8664,0.0179501
489.8306,0.0164437
490.7948,0.0149542
491.7591,0.013982
492.7233,0.0138827
493.6875,0.014723
494.6518,0.0162572
495.6160,0.0180439
496.5802,0.0196332
497.5445,0.0207204
498.5087,0.0212136
499.4729,0.021216
500.4372,0.0209522
501.4014,0.0206604
502.3656,0.0204794
503.3299,0.020384
504.2941,0.0202145
505.2583,0.019776
506.2226,0.018933
507.1868,0.0176632
508.1510,0.0160739
509.1153,0.0143813
510.0795,0.0128491
511.0437,0.0117046
512.0080,0.0110753
512.9722,0.0109749
513.9365,0.0113302
514.9007,0.0120229
515.8649,0.012922
516.8292,0.0138972
517.7934,0.0148218
518.7576,0.0155862
519.7219,0.0161296
520.6861,0.0164661
521.6503,0.0166761
522.6146,0.0168625
523.5788,0.0170866
524.5430,0.0173006
525.5073,0.0173238
526.4715,0.0169262
527.4357,0.0160043
528.4000,0.0147017
529.3642,0.0133571
530.3284,0.0123281
531.2927,0.0118191
532.2569,0.0117924
533.2211,0.0120025
534.1854,0.0121463
535.1496,0.0120489
536.1138,0.0117547
537.0781,0.0114637
538.0423,0.0113721
539.0065,0.0115496
539.9708,0.0119324
540.9350,0.0124112
541.8992,0.0129223
542.8635,0.013469
543.8277,0.0140718
544.7919,0.0147061
545.7562,0.0152913
546.7204,0.0157476
547.6846,0.0160723
548.6489,0.0163666
549.6131,0.0167823
550.5773,0.0174296
551.5416,0.018312
552.5058,0.0193288
553.4700,0.020331
554.4343,0.0211835
555.3985,0.0217961
556.3627,0.0221194
557.3270,0.0221338
558.2912,0.0218597
559.2554,0.0213921
560.2197,0.0209299
561.1839,0.0207552
562.1481,0.0211466
563.1124,0.0222578
564.0766,0.0240278
565.0408,0.0261803
566.0051,0.0283141
566.9693,0.0300411
567.9335,0.0311124
568.8978,0.0314802
569.8620,0.0312667
570.8262,0.0306641
571.7905,0.0298389
572.7547,0.0288973
573.7189,0.0279073
574.6832,0.0269302
575.6474,0.0260241
576.6116,0.0252209
577.5759,0.0245058
578.5401,0.0238274
579.5043,0.0231316
580.4686,0.0223871
581.4328,0.0215863
582.3970,0.0207285
583.3613,0.0198092
584.3255,0.0188285
585.2897,0.0178124
586.2540,0.0168212
587.2182,0.0159357
588.1824,0.0152311
589.1467,0.0147537
590.1109,0.0145097
591.0751,0.0144604
592.0394,0.0145194
593.0036,0.0145656
593.9678,0.0144804
594.9321,0.0142007
595.8963,0.0137582
596.8605,0.0132792
597.8248,0.0129341
598.7890,0.0128509
599.7532,0.0130313
600.7175,0.0133322
601.6817,0.0135435
602.6459,0.0135166
603.6102,0.013257
604.5744,0.0129165
605.5386,0.0126943
606.5029,0.0127086
607.4671,0.0129199
608.4313,0.0131533
609.3956,0.0132028
610.3598,0.0129537
611.3240,0.0124425
612.2883,0.0118237
613.2525,0.0112746
614.2167,0.010907
615.1810,0.010732
616.1452,0.0106797
617.1094,0.0106509
618.0737,0.0105723
619.0379,0.0104273
620.0021,0.0102521
620.9664,0.0101103
621.9306,0.0100671
622.8948,0.010166
623.8591,0.0104079
624.8233,0.0107395
625.7875,0.0110718
626.7518,0.0113322
627.7160,0.0115171
628.6802,0.0117009
629.6445,0.0119915
630.6087,0.012457
