TITLE,TT-(TII-CHO)2_KBr
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,matsulab
DATE,24/01/19
TIME,16:26:23
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  399.1927
LASTX, 4000.6047
NPOINTS,    3736
FIRSTY,     0.05741
MAXY,     0.11824
MINY,     0.00100
XYDATA
399.1927,0.0574121
400.1569,0.0344544
401.1211,0.0164751
402.0854,0.00603854
403.0496,0.00178801
404.0138,0.001
404.9781,0.00121714
405.9423,0.00129487
406.9065,0.00166389
407.8708,0.00354098
408.8350,0.00760462
409.7992,0.0131478
410.7635,0.018301
411.7277,0.0211862
412.6919,0.0211603
413.6562,0.0191035
414.6204,0.0166584
415.5846,0.015309
416.5489,0.0158463
417.5131,0.0179855
418.4773,0.0200921
419.4416,0.0201306
420.4058,0.01774
421.3700,0.0142577
422.3343,0.0109414
423.2985,0.00832278
424.2627,0.00660258
425.2270,0.00601774
426.1912,0.00683806
427.1554,0.00909836
428.1197,0.0123666
429.0839,0.0157739
430.0481,0.018311
431.0124,0.0192606
431.9766,0.0185512
432.9408,0.0167868
433.9051,0.0148911
434.8693,0.0135975
435.8335,0.0131346
436.7978,0.0132989
437.7620,0.0137977
438.7262,0.0145313
439.6905,0.0155983
440.6547,0.0170794
441.6189,0.0187923
442.5832,0.0202148
443.5474,0.0206869
444.5116,0.019795
445.4759,0.0176291
446.4401,0.0147133
447.4043,0.0117437
448.3686,0.00936652
449.3328,0.00805764
450.2970,0.00802753
451.2613,0.00912511
452.2255,0.0108331
453.1897,0.0124541
454.1540,0.0134273
455.1182,0.0135979
456.0824,0.013307
457.0467,0.0132342
458.0109,0.0139517
458.9751,0.0154255
459.9394,0.0170092
460.9036,0.0180037
461.8678,0.018145
462.8321,0.0176481
463.7963,0.0169824
464.7605,0.0165926
465.7248,0.0166714
466.6890,0.0170924
467.6532,0.0175536
468.6175,0.0178044
469.5817,0.0177678
470.5459,0.0175051
471.5102,0.0170978
472.4744,0.0165642
473.4386,0.0158851
474.4029,0.0150919
475.3671,0.0142913
476.3313,0.0135855
477.2956,0.0129769
478.2598,0.012346
479.2240,0.0115294
480.1883,0.0104562
481.1525,0.00925271
482.1167,0.00822907
483.0810,0.00773602
484.0452,0.00796426
485.0094,0.00882329
485.9737,0.010008
486.9379,0.011197
487.9021,0.0121982
488.8664,0.0129453
489.8306,0.0134178
490.7948,0.0136008
491.7591,0.0135322
492.7233,0.0133739
493.6875,0.0133964
494.6518,0.0138393
495.6160,0.0147563
496.5802,0.0159804
497.5445,0.0172399
498.5087,0.0183362
499.4729,0.0192645
500.4372,0.0201961
501.4014,0.0213064
502.3656,0.0225412
503.3299,0.0235164
504.2941,0.0236851
505.2583,0.0226563
506.2226,0.0204274
507.1868,0.0174088
508.1510,0.0142643
509.1153,0.0116486
510.0795,0.00996213
511.0437,0.00925258
512.0080,0.00930366
512.9722,0.00981615
513.9365,0.0105518
514.9007,0.0113769
515.8649,0.0122202
516.8292,0.0130001
517.7934,0.0135869
518.7576,0.0138448
519.7219,0.0137203
520.6861,0.0132781
521.6503,0.0126497
522.6146,0.011951
523.5788,0.0112316
524.5430,0.0104728
525.5073,0.00963157
526.4715,0.00871161
527.4357,0.00780841
528.4000,0.00707929
529.3642,0.0066598
530.3284,0.00659159
531.2927,0.00679987
532.2569,0.00712402
533.2211,0.00739099
534.1854,0.00750044
535.1496,0.00747014
536.1138,0.0074079
537.0781,0.00743064
538.0423,0.0075908
539.0065,0.00785766
539.9708,0.00815459
540.9350,0.00841318
541.8992,0.00860182
542.8635,0.00871584
543.8277,0.00874817
544.7919,0.00867069
545.7562,0.00844373
546.7204,0.00804757
547.6846,0.00751288
548.6489,0.00692776
549.6131,0.00641486
550.5773,0.00608921
551.5416,0.00601492
552.5058,0.0061778
553.4700,0.00648625
554.4343,0.00680526
555.3985,0.00701508
556.3627,0.00706774
557.3270,0.00700557
558.2912,0.00692329
559.2554,0.00689531
560.2197,0.00692065
561.1839,0.00692929
562.1481,0.00684781
563.1124,0.00667289
564.0766,0.00648892
565.0408,0.00640828
566.0051,0.00647641
566.9693,0.00661326
567.9335,0.00664157
568.8978,0.00639445
569.8620,0.00583008
570.8262,0.00506503
571.7905,0.00430755
572.7547,0.00375681
573.7189,0.00353892
574.6832,0.00369476
575.6474,0.00419526
576.6116,0.00495904
577.5759,0.00586573
578.5401,0.00677185
579.5043,0.00753827
580.4686,0.00806778
581.4328,0.00833832
582.3970,0.0084095
583.3613,0.008389
584.3255,0.00837267
585.2897,0.0083965
586.2540,0.00843293
587.2182,0.0084298
588.1824,0.0083604
589.1467,0.008251
590.1109,0.00817132
591.0751,0.00819517
592.0394,0.0083535
593.0036,0.00861002
593.9678,0.00887781
594.9321,0.00906485
595.8963,0.00911613
596.8605,0.00903112
597.8248,0.00885624
598.7890,0.00866015
599.7532,0.00850074
600.7175,0.00839832
601.6817,0.00833202
602.6459,0.00826311
603.6102,0.00816917
604.5744,0.00806452
605.5386,0.00799272
606.5029,0.00799643
607.4671,0.00808672
608.4313,0.00823554
609.3956,0.00839785
610.3598,0.00854569
611.3240,0.00868516
612.2883,0.00883889
613.2525,0.00900518
614.2167,0.00912564
615.1810,0.00909058
616.1452,0.00879262
617.1094,0.00820693
618.0737,0.00744065
619.0379,0.00669531
620.0021,0.00615977
620.9664,0.00591881
621.9306,0.0059341
622.8948,0.00608499
623.8591,0.00623347
624.8233,0.00628813
625.7875,0.00624556
626.7518,0.00618813
627.7160,0.00623789
628.6802,0.00649515
629.6445,0.00699561
