TITLE,p(TT-TII-PD)_KBr
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,matsulab
DATE,24/01/19
TIME,15:36:17
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  399.1927
LASTX, 4000.6047
NPOINTS,    3736
FIRSTY,     0.04422
MAXY,     0.66816
MINY,     0.00100
XYDATA
399.1927,0.0442229
400.1569,0.0300405
401.1211,0.0162551
402.0854,0.00703639
403.0496,0.00329418
404.0138,0.00391406
404.9781,0.00683873
405.9423,0.0100219
406.9065,0.0123266
407.8708,0.0139257
408.8350,0.0158069
409.7992,0.0187394
410.7635,0.0225163
411.7277,0.0260052
412.6919,0.0279392
413.6562,0.0277703
414.6204,0.0258974
415.5846,0.0233161
416.5489,0.0211878
417.5131,0.0204768
418.4773,0.0213779
419.4416,0.0228475
420.4058,0.0234641
421.3700,0.0228187
422.3343,0.02145
423.2985,0.0201164
424.2627,0.0194803
425.2270,0.0200007
426.1912,0.0217562
427.1554,0.0243118
428.1197,0.0268442
429.0839,0.0285059
430.0481,0.0288295
431.0124,0.0279705
431.9766,0.0266429
432.9408,0.025735
433.9051,0.0258085
434.8693,0.026803
435.8335,0.0281481
436.7978,0.0292054
437.7620,0.0296758
438.7262,0.0296564
439.6905,0.029397
440.6547,0.0290439
441.6189,0.0285689
442.5832,0.0278878
443.5474,0.0270308
444.5116,0.026188
445.4759,0.025587
446.4401,0.0253505
447.4043,0.0254774
448.3686,0.0259241
449.3328,0.0266604
450.2970,0.0276275
451.2613,0.0286452
452.2255,0.0293941
453.1897,0.029551
454.1540,0.0290014
455.1182,0.0279799
456.0824,0.0270319
457.0467,0.026742
458.0109,0.0272775
458.9751,0.0281231
459.9394,0.028456
460.9036,0.0278554
461.8678,0.0265911
462.8321,0.0253746
463.7963,0.0249183
464.7605,0.0255261
465.7248,0.0268806
466.6890,0.0282215
467.6532,0.0288668
468.6175,0.0286705
469.5817,0.0280649
470.5459,0.0277196
471.5102,0.028067
472.4744,0.0290082
473.4386,0.0300795
474.4029,0.0309626
475.3671,0.0317727
476.3313,0.0328329
477.2956,0.0342483
478.2598,0.0356896
479.2240,0.0365403
480.1883,0.036315
481.1525,0.0350586
482.1167,0.0334163
483.0810,0.0322939
484.0452,0.032307
485.0094,0.0333867
485.9737,0.0348542
486.9379,0.0359031
487.9021,0.0360688
488.8664,0.0353739
489.8306,0.0341971
490.7948,0.0330462
491.7591,0.0323472
492.7233,0.0322998
493.6875,0.0328449
494.6518,0.0337449
495.6160,0.0347125
496.5802,0.0355114
497.5445,0.036003
498.5087,0.0361599
499.4729,0.0360743
500.4372,0.0359564
501.4014,0.0360772
502.3656,0.036619
503.3299,0.0374968
504.2941,0.0383051
505.2583,0.0384778
506.2226,0.037572
507.1868,0.0355195
508.1510,0.0327095
509.1153,0.0298253
510.0795,0.0274966
511.0437,0.0259938
512.0080,0.0251831
512.9722,0.0247426
513.9365,0.0244512
514.9007,0.0243508
515.8649,0.0246857
516.8292,0.0256506
517.7934,0.0271087
518.7576,0.0285464
519.7219,0.0293887
520.6861,0.0293955
521.6503,0.0287621
522.6146,0.0279084
523.5788,0.0271988
524.5430,0.0267536
525.5073,0.0264171
526.4715,0.0259138
527.4357,0.0251099
528.4000,0.0241556
529.3642,0.0233783
530.3284,0.0230521
531.2927,0.0232299
532.2569,0.0237235
533.2211,0.0242233
534.1854,0.02449
535.1496,0.0244946
536.1138,0.0244085
537.0781,0.024464
538.0423,0.0248034
539.0065,0.0254266
539.9708,0.0262488
540.9350,0.027192
541.8992,0.0282201
542.8635,0.0292958
543.8277,0.0303127
544.7919,0.0310821
545.7562,0.0314084
546.7204,0.0312124
547.6846,0.0306071
548.6489,0.029859
549.6131,0.0292576
550.5773,0.0289853
551.5416,0.0290667
552.5058,0.0294084
553.4700,0.0298773
554.4343,0.0303587
555.3985,0.0307761
556.3627,0.03109
557.3270,0.0313089
558.2912,0.0315137
559.2554,0.0318673
560.2197,0.0325721
561.1839,0.0337738
562.1481,0.0354548
563.1124,0.037386
564.0766,0.0391816
565.0408,0.040438
566.0051,0.0408815
566.9693,0.0404564
567.9335,0.0393215
568.8978,0.0377684
569.8620,0.0361026
570.8262,0.0345529
571.7905,0.0332519
572.7547,0.0322707
573.7189,0.0316556
574.6832,0.0314268
575.6474,0.0315469
576.6116,0.0319003
577.5759,0.0323217
578.5401,0.0326656
579.5043,0.0328701
580.4686,0.032974
581.4328,0.0330847
582.3970,0.0333159
583.3613,0.0337254
584.3255,0.0342817
585.2897,0.0348778
586.2540,0.0353884
587.2182,0.0357417
588.1824,0.0359677
589.1467,0.0361948
590.1109,0.0365894
591.0751,0.0372624
592.0394,0.0381937
593.0036,0.0392399
593.9678,0.0402336
594.9321,0.0410971
595.8963,0.041876
596.8605,0.0426673
597.8248,0.0435025
598.7890,0.0442661
599.7532,0.0447178
600.7175,0.0446192
601.6817,0.0438855
602.6459,0.0426544
603.6102,0.0412299
604.5744,0.0399486
605.5386,0.039045
606.5029,0.0385763
607.4671,0.0384291
608.4313,0.0383971
609.3956,0.0382851
610.3598,0.0379939
611.3240,0.0375459
612.2883,0.0370456
613.2525,0.0366051
614.2167,0.0362788
615.1810,0.0360427
616.1452,0.0358238
617.1094,0.0355616
618.0737,0.0352625
619.0379,0.0350037
620.0021,0.0348829
620.9664,0.0349583
621.9306,0.0352234
622.8948,0.0356177
623.8591,0.0360588
624.8233,0.0364785
625.7875,0.0368533
626.7518,0.037214
627.7160,0.0376248
628.6802,0.0381428
629.6445,0.0387766
630.6087,0.0394635
