ファイル名,閾値電圧 (V),移動度 (cm^2/V s),I_off,I_on,I_on/I_off
A1HYS_FET - Clarius,-19.89981698118227,0.006407987407305714,9.78319647515491e-10,5.49749483980122e-06,5619.323759634677
A1_FET - Clarius,8.215895403399308,0.03175967138869592,2.4390014452535524e-09,2.009021227422636e-05,8237.064522172857
A2_FET - Clarius,29.33771506089758,0.017304120495299842,1.2063252086136345e-07,1.804689054552e-05,149.6022002745042
A3_FET - Clarius,21.32383611889527,0.01635425951304445,4.404362030641096e-08,1.5343748600571416e-05,348.376189192104
A4_FET - Clarius,17.525929340680218,0.013805830840654391,1.6290471194224665e-08,1.2684761713899206e-05,778.6614372699199
A5_FET - Clarius,15.184280841350262,0.013681890080955371,8.925353789379642e-09,1.174807948700618e-05,1316.259250247909
B1_FET - Clarius,-6.707350818758877,0.018103669384725664,7.927446254996084e-09,1.2529028936114628e-05,1580.4621732021842
B2_FET - Clarius,-5.944084267657822,0.017682899070996176,6.893386750306263e-09,1.2432825315045193e-05,1803.587375174158
B3_FET - Clarius,-2.0245062116091788,0.01729142718705545,5.867966113015655e-09,1.2855054592364468e-05,2190.7172510507257
B4_FET - Clarius,-3.5219507362711684,0.018343474265300575,4.985001300639169e-09,1.2922263522341382e-05,2592.2287163063547
B5_FET - Clarius,-3.1399797499111153,0.019814326189243336,4.6827510757907476e-09,1.3494651284418069e-05,2881.7784814964375
C1_FET - Clarius,-9.123212692683296,0.016633794801009835,8.177404531295451e-09,1.0993813702953048e-05,1344.4135802355158
C2_FET - Clarius,-2.2818596097149846,0.008103481868851905,7.292567882899448e-09,6.553729235747596e-06,898.6860788935026
C3_FET - Clarius,-4.021111847400234,0.006450998163652568,6.0802736179255135e-09,5.213270014792215e-06,857.4071402679564
D3_FET - Clarius,-9.346766315364011,0.0142157050900121,8.206980872671465e-09,1.0156075404665899e-05,1237.4922717908055
D4_FET - Clarius,-1.6314137251462084,0.008388681857773153,3.3496987406067547e-09,6.444236078095855e-06,1923.825566751882
D5_FET - Clarius,6.849122511495413,0.008126089998875164,3.1556881552319282e-09,6.849511464679381e-06,2170.5286225203627
平均値,1.8114544894716986,0.0148510769178501,1.5289908972913306e-08,1.1403273353661301e-05,2113.55380096952
標準偏差,12.769775584719172,0.006304604236480323,2.88388189332747e-08,4.270315911855108e-06,2013.0202899136941
