ファイル名,閾値電圧 (V),移動度 (cm^2/V s),I_off,I_on,I_on/I_off
A1_FET - Clarius,42.86637222552387,0.007564114501182836,5.240277101137281e-10,1.2433672054612543e-05,23727.12704813664
A2_FET - Clarius,32.40168992392648,0.011536072354833019,1.2930826187584898e-08,1.4413623830478173e-05,1114.6715315311355
A3_FET - Clarius,40.82424583349663,0.010747257030697838,1.1909471631099677e-08,1.5946992789395154e-05,1339.0176561445544
A4_FET - Clarius,39.974918436155804,0.009594774516801224,8.373989501819779e-09,1.4595475477108266e-05,1742.9536392344983
B2_FET - Clarius,38.41346537116623,0.008313541571511011,7.919276900913985e-10,1.2830651940021198e-05,16201.797336497197
B3_FET - Clarius,39.62571040204883,0.01060478269487128,1.013890926770955e-08,1.5195616470009554e-05,1498.742721606616
C1_FET - Clarius,10.683492215272679,0.02579721614258823,2.3924529024554886e-09,1.6067149772425182e-05,6715.764291925956
C2_FET - Clarius,22.37157872143436,0.012814530159423033,2.807091503687076e-10,1.2323024748184253e-05,43899.61898996926
C4_FET - Clarius,36.14818573759977,0.008390946720721963,1.1968378510474054e-09,1.174052340502385e-05,9809.619068071086
D1_FET - Clarius,22.91725698159443,0.016791483439044085,1.4338939757774227e-10,1.3713036423723679e-05,95634.93992844765
D2_FET - Clarius,27.77014368970192,0.013920495799793067,1.9482589763697433e-08,1.501923816249473e-05,770.9056313694283
D3_FET - Clarius,35.574457955216666,0.011519484995173721,2.126582998585036e-08,1.5079314835020341e-05,709.086588440407
平均値,32.46429312442814,0.012299558327220109,7.452580086618013e-09,1.4113193325708076e-05,16930.35370261453
標準偏差,9.69477515729519,0.004978462513115424,7.719136525220917e-09,1.47369863859999e-06,27976.934254577576
