ファイル名,閾値電圧 (V),移動度 (cm^2/V s),I_off,I_on,I_on/I_off
A1_FET - Clarius,-6.584382130510078,0.011923056229955056,1.508555769191844e-08,6.154202310426626e-06,407.9532514547689
A2_FET - Clarius,-15.120858533172873,0.0059608231736019085,2.055190462257883e-09,3.247652784921229e-06,1580.2198601842854
A3_FET - Clarius,7.440225195617813,0.007064476670543272,2.1877610834053485e-09,5.044935733167222e-06,2305.9811107502437
A4_FET - Clarius,8.910413204097242,0.006391874760011149,3.055738329038604e-09,4.807524419447873e-06,1573.2775197935273
B2_FET - Clarius,5.725808193048956,0.010500959306201018,3.173258766864251e-09,5.796426194137894e-06,1826.6478153831126
B3_FET - Clarius,-11.455221669167686,0.009642445564144769,3.8097693888516915e-09,3.7223367144179065e-06,977.0504023971545
C1_FET - Clarius,-1.6663654325650599,0.009431841783092261,7.307728644434519e-09,4.795480890606996e-06,656.2204378318258
C2_FET - Clarius,2.921792413889724,0.004859548943349173,1.314877984270879e-09,3.0988639991846867e-06,2356.7692487474847
C4_FET - Clarius,4.154974820851397,0.010252622266983572,2.1369737090992658e-09,4.997098130843369e-06,2338.399442897052
D1_FET - Clarius,-17.530869145578276,0.004216184107113539,3.723526348364814e-11,2.9234042813186534e-06,78511.71195827487
D2_FET - Clarius,-15.293839302917748,0.00535507459256734,7.437869764537197e-11,3.1339718589151744e-06,42135.34194773815
D3_FET - Clarius,-6.355168321505842,0.009127522166111571,1.0873647537934517e-09,4.4629000512941275e-06,4104.326570936351
平均値,-3.7377908923260357,0.00789386913030622,3.4438195645886127e-09,4.348733114056813e-06,11564.491630532402
標準偏差,9.597818869601694,0.002547695088623123,4.14591397022154e-09,1.1019753757249667e-06,24078.79582488216
