ファイル名,閾値電圧 (V),移動度 (cm^2/V s),I_off,I_on,I_on/I_off
A1_FET - Clarius,5.823530038504611,0.030855183290500517,2.884784411349983e-09,2.7314525141264312e-05,9468.480567836272
A2_FET - Clarius,16.10817425205824,0.0212885539723746,1.9643618287545905e-08,2.1745601770817302e-05,1107.0059218470997
A4_FET - Clarius,14.310519943607945,0.0234867094405239,1.8568513837635692e-08,2.4116649001371115e-05,1298.7926342543449
A5_FET - Clarius,25.24831718621591,0.022036273436926684,9.583428095538693e-08,2.664600106072612e-05,278.042479111733
B1_FET - Clarius,-8.140621043866958,0.025337510996647775,3.2059581656085356e-09,2.0375899111968465e-05,6355.63474612615
B2_FET - Clarius,-7.427803596293773,0.022741147826155467,2.744959370915012e-09,1.8973600163008086e-05,6912.160654925605
B3_FET - Clarius,-6.8980178405618275,0.024021596191429496,2.8951534503107723e-09,1.9786586562986486e-05,6834.382668339237
B4_FET - Clarius,-4.482788136097782,0.028023461889276582,4.145788157217112e-09,2.346471774217207e-05,5659.8930896466545
B5_FET - Clarius,2.4534588257358814,0.036468726744588405,9.596115013721374e-09,3.071635001106188e-05,3200.9151585970912
C1_FET - Clarius,-5.5426086535558845,0.022186157977681087,4.8231507676632646e-09,1.727493327052798e-05,3581.669763746033
C2_FET - Clarius,4.794752326173185,0.015030591507840694,1.2549616457135926e-08,1.4479057426797226e-05,1153.7450149374235
C3_FET - Clarius,5.292429796658562,0.014280019265637453,1.1990965553820843e-08,1.4104133697401267e-05,1176.230023687048
C4_FET - Clarius,6.1323448248133134,0.013414162204192708,1.1587888870678853e-08,1.3472724276653025e-05,1162.6556335678556
D1_FET - Clarius,-7.929413446257885,0.02195317062983345,2.011426802894789e-09,1.6781388694653288e-05,8343.027283171321
D2_FET - Clarius,10.254041986959477,0.014719377842316882,1.3030153844795223e-08,1.5316938515752554e-05,1175.499437550445
D3_FET - Clarius,16.274127273471706,0.013142906383437838,1.9909467852130547e-08,1.5436480680364184e-05,775.3336651191457
平均値,4.141902733597796,0.02181159684996022,1.4713865112425673e-08,2.0000349195470335e-05,3655.2167964039654
標準偏差,10.35536204602301,0.006609816815560589,2.2544372854828188e-08,5.25445775808644e-06,3103.942735708867
