ファイル名,閾値電圧 (V),移動度 (cm^2/V s),I_off,I_on,I_on/I_off
A3FET - Clarius,16.19650106264291,0.008035120801114012,2.5665256586648866e-08,7.86392320151208e-06,306.4034514894705
B1FET - Clarius,3.7365105566913344,0.00785842076790152,1.3587157354777446e-07,5.178927494853269e-06,38.116342952577064
B2FET - Clarius,0.37430521028289176,0.0075070432719822975,8.460190059622619e-08,4.84527890876052e-06,57.271513696663355
B3FET - Clarius,-4.067007351752645,0.006455385179567159,4.368449069147573e-08,3.800638751272345e-06,87.00201584389706
B4FET - Clarius,3.5492281960705827,0.006721177332131018,8.696380149331162e-08,4.972667284164345e-06,57.1808867456972
B5FET - Clarius,13.988024194470512,0.006934726222454396,1.1420528522876339e-08,6.178208877827274e-06,540.9739895532654
C2FET - Clarius,14.571360999963744,0.007141264171827495,1.1136837940739497e-07,6.764127192582237e-06,60.736514516732676
C4FET - Clarius,19.829197082764985,0.005235891441984608,1.3073229609972259e-08,5.37599316885462e-06,411.2215060273869
C5FET - Clarius,16.74020190174634,0.004162528887126302,8.602670575896809e-09,4.174690729996655e-06,485.2784601206763
D4FET - Clarius,-4.5896263892440405,0.00624922771075765,6.453773959691489e-09,4.0944505599327385e-06,634.4273266317599
D5FET - Clarius,5.291727114945768,0.005284795079101695,1.4249792457121657e-09,4.080891812918708e-06,2863.8254382990604
平均値,7.783674779871124,0.00650778007872256,4.810278038518008e-08,5.211799816606799e-06,503.85794962519884
標準偏差,8.77275414616013,0.001202823390787428,4.808076343843349e-08,1.272453546461912e-06,813.7436980033358
