AU_030_A1 + buffer time 0 hrs,,au-030-a1 + buffer 4 hrs1,,AU-030-A1+buffer 23 hrs,,AU+030_A1 + buffer time 48 hrs,,AU+030_A1 + buffer time 48 hrs1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
650,0.01443319302,650,0.0134720495,650,0.02340709791,650,0.02747195959,650,0.02940926328,
649.333313,0.01443391573,649.333313,0.01343320031,649.333313,0.02336317115,649.333313,0.02742632292,649.333313,0.02938649617,
648.666687,0.01438901387,648.666687,0.01343771257,648.666687,0.02338130958,648.666687,0.0273943115,648.666687,0.02935467102,
648,0.0143541228,648,0.01344604325,648,0.02335000411,648,0.02743296884,648,0.02939150855,
647.333313,0.01431275997,647.333313,0.01344438735,647.333313,0.0233380124,647.333313,0.0273671262,647.333313,0.02935348079,
646.666687,0.01437509991,646.666687,0.01345763076,646.666687,0.02336155996,646.666687,0.02743015625,646.666687,0.02935101464,
646,0.01435877848,646,0.01348433271,646,0.0233356636,646,0.02741281129,646,0.02933780476,
645.333313,0.01436966844,645.333313,0.01345576253,645.333313,0.02329906449,645.333313,0.02742025629,645.333313,0.02931606397,
644.666687,0.01434756722,644.666687,0.01344996784,644.666687,0.02327060513,644.666687,0.0273815468,644.666687,0.0292641148,
644,0.01432067901,644,0.01346540079,644,0.0232992284,644,0.02736467309,644,0.02925713733,
643.333313,0.0143525973,643.333313,0.0133617064,643.333313,0.02321718819,643.333313,0.02737225406,643.333313,0.02925301157,
642.666687,0.01428517886,642.666687,0.01334064454,642.666687,0.02322150208,642.666687,0.02730716765,642.666687,0.02919074148,
642,0.01433670521,642,0.01338295545,642,0.02323239855,642,0.02721100114,642,0.02910921536,
641.333313,0.01435679849,641.333313,0.01336843334,641.333313,0.02322352305,641.333313,0.0272595901,641.333313,0.02910013497,
640.666687,0.01432680618,640.666687,0.01333527919,640.666687,0.02322715521,640.666687,0.02717966586,640.666687,0.02904367261,
640,0.01425805315,640,0.01333864219,640,0.02319938317,640,0.02721273713,640,0.02908405289,
639.333313,0.01433089934,639.333313,0.01333669387,639.333313,0.02315127291,639.333313,0.02722850069,639.333313,0.02909349278,
638.666687,0.01433295943,638.666687,0.01321627107,638.666687,0.02312593535,638.666687,0.02723974548,638.666687,0.02910143696,
