imine undoped,,imine 1 min FeCl3 doping,,imine 10 min FeCl3,,imine 30 min FeCl3 doping,,imine polymer 1 hour FeCl3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1200,-0.01750429161,1200,-0.01408523228,1200,-0.01469536312,1200,-0.00907970313,1200,-0.009749501012,
1199.333374,-0.01734240167,1199.333374,-0.01408362854,1199.333374,-0.01459600311,1199.333374,-0.009109970182,1199.333374,-0.009757499211,
1198.666626,-0.01735951379,1198.666626,-0.01416586805,1198.666626,-0.01478068903,1198.666626,-0.009169079363,1198.666626,-0.009895725176,
1198,-0.01718746684,1198,-0.01404062379,1198,-0.01448720787,1198,-0.009117422625,1198,-0.009737048298,
1197.333374,-0.01731195673,1197.333374,-0.01414557267,1197.333374,-0.01460606605,1197.333374,-0.009270448238,1197.333374,-0.009840967134,
1196.666626,-0.0172822047,1196.666626,-0.01405029744,1196.666626,-0.01456451416,1196.666626,-0.008988431655,1196.666626,-0.009700192139,
1196,-0.01740945317,1196,-0.01405465882,1196,-0.0144592654,1196,-0.009083251469,1196,-0.009762460366,
1195.333374,-0.01733185537,1195.333374,-0.0142300548,1195.333374,-0.01454068255,1195.333374,-0.009100235999,1195.333374,-0.009783113375,
1194.666626,-0.01732001454,1194.666626,-0.01407295279,1194.666626,-0.01440943684,1194.666626,-0.009064746089,1194.666626,-0.009782303125,
1194,-0.0173957739,1194,-0.01411024202,1194,-0.01441594679,1194,-0.009178608656,1194,-0.009772078134,
1193.333374,-0.01737209782,1193.333374,-0.01415414177,1193.333374,-0.01449076273,1193.333374,-0.009297711775,1193.333374,-0.009930642322,
1192.666626,-0.01715626381,1192.666626,-0.01397335064,1192.666626,-0.01451980416,1192.666626,-0.009130958468,1192.666626,-0.009805738926,
1192,-0.01727120951,1192,-0.01415138599,1192,-0.01464791317,1192,-0.009152300656,1192,-0.009903670289,
1191.333374,-0.0172388684,1191.333374,-0.01396457758,1191.333374,-0.01442846749,1191.333374,-0.009085431695,1191.333374,-0.009804726578,
1190.666626,-0.01727703027,1190.666626,-0.01407761406,1190.666626,-0.01447649207,1190.666626,-0.009009070694,1190.666626,-0.009671383537,
1190,-0.01737274416,1190,-0.01403125003,1190,-0.01447288599,1190,-0.009098664857,1190,-0.009665966034,
1189.333374,-0.01728922129,1189.333374,-0.01400047168,1189.333374,-0.01446832903,1189.333374,-0.008937159553,1189.333374,-0.009866677225,
1188.666626,-0.01743208244,1188.666626,-0.01422143634,1188.666626,-0.01455389988,1188.666626,-0.009282661602,1188.666626,-0.009857263416,
1188,-0.01734090969,1188,-0.01417082828,1188,-0.01463264693,1188,-0.009289097041,1188,-0.009839599952,
1187.333374,-0.01729613543,1187.333374,-0.01403355598,1187.333374,-0.01435589511,1187.333374,-0.009026920423,1187.333374,-0.009672395885,
1186.666626,-0.01727942005,1186.666626,-0.01413008757,1186.666626,-0.0145578552,1186.666626,-0.009123252705,1186.666626,-0.009697204456,
1186,-0.01736598089,1186,-0.01402643789,1186,-0.01441274211,1186,-0.008889989927,1186,-0.009694217704,
1185.333374,-0.01725464128,1185.333374,-0.01403801702,1185.333374,-0.01442916878,1185.333374,-0.008990663104,1185.333374,-0.009754158556,
1184.666626,-0.01731852256,1184.666626,-0.01405305415,1184.666626,-0.01445821393,1184.666626,-0.009117980488,1184.666626,-0.009799716063,
1184,-0.01747833379,1184,-0.01428877097,1184,-0.01473014615,1184,-0.009275566787,1184,-0.009935550392,
1183.333374,-0.0173491165,1183.333374,-0.01403175108,1183.333374,-0.01461707894,1183.333374,-0.009097498842,1183.333374,-0.009756740183,
1182.666626,-0.01718094759,1182.666626,-0.01397786289,1182.666626,-0.01431617327,1182.666626,-0.009005774744,1182.666626,-0.009647130035,
1182,-0.01730056293,1182,-0.0140157612,1182,-0.01428200863,1182,-0.009062920697,1182,-0.009628091007,
1181.333374,-0.01710365713,1181.333374,-0.01401195116,1181.333374,-0.01437242422,1181.333374,-0.009032345377,1181.333374,-0.009648142383,
1180.666626,-0.01711301506,1180.666626,-0.01411014143,1180.666626,-0.0143504357,1180.666626,-0.009105812758,1180.666626,-0.009755221196,
1180,-0.01713078283,1180,-0.01411445159,1180,-0.01443167217,1180,-0.009128829464,1180,-0.009797539562,
1179.333374,-0.01693673804,1179.333374,-0.01419172436,1179.333374,-0.01443597954,1179.333374,-0.009000197053,1179.333374,-0.009615735151,
1178.666626,-0.01695770025,1178.666626,-0.01409590803,1178.666626,-0.01435744762,1178.666626,-0.009042182937,1178.666626,-0.009670826606,
1178,-0.01692633145,1178,-0.01400047168,1178,-0.01431857795,1178,-0.009069968015,1178,-0.00966454763,
1177.333374,-0.01698856801,1177.333374,-0.0139875384,1177.333374,-0.01427965332,1177.333374,-0.009114076383,1177.333374,-0.00957973022,
1176.666626,-0.01712067984,1176.666626,-0.01398959383,1176.666626,-0.01449086331,1176.666626,-0.009074176662,1176.666626,-0.009530857205,
1176,-0.01702505909,1176,-0.01398979407,1176,-0.01458634157,1176,-0.009109919891,1176,-0.009477572516,
1175.333374,-0.01710744016,1175.333374,-0.01405571122,1175.333374,-0.01444439311,1175.333374,-0.009147231467,1175.333374,-0.00959401112,
1174.666626,-0.01707309671,1174.666626,-0.01402964629,1174.666626,-0.0143883517,1174.666626,-0.009077674709,1174.666626,-0.009647686966,
1174,-0.01693116128,1174,-0.01397415251,1174,-0.01437207311,1174,-0.008976615965,1174,-0.009481169283,
1173.333374,-0.01695665345,1173.333374,-0.01399199944,1173.333374,-0.01435349137,1173.333374,-0.009089132771,1173.333374,-0.009560131468,
1172.666626,-0.01696800627,1172.666626,-0.0139171984,1172.666626,-0.01444899943,1172.666626,-0.008775594644,1172.666626,-0.009553698823,
1172,-0.01695222221,1172,-0.01400663797,1172,-0.01430875901,1172,-0.009050752036,1172,-0.009552331641,
1171.333374,-0.01705064625,1171.333374,-0.01416406408,1171.333374,-0.01440392714,1171.333374,-0.009086091071,1171.333374,-0.009539518505,
1170.666626,-0.01702043042,1170.666626,-0.01404327992,1170.666626,-0.01434397418,1170.666626,-0.009115445428,1170.666626,-0.009747526608,
1170,-0.01714954525,1170,-0.01409901492,1170,-0.01442931872,1170,-0.009038785473,1170,-0.009719328955,
