imine undoped,,imine 5 sec TFA,,imine 10 sec TFA,,imine 30 sec TFA,,imine 1 min TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1200,-0.01750429161,1200,-0.007656890899,1200,-0.005555375014,1200,-0.006201689132,1200,-0.009479598142,
1199.333374,-0.01734240167,1199.333374,-0.007656433154,1199.333374,-0.005617524963,1199.333374,-0.006137734279,1199.333374,-0.009550508112,
1198.666626,-0.01735951379,1198.666626,-0.007717825472,1198.666626,-0.005693667103,1198.666626,-0.006188572384,1198.666626,-0.009658928029,
1198,-0.01718746684,1198,-0.007494543213,1198,-0.005538916215,1198,-0.005986970849,1198,-0.009387043305,
1197.333374,-0.01731195673,1197.333374,-0.007503702771,1197.333374,-0.005582720041,1197.333374,-0.006188725587,1197.333374,-0.009535517544,
1196.666626,-0.0172822047,1196.666626,-0.007595031988,1196.666626,-0.005631579086,1196.666626,-0.006082244217,1196.666626,-0.009280938655,
1196,-0.01740945317,1196,-0.007471847348,1196,-0.005535746925,1196,-0.006181426812,1196,-0.009362014011,
1195.333374,-0.01733185537,1195.333374,-0.007682323456,1195.333374,-0.005525216926,1195.333374,-0.006269207224,1195.333374,-0.009548381902,
1194.666626,-0.01732001454,1194.666626,-0.007612481248,1194.666626,-0.00565539347,1194.666626,-0.006082039792,1194.666626,-0.009444443509,
1194,-0.0173957739,1194,-0.007579820231,1194,-0.005602755118,1194,-0.006103277206,1194,-0.009493021294,
1193.333374,-0.01737209782,1193.333374,-0.00764544541,1193.333374,-0.005549036898,1193.333374,-0.006113180425,1193.333374,-0.00946642831,
1192.666626,-0.01715626381,1192.666626,-0.007550717797,1192.666626,-0.005499146413,1192.666626,-0.006121807732,1192.666626,-0.009456904605,
1192,-0.01727120951,1192,-0.007567558903,1192,-0.005695251282,1192,-0.006129107438,1192,-0.009499555454,
1191.333374,-0.0172388684,1191.333374,-0.007456071675,1191.333374,-0.005631579086,1191.333374,-0.006024296395,1191.333374,-0.009403002448,
1190.666626,-0.01727703027,1190.666626,-0.007567049935,1190.666626,-0.005538098514,1190.666626,-0.006024857983,1190.666626,-0.009407157078,
1190,-0.01737274416,1190,-0.007555653341,1190,-0.005454004277,1190,-0.00607729191,1190,-0.009379595518,
1189.333374,-0.01728922129,1189.333374,-0.007503702771,1189.333374,-0.005471795797,1189.333374,-0.006005812902,1189.333374,-0.009368398227,
1188.666626,-0.01743208244,1188.666626,-0.007395863533,1188.666626,-0.00558972219,1188.666626,-0.006182192359,1188.666626,-0.009430360049,
1188,-0.01734090969,1188,-0.007552295458,1188,-0.005789055955,1188,-0.006154680625,1188,-0.009538808838,
1187.333374,-0.01729613543,1187.333374,-0.00758399209,1187.333374,-0.005619314034,1187.333374,-0.00605758559,1187.333374,-0.00939859543,
1186.666626,-0.01727942005,1186.666626,-0.007372500841,1186.666626,-0.005514277611,1186.666626,-0.006172290538,1186.666626,-0.009371134453,
1186,-0.01736598089,1186,-0.007463399787,1186,-0.005372962449,1186,-0.006035937462,1186,-0.009389069863,
1185.333374,-0.01725464128,1185.333374,-0.007418258116,1185.333374,-0.005563297775,1185.333374,-0.005883606616,1185.333374,-0.009377771989,
1184.666626,-0.01731852256,1184.666626,-0.007518866099,1184.666626,-0.005637251772,1184.666626,-0.006041962188,1184.666626,-0.009464806877,
1184,-0.01747833379,1184,-0.007685883902,1184,-0.005782823544,1184,-0.006326612085,1184,-0.009578716941,
1183.333374,-0.0173491165,1183.333374,-0.007483144756,1183.333374,-0.005731273443,1183.333374,-0.006009386852,1183.333374,-0.009405840188,
1182.666626,-0.01718094759,1182.666626,-0.007452865597,1182.666626,-0.005503542721,1182.666626,-0.005977830384,1182.666626,-0.009312154725,
1182,-0.01730056293,1182,-0.007384106051,1182,-0.005761621986,1182,-0.006092965137,1182,-0.00922888983,
1181.333374,-0.01710365713,1181.333374,-0.007295838092,1181.333374,-0.005639194045,1181.333374,-0.006026390009,1181.333374,-0.009227014147,
1180.666626,-0.01711301506,1180.666626,-0.007466860116,1180.666626,-0.005572395865,1180.666626,-0.006066877395,1180.666626,-0.009315954521,
1180,-0.01713078283,1180,-0.007473221514,1180,-0.005577200092,1180,-0.006102256011,1180,-0.009379595518,
1179.333374,-0.01693673804,1179.333374,-0.007466860116,1179.333374,-0.005565802101,1179.333374,-0.005989472847,1179.333374,-0.009199238382,
1178.666626,-0.01695770025,1178.666626,-0.007334273309,1178.666626,-0.005667606834,1178.666626,-0.005976707209,1178.666626,-0.009267102927,
1178,-0.01692633145,1178,-0.007283008657,1178,-0.005491069052,1178,-0.005994936451,1178,-0.009063325822,
1177.333374,-0.01698856801,1177.333374,-0.007425128948,1177.333374,-0.005709762685,1177.333374,-0.006014901679,1177.333374,-0.009264468215,
1176.666626,-0.01712067984,1176.666626,-0.007430370897,1176.666626,-0.005450374447,1176.666626,-0.00603915425,1176.666626,-0.009360848926,
1176,-0.01702505909,1176,-0.007451949641,1176,-0.005531248637,1176,-0.00602409197,1176,-0.009335970506,
