imine undoped,,imine 10 min iodine doping,,imine 1 min iodine doping,,imine 30 min iodine doping,,imine 30 min iodine doping1,,imine 1 hr iodine doping,,imine 1 hr iodine doping1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1200,-0.01750429161,1200,-0.008574683219,1200,0.003252737457,1200,0.01562557369,1200,-0.0102099739,1200,-0.0109115066,1200,-0.005657692906,
1199.333374,-0.01734240167,1199.333374,-0.008391960524,1199.333374,0.003197032958,1199.333374,0.0156771522,1199.333374,-0.01009491365,1199.333374,-0.01075405907,1199.333374,-0.005618087482,
1198.666626,-0.01735951379,1198.666626,-0.008563667536,1198.666626,0.003177266801,1198.666626,0.01558688004,1198.666626,-0.01020704117,1198.666626,-0.01101337839,1198.666626,-0.005548576824,
1198,-0.01718746684,1198,-0.008307655342,1198,0.003383029485,1198,0.01580166817,1198,-0.01010963321,1198,-0.01085081697,1198,-0.005384672433,
1197.333374,-0.01731195673,1197.333374,-0.008499958552,1197.333374,0.003278870834,1197.333374,0.01568587497,1197.333374,-0.01012278441,1197.333374,-0.0109117087,1197.333374,-0.005474812351,
1196.666626,-0.0172822047,1196.666626,-0.008398510516,1196.666626,0.003403300652,1196.666626,0.01593092084,1196.666626,-0.01013998035,1196.666626,-0.01086551044,1196.666626,-0.005288734101,
1196,-0.01740945317,1196,-0.008477974683,1196,0.00342785148,1196,0.01594268158,1196,-0.01014539227,1196,-0.01081865095,1196,-0.005294104572,
1195.333374,-0.01733185537,1195.333374,-0.008446952328,1195.333374,0.00335568958,1195.333374,0.01583095826,1195.333374,-0.01012485754,1195.333374,-0.01093084365,1195.333374,-0.005459423643,
1194.666626,-0.01732001454,1194.666626,-0.008360830136,1194.666626,0.003439749358,1194.666626,0.01585920155,1194.666626,-0.01014083996,1194.666626,-0.01076532155,1194.666626,-0.005459526088,
1194,-0.0173957739,1194,-0.008490108885,1194,0.003449768759,1194,0.01578089036,1194,-0.01001250744,1194,-0.01077996753,1194,-0.005358491093,
1193.333374,-0.01737209782,1193.333374,-0.008245990612,1193.333374,0.003371576779,1193.333374,0.01576352306,1193.333374,-0.01007690653,1193.333374,-0.01077860408,1193.333374,-0.00531185139,
1192.666626,-0.01715626381,1192.666626,-0.008304302581,1192.666626,0.003415928222,1192.666626,0.01584175043,1192.666626,-0.01007817127,1192.666626,-0.01078117918,1192.666626,-0.005238302052,
1192,-0.01727120951,1192,-0.008300036192,1192,0.003333698958,1192,0.01568654552,1192,-0.01005454734,1192,-0.0107531501,1192,-0.005402057432,
1191.333374,-0.0172388684,1191.333374,-0.008323349059,1191.333374,0.003332968568,1191.333374,0.01575890556,1191.333374,-0.01006709319,1191.333374,-0.01076809876,1191.333374,-0.005275743082,
1190.666626,-0.01727703027,1190.666626,-0.008322790265,1190.666626,0.003357333131,1190.666626,0.01583721302,1190.666626,-0.01004316472,1190.666626,-0.01060534455,1190.666626,-0.005251192022,
1190,-0.01737274416,1190,-0.008385002613,1190,0.003406614065,1190,0.01589034684,1190,-0.009931046516,1190,-0.01063227281,1190,-0.005266025197,
1189.333374,-0.01728922129,1189.333374,-0.008395209908,1189.333374,0.003342255251,1189.333374,0.01592941768,1189.333374,-0.01005308051,1189.333374,-0.01065091416,1189.333374,-0.005355524831,
1188.666626,-0.01743208244,1188.666626,-0.008470714092,1188.666626,0.00342915603,1188.666626,0.01583350822,1188.666626,-0.009891120717,1188.666626,-0.01069829706,1188.666626,-0.005331591703,
1188,-0.01734090969,1188,-0.008469851688,1188,0.003241757629,1188,0.01576255634,1188,-0.01014377363,1188,-0.01082970947,1188,-0.005411363207,
1187.333374,-0.01729613543,1187.333374,-0.008477721363,1187.333374,0.003422581125,1187.333374,0.01600888185,1187.333374,-0.01001068577,1187.333374,-0.01072638109,1187.333374,-0.005360689946,
1186.666626,-0.01727942005,1186.666626,-0.008360830136,1186.666626,0.003375542117,1186.666626,0.01597254537,1186.666626,-0.009966770187,1186.666626,-0.01063646562,1186.666626,-0.005233136006,
1186,-0.01736598089,1186,-0.00833340548,1186,0.003399961162,1186,0.01597224921,1186,-0.009951742366,1186,-0.01071829908,1186,-0.005155991763,
1185.333374,-0.01725464128,1185.333374,-0.008408209309,1185.333374,0.00349258841,1185.333374,0.01589552872,1185.333374,-0.01001878083,1185.333374,-0.01063247491,1185.333374,-0.005206433591,
