non-imine undoped,,non-imine 1 min FeCl3 doping,,non-imine 10 min FeCl3,,non-imine 30 min FeCl3 doping,,non-imine polymer 1 hour FeCl3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1200,-0.0142374197,1200,-0.01480595767,1200,-0.02011286467,1200,-0.01185646001,1200,-0.01405586116,
1199.333374,-0.01413560007,1199.333374,-0.01484973822,1199.333374,-0.02009274624,1199.333374,-0.01195478626,1199.333374,-0.0140820751,
1198.666626,-0.01432428788,1198.666626,-0.01481721643,1198.666626,-0.02024536394,1198.666626,-0.01208405755,1198.666626,-0.01423511468,
1198,-0.01409305073,1198,-0.01451795176,1198,-0.01990882307,1198,-0.01183827408,1198,-0.01400413085,
1197.333374,-0.01423756965,1197.333374,-0.01465111692,1197.333374,-0.02002566308,1197.333374,-0.0118848728,1197.333374,-0.01413940825,
1196.666626,-0.01425901335,1196.666626,-0.01466993708,1196.666626,-0.02009630576,1196.666626,-0.0118433116,1196.666626,-0.01405957062,
1196,-0.01418345608,1196,-0.01464255713,1196,-0.02008874342,1196,-0.01196153555,1196,-0.01405099966,
1195.333374,-0.01427795086,1195.333374,-0.01468755491,1195.333374,-0.02012848482,1195.333374,-0.01189872529,1195.333374,-0.01419628412,
1194.666626,-0.01412342209,1194.666626,-0.01467068773,1194.666626,-0.02017958835,1194.666626,-0.0118126804,1194.666626,-0.01411856059,
1194,-0.01419543196,1194,-0.01476642769,1194,-0.02014098875,1194,-0.01185026392,1194,-0.01425650809,
1193.333374,-0.01422935352,1193.333374,-0.01477718633,1193.333374,-0.02009235136,1193.333374,-0.01199250948,1193.333374,-0.01429698709,
1192.666626,-0.0143223349,1192.666626,-0.01470897626,1192.666626,-0.02021418326,1192.666626,-0.0117744375,1192.666626,-0.01416426431,
1192,-0.01435890049,1192,-0.0146512175,1192,-0.02017687075,1192,-0.01188729052,1192,-0.0141299367,
1191.333374,-0.01402804162,1191.333374,-0.01462979335,1191.333374,-0.02011716552,1191.333374,-0.0117248036,1191.333374,-0.01408969332,
1190.666626,-0.01425245032,1190.666626,-0.01462073252,1190.666626,-0.02004113793,1190.666626,-0.01188517455,1190.666626,-0.01405445766,
1190,-0.01414066181,1190,-0.01471543219,1190,-0.02002709731,1190,-0.01173684746,1190,-0.01400784031,
1189.333374,-0.01419197489,1189.333374,-0.01460276172,1189.333374,-0.01999243908,1189.333374,-0.01172943972,1189.333374,-0.01396653242,
1188.666626,-0.01418536063,1188.666626,-0.01468305103,1188.666626,-0.02020207606,1188.666626,-0.01200046577,1188.666626,-0.01420660596,
1188,-0.01436355896,1188,-0.01477123145,1188,-0.02028746344,1188,-0.01195141207,1188,-0.01404764131,
1187.333374,-0.01418225374,1187.333374,-0.01466888562,1187.333374,-0.02009902522,1187.333374,-0.01192129124,1187.333374,-0.01397786289,
1186.666626,-0.0142394742,1186.666626,-0.01477438398,1186.666626,-0.0200810805,1186.666626,-0.01188215241,1186.666626,-0.01401280332,
1186,-0.01428766921,1186,-0.01466207858,1186,-0.02018211037,1186,-0.01191857178,1186,-0.01418110076,
1185.333374,-0.01413565036,1185.333374,-0.01468084846,1185.333374,-0.02005048096,1185.333374,-0.01181363687,1185.333374,-0.0140377162,
1184.666626,-0.01414472051,1184.666626,-0.01473930385,1184.666626,-0.02010060661,1184.666626,-0.01188280713,1184.666626,-0.0141303381,
1184,-0.01448590588,1184,-0.01497794967,1184,-0.02030149475,1184,-0.01198309101,1184,-0.01443958469,
1183.333374,-0.01418315526,1183.333374,-0.01494953968,1183.333374,-0.02021358907,1183.333374,-0.0119462749,1183.333374,-0.01413259283,
1182.666626,-0.01413294394,1182.666626,-0.01464626193,1182.666626,-0.0199832432,1182.666626,-0.01181847416,1182.666626,-0.01415409148,
1182,-0.01426467393,1182,-0.01474385802,1182,-0.01993478462,1182,-0.01176481415,1182,-0.01413865667,
1181.333374,-0.01415644679,1181.333374,-0.01468480192,1181.333374,-0.02000845782,1181.333374,-0.01176053099,1181.333374,-0.01405445766,
1180.666626,-0.01417423598,1180.666626,-0.01477653533,1180.666626,-0.01995466277,1180.666626,-0.01178733632,1180.666626,-0.01424854249,
1180,-0.01424718928,1180,-0.01466077752,1180,-0.02014420182,1180,-0.01180688571,1180,-0.01423311047,
1179.333374,-0.01403079927,1179.333374,-0.01455530245,1179.333374,-0.02003016323,1179.333374,-0.01183081698,1179.333374,-0.01404754072,
1178.666626,-0.01400347985,1178.666626,-0.01462398656,1178.666626,-0.02011093684,1178.666626,-0.01174818538,1178.666626,-0.01412001438,
1178,-0.01404648833,1178,-0.01454483811,1178,-0.01990783401,1178,-0.01162486337,1178,-0.01396046672,
1177.333374,-0.01414351817,1177.333374,-0.01459900755,1177.333374,-0.02012512274,1177.333374,-0.01159139257,1177.333374,-0.01412046514,
1176.666626,-0.01412838325,1176.666626,-0.0146329971,1176.666626,-0.01994586177,1176.666626,-0.01167566795,1176.666626,-0.01410698425,
1176,-0.01421241835,1176,-0.01445841417,1176,-0.01999298297,1176,-0.01163806859,1176,-0.01417483762,
1175.333374,-0.01436856762,1175.333374,-0.01467609312,1175.333374,-0.01997330412,1175.333374,-0.01181409042,1175.333374,-0.01426136773,
1174.666626,-0.01412302162,1174.666626,-0.01468375139,1174.666626,-0.01992806047,1174.666626,-0.01177524403,1174.666626,-0.01409199834,
1174,-0.01408077218,1174,-0.01454403717,1174,-0.02000608481,1174,-0.01168504171,1174,-0.0142078083,
1173.333374,-0.01412452478,1173.333374,-0.01472354028,1173.333374,-0.01988296025,1173.333374,-0.01183802169,1173.333374,-0.01433160156,
1172.666626,-0.01404673886,1172.666626,-0.01462443732,1172.666626,-0.0198387932,1172.666626,-0.01167702861,1172.666626,-0.01419984177,
1172,-0.01396086719,1172,-0.01454343647,1172,-0.01987148635,1172,-0.01162002422,1172,-0.01408869121,
1171.333374,-0.01406528428,1171.333374,-0.0148004042,1171.333374,-0.02020256966,1171.333374,-0.01180109195,1171.333374,-0.01427980419,
1170.666626,-0.01420144457,1170.666626,-0.01472063735,1170.666626,-0.02011479251,1170.666626,-0.01172692049,1170.666626,-0.01422314066,
1170,-0.0142797539,1170,-0.01467999723,1170,-0.02037288249,1170,-0.01176451147,1170,-0.01426412351,
1169.333374,-0.01400673762,1169.333374,-0.01462899242,1169.333374,-0.02009294555,1169.333374,-0.01167234126,1169.333374,-0.01415469311,
1168.666626,-0.01402603742,1168.666626,-0.0146944616,1168.666626,-0.02002467588,1168.666626,-0.01181162149,1168.666626,-0.01426452398,
1168,-0.01405671332,1168,-0.0146156773,1168,-0.0202303417,1168,-0.01193615049,1168,-0.01417609025,
1167.333374,-0.01409154758,1167.333374,-0.01475476753,1167.333374,-0.0201401487,1167.333374,-0.01167118177,1167.333374,-0.01415429171,
1166.666626,-0.01407425571,1166.666626,-0.01477503404,1166.666626,-0.02006931603,1166.666626,-0.01175161172,1166.666626,-0.01417563949,
1166,-0.01402327977,1166,-0.01462488808,1166,-0.01998047344,1166,-0.0115921488,1166,-0.01421166677,
1165.333374,-0.01418546028,1165.333374,-0.01474000514,1165.333374,-0.02016090788,1165.333374,-0.01171286032,1165.333374,-0.01417298336,
1164.666626,-0.01403761655,1164.666626,-0.0147719821,1164.666626,-0.020059973,1164.666626,-0.01174747944,1164.666626,-0.01411610562,
1164,-0.01403110009,1164,-0.01463564951,1164,-0.01992543973,1164,-0.01164593175,1164,-0.01412016433,
1163.333374,-0.01405089907,1163.333374,-0.01464891434,1163.333374,-0.02004034631,1163.333374,-0.01168151386,1163.333374,-0.01417333446,
1162.666626,-0.01399270166,1162.666626,-0.01457552798,1162.666626,-0.01972972043,1162.666626,-0.01155575272,1162.666626,-0.01395770907,
1162,-0.01400247682,1162,-0.01465997659,1162,-0.01991624199,1162,-0.01183978468,1162,-0.01415955368,
1161.333374,-0.01417939737,1161.333374,-0.01468345057,1161.333374,-0.0201571025,1161.333374,-0.01186099462,1161.333374,-0.01429453213,
1160.666626,-0.01402663812,1160.666626,-0.01460936945,1160.666626,-0.02001389675,1160.666626,-0.01167395432,1160.666626,-0.01401651278,
1160,-0.01405621227,1160,-0.01455770526,1160,-0.01995718479,1160,-0.01165263448,1160,-0.01412322186,
1159.333374,-0.01422995422,1159.333374,-0.01473314874,1159.333374,-0.02007559501,1159.333374,-0.01178330556,1159.333374,-0.01423987467,
1158.666626,-0.01398387831,1158.666626,-0.01460145973,1158.666626,-0.0198874604,1158.666626,-0.01159779448,1158.666626,-0.01427714899,
1158,-0.01402904466,1158,-0.01467274036,1158,-0.0198150035,1158,-0.01165540703,1158,-0.01406759024,
1157.333374,-0.01407926809,1157.333374,-0.01468119863,1157.333374,-0.01994141191,1157.333374,-0.01156810392,1157.333374,-0.0140729025,
1156.666626,-0.0139117837,1156.666626,-0.01452921703,1156.666626,-0.01997083239,1156.666626,-0.01170656085,1156.666626,-0.01418290474,
1156,-0.01387688518,1156,-0.01449942496,1156,-0.01983790286,1156,-0.01157511119,1156,-0.01426106691,
1155.333374,-0.01410036813,1155.333374,-0.01473264769,1155.333374,-0.02002843283,1155.333374,-0.01181499753,1155.333374,-0.01425791066,
1154.666626,-0.01415509358,1154.666626,-0.01466493215,1154.666626,-0.02000648156,1154.666626,-0.01176788751,1154.666626,-0.01414241549,
1154,-0.01407144964,1154,-0.0146481134,1154,-0.01987821236,1154,-0.01175055373,1154,-0.0142464377,
1153.333374,-0.01417634077,1153.333374,-0.01481396426,1153.333374,-0.01999288425,1153.333374,-0.01169154327,1153.333374,-0.01430485211,
1152.666626,-0.01414757688,1152.666626,-0.01476702746,1152.666626,-0.02007470466,1152.666626,-0.01173412614,1152.666626,-0.01425555628,
1152,-0.01399946865,1152,-0.01449932531,1152,-0.01974688657,1152,-0.01156669203,1152,-0.0141523378,
1151.333374,-0.01405320503,1151.333374,-0.01468965691,1151.333374,-0.01969523728,1151.333374,-0.01160802785,1151.333374,-0.01409976743,
1150.666626,-0.0140981134,1150.666626,-0.01453662757,1150.666626,-0.0199407693,1150.666626,-0.01175423246,1150.666626,-0.01426477451,
1150,-0.01397495531,1150,-0.01460426301,1150,-0.02016392164,1150,-0.01175055373,1150,-0.01421316992,
1149.333374,-0.01411179546,1149.333374,-0.01461062115,1149.333374,-0.01995332912,1149.333374,-0.01171195321,1149.333374,-0.0141036259,
1148.666626,-0.01413860638,1148.666626,-0.01473144721,1148.666626,-0.02012201026,1148.666626,-0.01177282538,1148.666626,-0.0143860979,
1148,-0.01396843791,1148,-0.01462403685,1148,-0.01989868656,1148,-0.01174949575,1148,-0.0141755389,
1147.333374,-0.01415283885,1147.333374,-0.01462764107,1147.333374,-0.02002823539,1147.333374,-0.01184578054,1147.333374,-0.01431452017,
1146.666626,-0.01403395738,1146.666626,-0.01478744391,1146.666626,-0.01989547163,1146.666626,-0.01167647447,1146.666626,-0.01432528999,
1146,-0.01398382802,1146,-0.01450818777,1146,-0.02003550157,1146,-0.01182164811,1146,-0.0141857611,
1145.333374,-0.0141437687,1145.333374,-0.01464335807,1145.333374,-0.0200501848,1145.333374,-0.01156281028,1145.333374,-0.01420079358,
1144.666626,-0.01412693039,1144.666626,-0.01459289994,1144.666626,-0.0199568402,1144.666626,-0.01161397528,1144.666626,-0.0139760077,
1144,-0.01422850136,1144,-0.01461908128,1144,-0.02023612335,1144,-0.01187414303,1144,-0.0142834615,
1143.333374,-0.01419177372,1143.333374,-0.0146617787,1143.333374,-0.02003095299,1143.333374,-0.01177116297,1143.333374,-0.01417904627,
1142.666626,-0.01418205351,1142.666626,-0.01452561188,1142.666626,-0.02008538134,1142.666626,-0.01169612911,1142.666626,-0.01421226747,
1142,-0.0140621271,1142,-0.01462714002,1142,-0.01996752061,1142,-0.01169804391,1142,-0.01412818301,
1141.333374,-0.01408613473,1141.333374,-0.01450898871,1141.333374,-0.01997824945,1141.333374,-0.01169607881,1141.333374,-0.01403947081,
1140.666626,-0.01412066538,1140.666626,-0.01461172197,1140.666626,-0.01994635724,1140.666626,-0.01166720036,1140.666626,-0.01409290079,
1140,-0.01399992034,1140,-0.01464941539,1140,-0.02000900172,1140,-0.01148259826,1140,-0.01418926846,
1139.333374,-0.01400603633,1139.333374,-0.01455069613,1139.333374,-0.01987924986,1139.333374,-0.01166004408,1139.333374,-0.01420505252,
1138.666626,-0.01414041128,1138.666626,-0.01468485221,1138.666626,-0.01997528225,1138.666626,-0.01152963843,1138.666626,-0.01420891099,
1138,-0.01409660932,1138,-0.01463124529,1138,-0.01990081184,1138,-0.01171013899,1138,-0.01407144964,
1137.333374,-0.01416957565,1137.333374,-0.01446422283,1137.333374,-0.01986584812,1137.333374,-0.01144488156,1137.333374,-0.01413354557,
1136.666626,-0.01420931146,1136.666626,-0.01473575085,1136.666626,-0.02001622133,1136.666626,-0.01168670505,1136.666626,-0.01418876741,
1136,-0.01407245174,1136,-0.01447679196,1136,-0.01982464828,1136,-0.0116190156,1136,-0.01404212695,
1135.333374,-0.01416075602,1135.333374,-0.01453918032,1135.333374,-0.01980184577,1135.333374,-0.0115647763,1135.333374,-0.01393835712,
1134.666626,-0.0140291946,1134.666626,-0.01458443888,1134.666626,-0.01985570975,1134.666626,-0.01150614396,1134.666626,-0.01410312485,
1134,-0.01388174854,1134,-0.0145156486,1134,-0.01959389634,1134,-0.01138492115,1134,-0.01400703844,
1133.333374,-0.013895588,1133.333374,-0.01437472831,1133.333374,-0.01960463636,1133.333374,-0.01145673171,1133.333374,-0.01407936867,
1132.666626,-0.01402327977,1132.666626,-0.01443623006,1132.666626,-0.01981386542,1132.666626,-0.01135728415,1132.666626,-0.0141986385,
1132,-0.0142296534,1132,-0.01477988809,1132,-0.01995352656,1132,-0.01159310713,1132,-0.01428481378,
1131.333374,-0.01412803307,1131.333374,-0.01463149488,1131.333374,-0.01978715509,1131.333374,-0.0115378052,1131.333374,-0.01427274011,
1130.666626,-0.01416727062,1130.666626,-0.01448355243,1130.666626,-0.01981010661,1130.666626,-0.01146666426,1130.666626,-0.01414547209,
1130,-0.01407776494,1130,-0.01464020461,1130,-0.01997721009,1130,-0.01150266547,1130,-0.01408047136,
1129.333374,-0.01408558339,1129.333374,-0.01462954283,1129.333374,-0.01985936798,1129.333374,-0.01151345484,1129.333374,-0.0141174579,
1128.666626,-0.01397816371,1128.666626,-0.01445125323,1128.666626,-0.01977335289,1128.666626,-0.01151718572,1128.666626,-0.01408087183,
1128,-0.01394286938,1128,-0.01449682191,1128,-0.01979922317,1128,-0.01143837627,1128,-0.01400939468,
1127.333374,-0.0140285939,1127.333374,-0.01469821576,1127.333374,-0.01981609128,1127.333374,-0.0115537364,1127.333374,-0.01423050556,
1126.666626,-0.01393630076,1126.666626,-0.01468139887,1126.666626,-0.01991129667,1126.666626,-0.01159603056,1126.666626,-0.01417102944,
1126,-0.01407185011,1126,-0.01462744083,1126,-0.01992578618,1126,-0.01151350513,1126,-0.01428120676,
1125.333374,-0.0139054656,1125.333374,-0.0145510463,1125.333374,-0.01996504702,1125.333374,-0.01144815888,1125.333374,-0.01413910836,
1124.666626,-0.01410232298,1124.666626,-0.01458473969,1124.666626,-0.01997108012,1124.666626,-0.0116639249,1124.666626,-0.01425605733,
