non-imine undoped,,non-imine 5 sec TFA vapour,,non-imine 10 sec TFA vapour,,non-imine 30 sec TFA vapour,,non-imine 1min TFA vapour,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1200,-0.0142374197,1200,-0.01585526019,1200,-0.01570783183,1200,-0.01762918755,1200,-0.01652715728,
1199.333374,-0.01413560007,1199.333374,-0.01582096517,1199.333374,-0.01567182876,1199.333374,-0.01749777794,1199.333374,-0.01640259288,
1198.666626,-0.01432428788,1198.666626,-0.01601650752,1198.666626,-0.01571557298,1198.666626,-0.01753402688,1198.666626,-0.01646834239,
1198,-0.01409305073,1198,-0.01583289728,1198,-0.01544380747,1198,-0.0174155701,1198,-0.0163133461,
1197.333374,-0.01423756965,1197.333374,-0.01583758928,1197.333374,-0.01563502476,1197.333374,-0.01754243113,1197.333374,-0.01634007134,
1196.666626,-0.01425901335,1196.666626,-0.01577972993,1196.666626,-0.01569804549,1196.666626,-0.01759901084,1196.666626,-0.01635687426,
1196,-0.01418345608,1196,-0.01576545089,1196,-0.01555071585,1196,-0.01769654267,1196,-0.01649186946,
1195.333374,-0.01427795086,1195.333374,-0.0159055721,1195.333374,-0.01579106227,1195.333374,-0.01757355593,1195.333374,-0.01643694006,
1194.666626,-0.01412342209,1194.666626,-0.01580029912,1194.666626,-0.01559452061,1194.666626,-0.01763232052,1194.666626,-0.01633249223,
1194,-0.01419543196,1194,-0.01583584212,1194,-0.01563357562,1194,-0.01764454879,1194,-0.01635487936,
1193.333374,-0.01422935352,1193.333374,-0.01586344652,1193.333374,-0.01574218459,1193.333374,-0.01762700081,1193.333374,-0.01629963331,
1192.666626,-0.0143223349,1192.666626,-0.01577903144,1192.666626,-0.01577423885,1192.666626,-0.01772149466,1192.666626,-0.0164033398,
1192,-0.01435890049,1192,-0.01590662077,1192,-0.01573249884,1192,-0.01782774366,1192,-0.01654106192,
1191.333374,-0.01402804162,1191.333374,-0.01574028842,1191.333374,-0.01574453153,1191.333374,-0.0174881313,1191.333374,-0.01641719788,
1190.666626,-0.01425245032,1190.666626,-0.01572036557,1190.666626,-0.01576669887,1190.666626,-0.01744680479,1190.666626,-0.01630890742,
1190,-0.01414066181,1190,-0.01582386158,1190,-0.01573918946,1190,-0.0174272079,1190,-0.01635183953,
1189.333374,-0.01419197489,1189.333374,-0.01567467675,1189.333374,-0.01568436436,1189.333374,-0.01746152528,1189.333374,-0.01625953987,
1188.666626,-0.01418536063,1188.666626,-0.01580119692,1188.666626,-0.01566318981,1188.666626,-0.01741994731,1188.666626,-0.01636116207,
1188,-0.01436355896,1188,-0.01607538201,1188,-0.01566383988,1188,-0.01758653298,1188,-0.01643694006,
1187.333374,-0.01418225374,1187.333374,-0.01572346129,1187.333374,-0.01577603631,1187.333374,-0.01747525111,1187.333374,-0.01634635404,
1186.666626,-0.0142394742,1186.666626,-0.01573993824,1186.666626,-0.01576515101,1186.666626,-0.01750215329,1186.666626,-0.01618203521,
1186,-0.01428766921,1186,-0.01576909609,1186,-0.01561404858,1186,-0.01746953093,1186,-0.01623824611,
1185.333374,-0.01413565036,1185.333374,-0.01566768438,1185.333374,-0.01564081758,1185.333374,-0.01758180931,1185.333374,-0.01627529785,
1184.666626,-0.01414472051,1184.666626,-0.01581607386,1184.666626,-0.01580763794,1184.666626,-0.0175151322,1184.666626,-0.0164715331,
1184,-0.01448590588,1184,-0.01600592956,1184,-0.01585011743,1184,-0.01776880771,1184,-0.01656782255,
1183.333374,-0.01418315526,1183.333374,-0.01571816951,1183.333374,-0.01566723548,1183.333374,-0.01763659529,1183.333374,-0.01647402532,
1182.666626,-0.01413294394,1182.666626,-0.01568865776,1182.666626,-0.01569664851,1182.666626,-0.01739149727,1182.666626,-0.01646345854,
1182,-0.01426467393,1182,-0.01564136706,1182,-0.01560326107,1182,-0.01752482913,1182,-0.01629220322,
1181.333374,-0.01415644679,1181.333374,-0.01561484765,1181.333374,-0.01549276896,1181.333374,-0.01747808605,1181.333374,-0.0162975397,
1180.666626,-0.01417423598,1180.666626,-0.01568945684,1180.666626,-0.01575197093,1180.666626,-0.01752607152,1180.666626,-0.01632516272,
1180,-0.01424718928,1180,-0.01578562148,1180,-0.01582820341,1180,-0.01750787161,1180,-0.01633428782,
1179.333374,-0.01403079927,1179.333374,-0.01569509879,1179.333374,-0.01570488699,1179.333374,-0.01742044464,1179.333374,-0.01637621969,
1178.666626,-0.01400347985,1178.666626,-0.01554596983,1178.666626,-0.01558747794,1178.666626,-0.01746391132,1178.666626,-0.0163094569,
1178,-0.01404648833,1178,-0.01549651567,1178,-0.01556290314,1178,-0.01738378778,1178,-0.01622792147,
1177.333374,-0.01414351817,1177.333374,-0.0156400688,1177.333374,-0.01577873155,1177.333374,-0.01746694557,1177.333374,-0.01628791541,
1176.666626,-0.01412838325,1176.666626,-0.01563397609,1176.666626,-0.01573229954,1176.666626,-0.01735687628,1176.666626,-0.01624976471,
1176,-0.01421241835,1176,-0.0156364236,1176,-0.01558233332,1176,-0.01746053062,1176,-0.01645657979,
1175.333374,-0.01436856762,1175.333374,-0.01568890736,1175.333374,-0.0156898573,1175.333374,-0.01746043004,1175.333374,-0.01634809934,
1174.666626,-0.01412302162,1174.666626,-0.01567377709,1174.666626,-0.01573664322,1174.666626,-0.01738811471,1174.666626,-0.01620657556,
1174,-0.01408077218,1174,-0.01568800956,1174,-0.01551374979,1174,-0.0172824543,1174,-0.01624946669,
1173.333374,-0.01412452478,1173.333374,-0.01563087851,1173.333374,-0.0156700816,1173.333374,-0.01730036363,1173.333374,-0.01624393091,
1172.666626,-0.01404673886,1172.666626,-0.01549751405,1172.666626,-0.01564556174,1172.666626,-0.01724513806,1172.666626,-0.01631494239,
1172,-0.01396086719,1172,-0.01554906741,1172,-0.01553173363,1172,-0.01716825739,1172,-0.01626138575,
1171.333374,-0.01406528428,1171.333374,-0.0156873595,1171.333374,-0.01579310931,1171.333374,-0.01737503335,1171.333374,-0.01632695831,
1170.666626,-0.01420144457,1170.666626,-0.015749624,1170.666626,-0.01575217023,1170.666626,-0.01737209782,1170.666626,-0.01638040692,
1170,-0.0142797539,1170,-0.01568551175,1170,-0.0157455802,1170,-0.01732110977,1170,-0.01637990773,
1169.333374,-0.01400673762,1169.333374,-0.01571617089,1169.333374,-0.01561844349,1169.333374,-0.01725509018,1169.333374,-0.01623829454,
1168.666626,-0.01402603742,1168.666626,-0.01561065204,1168.666626,-0.01559302211,1168.666626,-0.01732727885,1168.666626,-0.01623211056,
1168,-0.01405671332,1168,-0.01564960741,1168,-0.01550915465,1168,-0.01741994731,1168,-0.01627110876,
1167.333374,-0.01409154758,1167.333374,-0.01567642391,1167.333374,-0.01567317732,1167.333374,-0.01727290079,1167.333374,-0.01610920765,
1166.666626,-0.01407425571,1166.666626,-0.01567632332,1166.666626,-0.01565784775,1166.666626,-0.01739915647,1166.666626,-0.01617565192,
1166,-0.01402327977,1166,-0.01558767725,1166,-0.01571387425,1166,-0.01721349172,1166,-0.01611384749,
1165.333374,-0.01418546028,1165.333374,-0.01587847061,1165.333374,-0.01569934376,1165.333374,-0.0173068326,1165.333374,-0.01638813503,
1164.666626,-0.01403761655,1164.666626,-0.01567437686,1164.666626,-0.01555021573,1164.666626,-0.01729265228,1164.666626,-0.01629928499,
1164,-0.01403110009,1164,-0.01567652449,1164,-0.01547867991,1164,-0.01718945801,1164,-0.01612976007,
1163.333374,-0.01405089907,1163.333374,-0.01565884613,1163.333374,-0.0155830821,1163.333374,-0.01725061238,1163.333374,-0.01616582461,
1162.666626,-0.01399270166,1162.666626,-0.01531533245,1162.666626,-0.0155187957,1162.666626,-0.01717427932,1162.666626,-0.01613844,
1162,-0.01400247682,1162,-0.01571557298,1162,-0.01549067069,1162,-0.0172007028,1162,-0.01633234322,
1161.333374,-0.01417939737,1161.333374,-0.01582705602,1161.333374,-0.01568860747,1161.333374,-0.0174694322,1161.333374,-0.01643803529,
1160.666626,-0.01402663812,1160.666626,-0.01552364137,1160.666626,-0.01550365891,1160.666626,-0.01719975844,1160.666626,-0.0161803402,
1160,-0.01405621227,1160,-0.01558258291,1160,-0.01555770822,1160,-0.01725931838,1160,-0.01609878056,
1159.333374,-0.01422995422,1159.333374,-0.0156339258,1159.333374,-0.01561664604,1159.333374,-0.01728832535,1159.333374,-0.01618822105,
1158.666626,-0.01398387831,1158.666626,-0.01549826376,1158.666626,-0.01562638395,1158.666626,-0.01727608591,1158.666626,-0.01619395614,
1158,-0.01402904466,1158,-0.01554412208,1158,-0.01538119931,1158,-0.01708066277,1158,-0.01617106237,
1157.333374,-0.01407926809,1157.333374,-0.01543616317,1157.333374,-0.01545205154,1157.333374,-0.0171352122,1157.333374,-0.01621859521,
1156.666626,-0.0139117837,1156.666626,-0.01549646538,1156.666626,-0.01554517075,1156.666626,-0.0171786584,1156.666626,-0.01609813236,
1156,-0.01387688518,1156,-0.01549826376,1156,-0.01560895424,1156,-0.01719712093,1156,-0.01602005027,
1155.333374,-0.01410036813,1155.333374,-0.01550490782,1155.333374,-0.01560530812,1155.333374,-0.01737657562,1155.333374,-0.01618009061,
1154.666626,-0.01415509358,1154.666626,-0.01558667887,1154.666626,-0.01568276621,1154.666626,-0.01745008677,1154.666626,-0.01620398276,
1154,-0.01407144964,1154,-0.01559851598,1154,-0.01547658164,1154,-0.01733707823,1154,-0.01609863155,
1153.333374,-0.01417634077,1153.333374,-0.01553982589,1153.333374,-0.01546738949,1153.333374,-0.01728777774,1153.333374,-0.0161505118,
1152.666626,-0.01414757688,1152.666626,-0.01566054299,1152.666626,-0.01555111539,1152.666626,-0.01729315147,1152.666626,-0.01620752364,
1152,-0.01399946865,1152,-0.01539309137,1152,-0.0153824985,1152,-0.01713894494,1152,-0.01599744707,
1151.333374,-0.01405320503,1151.333374,-0.01543631312,1151.333374,-0.01559447031,1151.333374,-0.01718841307,1151.333374,-0.01629539393,
1150.666626,-0.0140981134,1150.666626,-0.01545015257,1150.666626,-0.01540218573,1150.666626,-0.01716641709,1150.666626,-0.01614946499,
1150,-0.01397495531,1150,-0.01567832194,1150,-0.01543816179,1150,-0.01714666001,1150,-0.01623061486,
1149.333374,-0.01411179546,1149.333374,-0.01564955711,1149.333374,-0.01546409167,1149.333374,-0.0172999166,1149.333374,-0.01623804495,
1148.666626,-0.01413860638,1148.666626,-0.01564930752,1148.666626,-0.01566628739,1148.666626,-0.0172732994,1148.666626,-0.01631484181,
1148,-0.01396843791,1148,-0.01550405845,1148,-0.0154235214,1148,-0.01708997041,1148,-0.01626208425,
1147.333374,-0.01415283885,1147.333374,-0.01557748858,1147.333374,-0.01562658511,1147.333374,-0.01720617712,1147.333374,-0.01636106335,
1146.666626,-0.01403395738,1146.666626,-0.01561979204,1146.666626,-0.01557014603,1146.666626,-0.01725926809,1146.666626,-0.01629310101,
1146,-0.01398382802,1146,-0.01574403234,1146,-0.01545150112,1146,-0.01711420901,1146,-0.01617420465,
