non-imine undoped,,non-imine 10 min iodine doped,,non-imine 1 min iodine doped,,non-imine 30 min iodine doping,,non-imine 30 min iodine doping1,,imine 1 hr iodine doping,,imine 1 hr iodine doping1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1200,-0.0142374197,1200,0.005885764956,1200,0.01289197244,1200,0.007674863562,1200,-0.007690258324,1200,-0.0109115066,1200,-0.005657692906,
1199.333374,-0.01413560007,1199.333374,0.005917410366,1199.333374,0.01285490859,1199.333374,0.007873094641,1199.333374,-0.00773638906,1199.333374,-0.01075405907,1199.333374,-0.005618087482,
1198.666626,-0.01432428788,1198.666626,0.005876214243,1198.666626,0.01277503185,1198.666626,0.007713517174,1198.666626,-0.007686494384,1198.666626,-0.01101337839,1198.666626,-0.005548576824,
1198,-0.01409305073,1198,0.006060763262,1198,0.01295002829,1198,0.007948937826,1198,-0.007542272098,1198,-0.01085081697,1198,-0.005384672433,
1197.333374,-0.01423756965,1197.333374,0.00592654245,1197.333374,0.01294653397,1197.333374,0.007878287695,1197.333374,-0.007709179074,1197.333374,-0.0109117087,1197.333374,-0.005474812351,
1196.666626,-0.01425901335,1196.666626,0.006071866956,1196.666626,0.01291242521,1196.666626,0.007904727012,1196.666626,-0.007607038133,1196.666626,-0.01086551044,1196.666626,-0.005288734101,
1196,-0.01418345608,1196,0.006121693179,1196,0.0128989853,1196,0.007834321819,1196,-0.007506908383,1196,-0.01081865095,1196,-0.005294104572,
1195.333374,-0.01427795086,1195.333374,0.00601593079,1195.333374,0.01283205859,1195.333374,0.007988221943,1195.333374,-0.007775191683,1195.333374,-0.01093084365,1195.333374,-0.005459423643,
1194.666626,-0.01412342209,1194.666626,0.006174019072,1194.666626,0.01294173393,1194.666626,0.00793406833,1194.666626,-0.007566185202,1194.666626,-0.01076532155,1194.666626,-0.005459526088,
1194,-0.01419543196,1194,0.006062574219,1194,0.01294437423,1194,0.007870247588,1194,-0.007508842275,1194,-0.01077996753,1194,-0.005358491093,
1193.333374,-0.01422935352,1193.333374,0.006241556257,1193.333374,0.01303671207,1193.333374,0.007933014072,1193.333374,-0.007541813888,1193.333374,-0.01077860408,1193.333374,-0.00531185139,
1192.666626,-0.0143223349,1192.666626,0.006288224366,1192.666626,0.01311124768,1192.666626,0.008026982658,1192.666626,-0.007478513755,1192.666626,-0.01078117918,1192.666626,-0.005238302052,
1192,-0.01435890049,1192,0.006144297775,1192,0.01283379085,1192,0.007811891846,1192,-0.007537489291,1192,-0.0107531501,1192,-0.005402057432,
1191.333374,-0.01402804162,1191.333374,0.006088430993,1191.333374,0.01309921592,1191.333374,0.007979916409,1191.333374,-0.007443755865,1191.333374,-0.01076809876,1191.333374,-0.005275743082,
1190.666626,-0.01425245032,1190.666626,0.006377686746,1190.666626,0.01320450287,1190.666626,0.008007311262,1190.666626,-0.007388229016,1190.666626,-0.01060534455,1190.666626,-0.005251192022,
1190,-0.01414066181,1190,0.006357644219,1190,0.01308075432,1190,0.008034497499,1190,-0.007443043403,1190,-0.01063227281,1190,-0.005266025197,
1189.333374,-0.01419197489,1189.333374,0.0065593482,1189.333374,0.01310703252,1189.333374,0.008012373932,1189.333374,-0.007227003109,1189.333374,-0.01065091416,1189.333374,-0.005355524831,
1188.666626,-0.01418536063,1188.666626,0.006327857729,1188.666626,0.01311244909,1188.666626,0.007891125046,1188.666626,-0.007338447496,1188.666626,-0.01069829706,1188.666626,-0.005331591703,
1188,-0.01436355896,1188,0.006309261546,1188,0.01302796323,1188,0.007954316214,1188,-0.007433526684,1188,-0.01082970947,1188,-0.005411363207,
1187.333374,-0.01418225374,1187.333374,0.006395944394,1187.333374,0.01322251558,1187.333374,0.008004331961,1187.333374,-0.00731609948,1187.333374,-0.01072638109,1187.333374,-0.005360689946,
1186.666626,-0.0142394742,1186.666626,0.006493285298,1186.666626,0.01319057308,1186.666626,0.008055514656,1186.666626,-0.007326128427,1186.666626,-0.01063646562,1186.666626,-0.005233136006,
1186,-0.01428766921,1186,0.006368676666,1186,0.01315156277,1186,0.008124426007,1186,-0.00728692906,1186,-0.01071829908,1186,-0.005155991763,
1185.333374,-0.01413565036,1185.333374,0.006446280517,1185.333374,0.01329398714,1185.333374,0.0079515744,1185.333374,-0.00727674691,1185.333374,-0.01063247491,1185.333374,-0.005206433591,
1184.666626,-0.01414472051,1184.666626,0.006399753504,1184.666626,0.01321675163,1184.666626,0.007899560034,1184.666626,-0.007276492193,1184.666626,-0.0107561294,1184.666626,-0.005165354349,
1184,-0.01448590588,1184,0.006199252792,1184,0.01311114151,1184,0.007745401468,1184,-0.007553872652,1184,-0.01097567193,1184,-0.005408244208,
1183.333374,-0.01418315526,1183.333374,0.006335133221,1183.333374,0.01335273683,1183.333374,0.008011214435,1183.333374,-0.00722537376,1183.333374,-0.01062757429,1183.333374,-0.005236255936,
1182.666626,-0.01413294394,1182.666626,0.00647859741,1182.666626,0.01341403089,1182.666626,0.00797053054,1182.666626,-0.007249457296,1182.666626,-0.01050322596,1182.666626,-0.005127545446,
1182,-0.01426467393,1182,0.006566102151,1182,0.01342372224,1182,0.008030805737,1182,-0.00722318422,1182,-0.01062989794,1182,-0.005150261801,
1181.333374,-0.01415644679,1181.333374,0.006669763941,1181.333374,0.01340604853,1181.333374,0.008007047698,1181.333374,-0.007195382379,1181.333374,-0.01062540151,1181.333374,-0.005084821489,
1180.666626,-0.01417423598,1180.666626,0.006568966899,1180.666626,0.01336002443,1180.666626,0.007980627939,1180.666626,-0.007019872312,1180.666626,-0.01065091416,1180.666626,-0.005107539706,
1180,-0.01424718928,1180,0.00651661912,1180,0.01344954129,1180,0.008081015199,1180,-0.007125767414,1180,-0.01055749692,1180,-0.005077350419,
1179.333374,-0.01403079927,1179.333374,0.006660012063,1179.333374,0.01339569036,1179.333374,0.007965731435,1179.333374,-0.007168189157,1179.333374,-0.01054506656,1179.333374,-0.00523467036,
1178.666626,-0.01400347985,1178.666626,0.006666162983,1178.666626,0.0136161549,1178.666626,0.008106597699,1178.666626,-0.006973971147,1178.666626,-0.01041988563,1178.666626,-0.005173642188,
1178,-0.01404648833,1178,0.006734197028,1178,0.01347498689,1178,0.008236322552,1178,-0.00692933891,1178,-0.01038869843,1178,-0.00514437817,
1177.333374,-0.01414351817,1177.333374,0.006739770994,1177.333374,0.01364615187,1177.333374,0.008132760413,1177.333374,-0.006965411827,1177.333374,-0.01050812751,1177.333374,-0.005173437297,
1176.666626,-0.01412838325,1176.666626,0.006723707542,1176.666626,0.01361455303,1176.666626,0.008140066639,1176.666626,-0.006995062809,1176.666626,-0.01059675589,1176.666626,-0.005076992325,
1176,-0.01421241835,1176,0.00676048873,1176,0.01359104831,1176,0.008075582795,1176,-0.007016408257,1176,-0.01055683941,1176,-0.00500442693,
1175.333374,-0.01436856762,1175.333374,0.006644082721,1175.333374,0.01355053298,1175.333374,0.008165493608,1175.333374,-0.007016713731,1175.333374,-0.01055466663,1175.333374,-0.004967474379,
1174.666626,-0.01412302162,1174.666626,0.006683538668,1174.666626,0.01363990176,1174.666626,0.008265527897,1174.666626,-0.00695985835,1174.666626,-0.01052788552,1174.666626,-0.005181673914,
1174,-0.01408077218,1174,0.006801032927,1174,0.01367470808,1174,0.008296106942,1174,-0.007044017781,1174,-0.0103271259,1174,-0.00503912475,
1173.333374,-0.01412452478,1173.333374,0.006793328561,1173.333374,0.01366316807,1173.333374,0.008149746805,1173.333374,-0.007003672421,1173.333374,-0.01060807239,1173.333374,-0.005101860501,
1172.666626,-0.01404673886,1172.666626,0.006821674295,1172.666626,0.01376519818,1172.666626,0.008276292123,1172.666626,-0.006828594487,1172.666626,-0.01043798029,1172.666626,-0.005035747308,
1172,-0.01396086719,1172,0.006778446492,1172,0.01365729142,1172,0.008336689323,1172,-0.006815394387,1172,-0.0104588028,1172,-0.005138596985,
1171.333374,-0.01406528428,1171.333374,0.006764905527,1171.333374,0.01368894707,1171.333374,0.008159690537,1171.333374,-0.006983090658,1171.333374,-0.01062595751,1171.333374,-0.005249964539,
1170.666626,-0.01420144457,1170.666626,0.006720579229,1170.666626,0.01355133392,1170.666626,0.008104777895,1170.666626,-0.00695236912,1170.666626,-0.01040972583,1170.666626,-0.005174870137,
1170,-0.0142797539,1170,0.006824724842,1170,0.01359216962,1170,0.00819725357,1170,-0.006865898613,1170,-0.01052844152,1170,-0.005180548411,
1169.333374,-0.01400673762,1169.333374,0.006986396387,1169.333374,0.01368309651,1169.333374,0.008191186003,1169.333374,-0.006882256363,1169.333374,-0.01033364795,1169.333374,-0.005043116398,
1168.666626,-0.01402603742,1168.666626,0.006922504399,1168.666626,0.01380161848,1168.666626,0.008341386914,1168.666626,-0.006888524164,1168.666626,-0.01046956796,1168.666626,-0.005085077137,
1168,-0.01405671332,1168,0.006938732695,1168,0.01370161027,1168,0.008392424323,1168,-0.006726653781,1168,-0.01029335428,1168,-0.005143355113,
1167.333374,-0.01409154758,1167.333374,0.007040563039,1167.333374,0.0135989273,1167.333374,0.008409103379,1167.333374,-0.006720536854,1167.333374,-0.01035038102,1167.333374,-0.004885010421,
1166.666626,-0.01407425571,1166.666626,0.007074292749,1166.666626,0.01360058319,1166.666626,0.008359251544,1166.666626,-0.006683270913,1166.666626,-0.01035710424,1166.666626,-0.005174665246,
1166,-0.01402327977,1166,0.00716957543,1166,0.01380266063,1166,0.008521072567,1166,-0.006516325753,1166,-0.01020774897,1166,-0.004819017835,
1165.333374,-0.01418546028,1165.333374,0.006925555412,1165.333374,0.01365357824,1165.333374,0.008350860327,1165.333374,-0.006762132049,1165.333374,-0.01039789803,1165.333374,-0.005187250208,
1164.666626,-0.01403761655,1164.666626,0.007174049504,1164.666626,0.01374411676,1164.666626,0.008410739712,1164.666626,-0.006690102164,1164.666626,-0.01012167148,1164.666626,-0.004984518047,
1164,-0.01403110009,1164,0.007282015868,1164,0.01391958445,1164,0.008672681637,1164,-0.006529433187,1164,-0.01011742279,1164,-0.004908046685,
1163.333374,-0.01405089907,1163.333374,0.007211210672,1163.333374,0.01389983203,1163.333374,0.008554442786,1163.333374,-0.006550954189,1163.333374,-0.01012450363,1163.333374,-0.004930262454,
1162.666626,-0.01399270166,1162.666626,0.007274908479,1162.666626,0.01411368139,1162.666626,0.008778247982,1162.666626,-0.006516121794,1162.666626,-0.01001503691,1162.666626,-0.004709946457,
1162,-0.01400247682,1162,0.007241005544,1162,0.01393284276,1162,0.008590877056,1162,-0.006569414865,1162,-0.01022848208,1162,-0.00494961068,
1161.333374,-0.01417939737,1161.333374,0.007095289417,1161.333374,0.01380757708,1161.333374,0.00840144977,1161.333374,-0.006674807984,1161.333374,-0.01038480643,1161.333374,-0.004941574764,
1160.666626,-0.01402663812,1160.666626,0.007327083964,1160.666626,0.01393719949,1160.666626,0.008656969294,1160.666626,-0.006530708168,1160.666626,-0.01021669898,1160.666626,-0.004962458275,
1160,-0.01405621227,1160,0.00735069951,1160,0.01410170086,1160,0.008493935689,1160,-0.006465271115,1160,-0.01018514391,1160,-0.00497407699,
1159.333374,-0.01422995422,1159.333374,0.00731489528,1159.333374,0.01415093336,1159.333374,0.008588289842,1159.333374,-0.006461598445,1159.333374,-0.01022731885,1159.333374,-0.004967576358,
1158.666626,-0.01398387831,1158.666626,0.007341037504,1158.666626,0.01417965628,1158.666626,0.008643370122,1158.666626,-0.006343857385,1158.666626,-0.01007027924,1158.666626,-0.004847893957,
1158,-0.01402904466,1158,0.007435193751,1158,0.01415095944,1158,0.008763482794,1158,-0.006206027698,1158,-0.01002793759,1158,-0.004819375928,
1157.333374,-0.01407926809,1157.333374,0.007521811407,1157.333374,0.01410207525,1157.333374,0.008712243289,1157.333374,-0.006165399682,1157.333374,-0.009975017048,1157.333374,-0.004714504816,
1156.666626,-0.0139117837,1156.666626,0.007309524808,1156.666626,0.01417476218,1156.666626,0.008762980811,1156.666626,-0.006265277974,1156.666626,-0.009928921238,1156.666626,-0.00468823174,
1156,-0.01387688518,1156,0.007535402197,1156,0.01427046489,1156,0.008799063042,1156,-0.006332275458,1156,-0.00994749181,1156,-0.004554332234,
1155.333374,-0.01410036813,1155.333374,0.007447280921,1155.333374,0.01401592698,1155.333374,0.008671625517,1155.333374,-0.006292833481,1155.333374,-0.01003618352,1155.333374,-0.004623489454,
1154.666626,-0.01415509358,1154.666626,0.007497659884,1154.666626,0.01413801592,1154.666626,0.008718951605,1154.666626,-0.006514642853,1154.666626,-0.01008287538,1154.666626,-0.004682546481,
1154,-0.01407144964,1154,0.007571356371,1154,0.0141629409,1154,0.008821358904,1154,-0.006365745328,1154,-0.009988222271,1154,-0.004788193852,
1153.333374,-0.01417634077,1153.333374,0.007563032676,1153.333374,0.01425912324,1153.333374,0.008713352494,1153.333374,-0.006383499131,1153.333374,-0.01010234933,1153.333374,-0.00476591941,
1152.666626,-0.01414757688,1152.666626,0.007454338484,1152.666626,0.01418158226,1152.666626,0.008678385988,1152.666626,-0.006306100171,1152.666626,-0.01001918595,1152.666626,-0.004853576887,
1152,-0.01399946865,1152,0.007646988612,1152,0.01428453624,1152,0.008855411783,1152,-0.00613017939,1152,-0.009755524807,1152,-0.004575592931,
1151.333374,-0.01405320503,1151.333374,0.007498924155,1151.333374,0.01425008196,1151.333374,0.008691247553,1151.333374,-0.006320489105,1151.333374,-0.009988121688,1151.333374,-0.004699959885,
1150.666626,-0.0140981134,1150.666626,0.007618825883,1150.666626,0.01430288795,1150.666626,0.008868436329,1150.666626,-0.006129056215,1150.666626,-0.01001549233,1150.666626,-0.004615140148,
1150,-0.01397495531,1150,0.007530108094,1150,0.01426038053,1150,0.008846323006,1150,-0.00620041322,1150,-0.01000835933,1150,-0.004746562801,
1149.333374,-0.01411179546,1149.333374,0.007661795244,1149.333374,0.0143211605,1149.333374,0.008819852956,1149.333374,-0.006206027698,1149.333374,-0.009999100119,1149.333374,-0.004777901806,
1148.666626,-0.01413860638,1148.666626,0.007621882018,1148.666626,0.01413801592,1148.666626,0.00880162511,1148.666626,-0.00626083836,1148.666626,-0.01007660292,1148.666626,-0.004713634029,
