0.0% TFA,,0.017% TFA,,0.017% TFA + triethylamine,,0.05% TFA,,0.05% TFA + triethylamine,,0.25% TFA,,0.25% TFA + triethylamine,,1.00% TFA,,1.00% TFA + triethylamine,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1400,0.0009905162733,1400,0.001514014089,1400,0.003967933822,1400,0.000630884897,1400,0.002950360067,1400,0.0001128774893,1400,0.006599794608,1400,-0.001172344899,1400,0.006242160685,
1399.333374,0.0009075259441,1399.333374,0.001486843685,1399.333374,0.003642321099,1399.333374,0.0006546056247,1399.333374,0.00268608937,1399.333374,0.000408439606,1399.333374,0.006485087331,1399.333374,-0.0007773842663,1399.333374,0.006266268436,
1398.666626,0.0008877081564,1398.666626,0.001438585343,1398.666626,0.003316117916,1398.666626,0.000676486874,1398.666626,0.00247990177,1398.666626,0.0005591342924,1398.666626,0.006315486506,1398.666626,-0.0005257879966,1398.666626,0.006041758694,
1398,0.000832072692,1398,0.001456765924,1398,0.003166732145,1398,0.0006244818214,1398,0.002289243042,1398,0.0005900830729,1398,0.00618454814,1398,-0.0003575450974,1398,0.005845201202,
1397.333374,0.0007778446889,1397.333374,0.001429417287,1397.333374,0.002932064701,1397.333374,0.0005698649911,1397.333374,0.00210441649,1397.333374,0.00063788431,1397.333374,0.006096175406,1397.333374,-0.0001400722686,1397.333374,0.005711414386,
1396.666626,0.0007807750953,1396.666626,0.001415263163,1396.666626,0.002707526321,1396.666626,0.0005464340211,1396.666626,0.001970242942,1396.666626,0.0008044780698,1396.666626,0.006043779664,1396.666626,0.0001078802306,1396.666626,0.00569850998,
1396,0.0007128370926,1396,0.001437182771,1396,0.002566942712,1396,0.0005796628539,1396,0.001876639668,1396,0.00100411172,1396,0.00602002535,1396,0.0003698090441,1396,0.005632158834,
1395.333374,0.0006584165967,1395.333374,0.001432326157,1395.333374,0.00236830744,1395.333374,0.0005223563057,1395.333374,0.00170316326,1395.333374,0.001031511463,1395.333374,0.005924443249,1395.333374,0.0005085686571,1395.333374,0.005543400068,
1394.666626,0.000637988036,1394.666626,0.0013805161,1394.666626,0.002182510681,1394.666626,0.0004974248004,1394.666626,0.001600186224,1394.666626,0.001295062597,1394.666626,0.005896916613,1394.666626,0.0008043224807,1394.666626,0.005608295556,
1394,0.0006060248706,1394,0.001400330453,1394,0.00207304745,1394,0.0005209568189,1394,0.00152952224,1394,0.001196932513,1394,0.005821194965,1394,0.000844288501,1394,0.005477622617,
1393.333374,0.0006385583547,1393.333374,0.001464739791,1393.333374,0.002014815342,1393.333374,0.0005540022976,1393.333374,0.001502922387,1393.333374,0.001291635446,1393.333374,0.00582263805,1393.333374,0.0009547395166,1393.333374,0.005501845852,
1392.666626,0.0006001924048,1392.666626,0.00141832768,1392.666626,0.001897386624,1392.666626,0.0004733239184,1392.666626,0.00139482494,1392.666626,0.001313496847,1392.666626,0.005729617551,1392.666626,0.001054916764,1392.666626,0.005508294795,
1392,0.0005675322027,1392,0.001449519536,1392,0.001873805886,1392,0.0005147627089,1392,0.001359378337,1392,0.001410069177,1392,0.005706404801,1392,0.001180501771,1392,0.005551082082,
1391.333374,0.0005854172632,1391.333374,0.001459233463,1391.333374,0.001789632952,1391.333374,0.0005547539331,1391.333374,0.001323597156,1391.333374,0.001448636525,1391.333374,0.005632709246,1391.333374,0.001335982583,1391.333374,0.005678787362,
1390.666626,0.0005761117791,1390.666626,0.00143261184,1390.666626,0.001742744353,1390.666626,0.0005120155402,1390.666626,0.001301683253,1390.666626,0.001492480282,1390.666626,0.005581392441,1390.666626,0.001403888338,1390.666626,0.005770616699,
1390,0.0005627111532,1390,0.001451077987,1390,0.001679645036,1390,0.000498772366,1390,0.001231509144,1390,0.001479051309,1390,0.005421029404,1390,0.001386281103,1390,0.00574902771,
1389.333374,0.0005560499267,1389.333374,0.001461596927,1389.333374,0.001620504307,1389.333374,0.0005103050498,1389.333374,0.001178087783,1389.333374,0.001481596846,1389.333374,0.005347146653,1389.333374,0.001455649151,1389.333374,0.005803906359,
1388.666626,0.0006124536158,1388.666626,0.00146907731,1388.666626,0.001620088588,1388.666626,0.0005231597461,1388.666626,0.001181539963,1388.666626,0.00155253883,1388.666626,0.005291356239,1388.666626,0.00150513032,1388.666626,0.005877972115,
1388,0.0005391768645,1388,0.001393266721,1388,0.001555630239,1388,0.0004817201989,1388,0.001125347801,1388,0.001515494776,1388,0.005133562256,1388,0.001447675517,1388,0.005822401959,
1387.333374,0.0005848988658,1387.333374,0.001479492872,1387.333374,0.00160301826,1387.333374,0.0005847433349,1387.333374,0.001185511355,1387.333374,0.001664833166,1387.333374,0.005170156714,1387.333374,0.00157976523,1387.333374,0.005926306359,
1386.666626,0.0005014417111,1386.666626,0.0014022002,1386.666626,0.001492973766,1386.666626,0.0004818497691,1386.666626,0.001052243984,1386.666626,0.001563709811,1386.666626,0.004954983946,1386.666626,0.001461778767,1386.666626,0.005834811367,
1386,0.0005192981334,1386,0.001401966554,1386,0.001470402,1386,0.0004835342115,1386,0.001038828748,1386,0.001544875093,1386,0.004872488789,1386,0.00141352322,1386,0.00586039247,
1385.333374,0.000519220368,1385.333374,0.001427988871,1385.333374,0.001499103964,1385.333374,0.000511730439,1385.333374,0.001025102451,1385.333374,0.001525651664,1385.333374,0.004772604909,1385.333374,0.001388202771,1385.333374,0.00585464621,
1384.666626,0.0005144776078,1384.666626,0.001377036329,1384.666626,0.001431521028,1384.666626,0.0004801652976,1384.666626,0.0009843673324,1384.666626,0.001543420367,1384.666626,0.004703437909,1384.666626,0.001366882934,1384.666626,0.005863488652,
1384,0.00049263041,1384,0.001315106638,1384,0.001322324853,1384,0.0003389277845,1384,0.0008838173235,1384,0.001406199648,1384,0.004417020828,1384,0.001171131618,1384,0.005724056624,
1383.333374,0.0004928377457,1383.333374,0.00134101999,1383.333374,0.001364078489,1383.333374,0.0004421243502,1383.333374,0.0009342450649,1383.333374,0.001451935037,1383.333374,0.004457268398,1383.333374,0.001210923772,1383.333374,0.005757631734,
1382.666626,0.0004379006568,1382.666626,0.001270424109,1382.666626,0.001304435427,1382.666626,0.0003714671475,1382.666626,0.0008582684677,1382.666626,0.001352107618,1382.666626,0.004311332945,1382.666626,0.001073314925,1382.666626,0.005608846433,
1382,0.0004933560267,1382,0.001284417696,1382,0.001397188171,1382,0.0004415542644,1382,0.0009211706347,1382,0.00147957087,1382,0.00437123375,1382,0.001144839101,1382,0.005622639321,
1381.333374,0.0004349207738,1381.333374,0.001283431193,1381.333374,0.001331672305,1381.333374,0.0004175083304,1381.333374,0.0008831429295,1381.333374,0.001418016036,1381.333374,0.004258263391,1381.333374,0.001046094229,1381.333374,0.005524182227,
1380.666626,0.0004373565025,1380.666626,0.001275486662,1380.666626,0.001370674232,1380.666626,0.0004435754381,1380.666626,0.0009333630442,1380.666626,0.001422768692,1380.666626,0.004241977818,1380.666626,0.001034028362,1380.666626,0.005490573123,
1380,0.0004502090742,1380,0.001289298758,1380,0.001373608597,1380,0.0004690999049,1380,0.0008719894104,1380,0.001356885536,1380,0.004201018251,1380,0.0009714211337,1380,0.005399248563,
1379.333374,0.0004505977558,1379.333374,0.001279848395,1379.333374,0.001371089718,1379.333374,0.0004323036701,1379.333374,0.0009018969722,1379.333374,0.001326401369,1379.333374,0.00417284295,1379.333374,0.0009902569,1379.333374,0.005316905212,
