0.0% TFA,,0.017% TFA,,0.017% TFA + triethylamine,,0.05% TFA,,0.05% TFA + triethylamine,,0.25% TFA,,0.25% TFA + triethylamine,,1.0% TFA,,1.0% TFA + triethylamine,,0.1% TFA,,0.1% TFA + triethylamine,,0.5% TFA,,0.5% TFA + triethylamine,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1400,0.002522235271,1400,0.007530950941,1400,0.004222007468,1400,0.01386968419,1400,0.004962027073,1400,0.08488839865,1400,0.006464908365,1400,0.2183729857,1400,0.009137739427,1400,0.03963196278,1400,0.009492052719,1400,0.1552957296,1400,0.007858596742,
1399.333374,0.002253645333,1399.333374,0.007300679572,1399.333374,0.003856374417,1399.333374,0.01367382705,1399.333374,0.004618767183,1399.333374,0.08518703282,1399.333374,0.006069976836,1399.333374,0.2185926884,1399.333374,0.008700886741,1399.333374,0.03980779648,1399.333374,0.009316460229,1399.333374,0.1557576358,1399.333374,0.007575729396,
1398.666626,0.002024697838,1398.666626,0.007065662649,1398.666626,0.003519153921,1398.666626,0.01359721832,1398.666626,0.004247153644,1398.666626,0.08542942256,1398.666626,0.005737932399,1398.666626,0.2188117355,1398.666626,0.008341782726,1398.666626,0.03992966563,1398.666626,0.009305537678,1398.666626,0.1561690867,1398.666626,0.007280173246,
1398,0.001828051987,1398,0.006849154364,1398,0.003257692792,1398,0.01345752459,1398,0.003824486863,1398,0.08556539565,1398,0.005264550913,1398,0.2189788967,1398,0.007927292958,1398,0.03988483176,1398,0.009109453298,1398,0.1564959139,1398,0.006996287499,
1397.333374,0.001742562396,1397.333374,0.006740428042,1397.333374,0.003051702632,1397.333374,0.01342131943,1397.333374,0.003618880408,1397.333374,0.08582156152,1397.333374,0.004973338451,1397.333374,0.2193083465,1397.333374,0.007737970445,1397.333374,0.04001208767,1397.333374,0.009090473875,1397.333374,0.1569541991,1397.333374,0.006921557244,
1396.666626,0.001559137367,1396.666626,0.006581922993,1396.666626,0.00282871793,1396.666626,0.01331544667,1396.666626,0.003399648005,1396.666626,0.08610162139,1396.666626,0.004717176314,1396.666626,0.2195860744,1396.666626,0.007459131069,1396.666626,0.04012935981,1396.666626,0.009078711271,1396.666626,0.1573403031,1396.666626,0.00679601077,
1396,0.001443831599,1396,0.006548205391,1396,0.002712319139,1396,0.01338386349,1396,0.003255032469,1396,0.08645927161,1396,0.004614711739,1396,0.2199857086,1396,0.00733719347,1396,0.04042325541,1396,0.00917065423,1396,0.1579755396,1396,0.00676043611,
1395.333374,0.001292102737,1395.333374,0.006445334759,1395.333374,0.002463708632,1395.333374,0.01325243153,1395.333374,0.003008639673,1395.333374,0.0866317749,1395.333374,0.004357244819,1395.333374,0.2200881839,1395.333374,0.007079318166,1395.333374,0.04045169801,1395.333374,0.008997067809,1395.333374,0.1582864374,1395.333374,0.006599032786,
1394.666626,0.001166978618,1394.666626,0.006374009419,1394.666626,0.002271729987,1394.666626,0.01320802514,1394.666626,0.002907880582,1394.666626,0.08690821379,1394.666626,0.004218687769,1394.666626,0.2202366143,1394.666626,0.006957828999,1394.666626,0.04063494131,1394.666626,0.008989457041,1394.666626,0.1587074399,1394.666626,0.006603421643,
1394,0.001019887161,1394,0.006142565049,1394,0.002118046861,1394,0.0131199453,1394,0.002650537295,1394,0.08700264245,1394,0.00399348326,1394,0.2202872038,1394,0.00670070434,1394,0.04063886404,1394,0.008869387209,1394,0.158907786,1394,0.006429912522,
1393.333374,0.001001231722,1393.333374,0.006153775845,1393.333374,0.002058768412,1393.333374,0.01313083153,1393.333374,0.002573192352,1393.333374,0.08722421527,1393.333374,0.00388865592,1393.333374,0.22048904,1393.333374,0.006636328995,1393.333374,0.0407519266,1393.333374,0.008838080801,1393.333374,0.159292385,1393.333374,0.006446122658,
1392.666626,0.0009226233233,1392.666626,0.006055486854,1392.666626,0.001908514532,1392.666626,0.01305626519,1392.666626,0.002442674246,1392.666626,0.08745533973,1392.666626,0.003776960308,1392.666626,0.2206488997,1392.666626,0.00656660134,1392.666626,0.04082153365,1392.666626,0.008696951903,1392.666626,0.159649685,1392.666626,0.006432907656,
1392,0.0008272486739,1392,0.005994356237,1392,0.001824568724,1392,0.01307587232,1392,0.002301916247,1392,0.08768238127,1392,0.003698422108,1392,0.2208961844,1392,0.00651010219,1392,0.0409661904,1392,0.008589504287,1392,0.1601026654,1392,0.006416487973,
1391.333374,0.0007838610327,1391.333374,0.005937984213,1391.333374,0.001784226391,1391.333374,0.01309673488,1391.333374,0.00222177105,1391.333374,0.0878791064,1391.333374,0.003627311671,1391.333374,0.220948711,1391.333374,0.006543054711,1391.333374,0.04108878225,1391.333374,0.008462418802,1391.333374,0.1603888869,1391.333374,0.00649131462,
1390.666626,0.0007624930004,1390.666626,0.005917069502,1390.666626,0.001716157305,1390.666626,0.01311052777,1390.666626,0.002191278385,1390.666626,0.08813353628,1390.666626,0.00357492594,1390.666626,0.2210436463,1390.666626,0.006553251296,1390.666626,0.04118331894,1390.666626,0.008337059058,1390.666626,0.1607189775,1390.666626,0.006542976014,
1390,0.0006708090659,1390,0.005831768271,1390,0.001608396531,1390,0.01302449498,1390,0.002075908706,1390,0.08822423965,1390,0.003527870169,1390,0.2212195992,1390,0.006481908262,1390,0.0412664637,1390,0.008136189543,1390,0.1609847844,1390,0.006473631598,
1389.333374,0.0006200489588,1389.333374,0.005785752553,1389.333374,0.001521885046,1389.333374,0.01305194385,1389.333374,0.001959815389,1389.333374,0.08840376139,1389.333374,0.003461040789,1389.333374,0.2213449776,1389.333374,0.006442260463,1389.333374,0.041337464,1389.333374,0.007963437587,1389.333374,0.1613493413,1389.333374,0.006439843681,
1388.666626,0.0006414100062,1388.666626,0.005875452887,1388.666626,0.001573088346,1388.666626,0.01313301921,1388.666626,0.00200654543,1388.666626,0.08872209489,1388.666626,0.00346393697,1388.666626,0.2215323001,1388.666626,0.006503848359,1388.666626,0.04152205214,1388.666626,0.007906151004,1388.666626,0.1617585719,1388.666626,0.00652042916,
1388,0.0006228745915,1388,0.005872881506,1388,0.001536951866,1388,0.01310062967,1388,0.001968084602,1388,0.08888828754,1388,0.003432965372,1388,0.2215952575,1388,0.006450274028,1388,0.04162454605,1388,0.007757233456,1388,0.1620303541,1388,0.006487609819,
1387.333374,0.0006247410201,1387.333374,0.005859500263,1387.333374,0.001519313315,1387.333374,0.01323772687,1387.333374,0.001963351853,1387.333374,0.08911127597,1387.333374,0.003477897262,1387.333374,0.2216801196,1387.333374,0.006502718665,1387.333374,0.04180848598,1387.333374,0.007690461352,1387.333374,0.1623829603,1387.333374,0.0065284702,
1386.666626,0.0005797147169,1386.666626,0.005821011495,1386.666626,0.00146453199,1386.666626,0.01316794567,1386.666626,0.001895124675,1386.666626,0.08922045678,1386.666626,0.003382481635,1386.666626,0.2216273844,1386.666626,0.006453558337,1386.666626,0.04183793068,1386.666626,0.007515885402,1386.666626,0.1625563949,1386.666626,0.006469296291,
1386,0.0005488184979,1386,0.005810255185,1386,0.001414146507,1386,0.01315415092,1386,0.001835018746,1386,0.08936598897,1386,0.003307640553,1386,0.2217194438,1386,0.006384989712,1386,0.04192493111,1386,0.007361836266,1386,0.1628241539,1386,0.006360874977,
1385.333374,0.0005521879648,1385.333374,0.005821903702,1385.333374,0.001400849782,1385.333374,0.01321290806,1385.333374,0.001824386767,1385.333374,0.08952765912,1385.333374,0.003272924107,1385.333374,0.2218221575,1385.333374,0.00635349378,1385.333374,0.04205138981,1385.333374,0.00726048369,1385.333374,0.1631686985,1385.333374,0.006298755761,
1384.666626,0.0005570866633,1384.666626,0.005822664127,1384.666626,0.001425158,1384.666626,0.01325678173,1384.666626,0.001810245682,1384.666626,0.08980686218,1384.666626,0.003277175594,1384.666626,0.2219121605,1384.666626,0.006405611522,1384.666626,0.04217737168,1384.666626,0.007226502523,1384.666626,0.1634691954,1384.666626,0.00630776491,
1384,0.0004552361788,1384,0.005803958979,1384,0.001313704648,1384,0.01316415612,1384,0.001689857803,1384,0.08984480798,1384,0.003089321079,1384,0.221766293,1384,0.006265375763,1384,0.0421323292,1384,0.00703203911,1384,0.1636552811,1384,0.006147947162,
1383.333374,0.0005302611389,1383.333374,0.005853885319,1383.333374,0.001363844727,1383.333374,0.01325555425,1383.333374,0.001736220904,1383.333374,0.09010090679,1383.333374,0.003108613892,1383.333374,0.2218944728,1383.333374,0.006259624381,1383.333374,0.0423120074,1383.333374,0.00707542384,1383.333374,0.1639843732,1383.333374,0.006127836183,
1382.666626,0.0005354447057,1382.666626,0.005865429994,1382.666626,0.001341928844,1382.666626,0.01323385723,1382.666626,0.00169450941,1382.666626,0.09028012305,1382.666626,0.003067187732,1382.666626,0.2219325751,1382.666626,0.006176198367,1382.666626,0.04242832959,1382.666626,0.006944388151,1382.666626,0.164230004,1382.666626,0.005958322436,
1382,0.0005722496426,1382,0.005941867828,1382,0.001385943498,1382,0.01340089552,1382,0.001807386405,1382,0.09045692533,1382,0.003135442734,1382,0.2220079601,1382,0.006196653005,1382,0.04260530323,1382,0.006982792169,1382,0.1645549089,1382,0.005980525166,
1381.333374,0.0005228487425,1381.333374,0.005905786064,1381.333374,0.001312458306,1381.333374,0.01338407677,1381.333374,0.001727410476,1381.333374,0.09055538476,1381.333374,0.00300647621,1381.333374,0.2219056785,1381.333374,0.006056484301,1381.333374,0.04265061766,1381.333374,0.006928922143,1381.333374,0.1647206247,1381.333374,0.005804641172,
1380.666626,0.0005370515864,1380.666626,0.005928405561,1380.666626,0.001302124583,1380.666626,0.01338493172,1380.666626,0.001701396075,1380.666626,0.09075529873,1380.666626,0.00297011598,1380.666626,0.2219773233,1380.666626,0.005998529494,1380.666626,0.04274075478,1380.666626,0.006883710623,1380.666626,0.1649715602,1380.666626,0.005730063189,
1380,0.0005310386769,1380,0.005890330765,1380,0.001253133873,1380,0.01335073449,1380,0.001628507045,1380,0.09087377042,1380,0.002886147005,1380,0.2219904363,1380,0.005872750655,1380,0.04281379655,1380,0.006767455954,1380,0.1652088463,1380,0.005567600485,
1379.333374,0.000554416969,1379.333374,0.005956275389,1379.333374,0.001307499129,1379.333374,0.01342892926,1379.333374,0.001703631016,1379.333374,0.09105011076,1379.333374,0.002909756731,1379.333374,0.222075507,1379.333374,0.005854856223,1379.333374,0.04297443479,1379.333374,0.006767587271,1379.333374,0.1654883623,1379.333374,0.005504781846,
1378.666626,0.0005222008331,1378.666626,0.005918329116,1378.666626,0.001259520301,1378.666626,0.01342895534,1378.666626,0.001638224931,1378.666626,0.09118498117,1378.666626,0.002831818303,1378.666626,0.2220776677,1378.666626,0.005733158439,1378.666626,0.04301353171,1378.666626,0.006736536976,1378.666626,0.1657401621,1378.666626,0.005375555251,
1378,0.0005557129625,1378,0.00594824506,1378,0.001296828035,1378,0.01350593567,1378,0.001693651895,1378,0.09138572961,1378,0.002794873435,1378,0.2222093493,1378,0.005676951259,1378,0.04315057024,1378,0.006778499112,1378,0.1660951078,1378,0.005336795002,
1377.333374,0.0005197646096,1377.333374,0.005909380969,1377.333374,0.001242386294,1377.333374,0.01348083466,1377.333374,0.001599043142,1377.333374,0.09151306003,1377.333374,0.002723962767,1377.333374,0.2222261876,1377.333374,0.005503497086,1377.333374,0.04319048673,1377.333374,0.00666687265,1377.333374,0.1663429588,1377.333374,0.005152998492,
1376.666626,0.0004924489767,1376.666626,0.005899461918,1376.666626,0.001226498978,1376.666626,0.01349058095,1376.666626,0.001576128067,1376.666626,0.09166252613,1376.666626,0.002651448827,1376.666626,0.2222564071,1376.666626,0.005378516857,1376.666626,0.04327392578,1376.666626,0.006626051851,1376.666626,0.1666028053,1376.666626,0.005040348507,
1376,0.0004860479676,1376,0.005881855264,1376,0.001219152589,1376,0.01350676268,1376,0.00154866802,1376,0.09177286178,1376,0.00260964944,1376,0.2222796082,1376,0.005279433914,1376,0.04334045202,1376,0.006533489563,1376,0.1668195575,1376,0.004972343333,
1375.333374,0.0005049144384,1375.333374,0.005940844305,1375.333374,0.00120817218,1375.333374,0.01354150567,1375.333374,0.001550902147,1375.333374,0.09197273105,1375.333374,0.002630613744,1375.333374,0.2223541439,1375.333374,0.005248122849,1375.333374,0.0434942171,1375.333374,0.006512913853,1375.333374,0.1671242267,1375.333374,0.004949014168,
1374.666626,0.0004560135712,1374.666626,0.005931869615,1374.666626,0.001182422508,1374.666626,0.01356855966,1374.666626,0.001539523713,1374.666626,0.09210743755,1374.666626,0.002604675479,1374.666626,0.2223916054,1374.666626,0.005201488268,1374.666626,0.04353221506,1374.666626,0.006412337068,1374.666626,0.1673548967,1374.666626,0.004936865531,
1374,0.0005246629589,1374,0.005985065363,1374,0.001269100117,1374,0.01357948314,1374,0.001594054629,1374,0.09229132533,1374,0.002662856597,1374,0.2224676311,1374,0.005256481003,1374,0.04366083071,1374,0.006330168806,1374,0.1676560193,1374,0.004956397694,
1373.333374,0.0005125856842,1373.333374,0.005957666319,1373.333374,0.001256664633,1373.333374,0.01360515039,1373.333374,0.001553396112,1373.333374,0.09239602834,1373.333374,0.002665591193,1373.333374,0.2224742472,1373.333374,0.005293033086,1373.333374,0.04370522872,1373.333374,0.006251640618,1373.333374,0.1678443849,1373.333374,0.004989808425,
1372.666626,0.0005742455251,1372.666626,0.006021888927,1372.666626,0.001291505643,1372.666626,0.01367863547,1372.666626,0.001599017065,1372.666626,0.09258615971,1372.666626,0.002730553271,1372.666626,0.2225497663,1372.666626,0.005426979158,1372.666626,0.04383661598,1372.666626,0.006284783594,1372.666626,0.1681495011,1372.666626,0.005150195677,
1372,0.0005113935331,1372,0.006006219424,1372,0.001286442857,1372,0.01365285646,1372,0.001589352149,1372,0.09268205613,1372,0.002729953965,1372,0.2225557715,1372,0.005495920777,1372,0.04386482388,1372,0.006119119935,1372,0.1683074832,1372,0.005228210706,
1371.333374,0.0005467968876,1371.333374,0.006026823539,1371.333374,0.001291895052,1371.333374,0.01370481588,1371.333374,0.001634353306,1371.333374,0.0928723067,1371.333374,0.002824444789,1371.333374,0.222602278,1371.333374,0.005645559169,1371.333374,0.04399703071,1371.333374,0.006135476287,1371.333374,0.1686617881,1371.333374,0.005334645975,
1370.666626,0.0005040851538,1370.666626,0.005999421701,1370.666626,0.001290311338,1370.666626,0.01365106739,1370.666626,0.001612969325,1370.666626,0.09298173338,1370.666626,0.00284138089,1370.666626,0.2226048261,1370.666626,0.005736909341,1370.666626,0.04406258091,1370.666626,0.006024093833,1370.666626,0.1688838899,1370.666626,0.005366775673,
