imine polymer 0% TFA,,imine polymer 0.017% TFA,,imine polymer 0.05% TFA,,imine polymer 0.25% TFA,,imine polymer 1.0% TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1400,0.0003194208548,1400,0.004042601213,1400,0.003641564166,1400,0.007696600631,1400,0.006394131575,
1399.333374,0.000253186794,1399.333374,0.003671976272,1399.333374,0.003333386034,1399.333374,0.007472430356,1399.333374,0.006111034192,
1398.666626,0.0005131299258,1398.666626,0.003380394541,1398.666626,0.003078684444,1398.666626,0.007376896683,1398.666626,0.006065067835,
1398,0.0004247115867,1398,0.003239097539,1398,0.00288025802,1398,0.007209947333,1398,0.006020865403,
1397.333374,0.0003865977633,1397.333374,0.002956875833,1397.333374,0.002533092862,1397.333374,0.007016385905,1397.333374,0.005935464986,
1396.666626,0.0004036721366,1396.666626,0.002751210704,1396.666626,0.002534759231,1396.666626,0.007118050009,1396.666626,0.005925151985,
1396,0.0004154613707,1396,0.002530489117,1396,0.002294447506,1396,0.006876241881,1396,0.005775758065,
1395.333374,0.0004792323743,1395.333374,0.002441268647,1395.333374,0.002233349718,1395.333374,0.006892731413,1395.333374,0.005812957417,
1394.666626,0.0003686431737,1394.666626,0.002254894236,1394.666626,0.002093933988,1394.666626,0.006696340628,1394.666626,0.005666513462,
1394,0.0005035668146,1394,0.002126136795,1394,0.001941197668,1394,0.006700809579,1394,0.005741289817,
1393.333374,0.000483275071,1393.333374,0.001997963525,1393.333374,0.001818849822,1393.333374,0.006579820532,1393.333374,0.005717473105,
1392.666626,0.0005182873574,1392.666626,0.001907422557,1392.666626,0.001691520913,1392.666626,0.006490841974,1392.666626,0.005722561851,
1392,0.0005103309522,1392,0.001855737763,1392,0.001647085417,1392,0.006328199059,1392,0.005792652257,
1391.333374,0.0004492243752,1391.333374,0.001850122469,1391.333374,0.00166285818,1391.333374,0.006325677503,1391.333374,0.005973858759,
1390.666626,0.0005709018442,1390.666626,0.001708308817,1390.666626,0.001553915674,1390.666626,0.006153487135,1390.666626,0.005888467655,
1390,0.0004936152254,1390,0.001676370739,1390,0.001486843685,1390,0.006083889864,1390,0.005959372036,
1389.333374,0.000520231144,1389.333374,0.001595457667,1389.333374,0.001428144751,1389.333374,0.005878522992,1389.333374,0.0058804648,
1388.666626,0.000484700402,1388.666626,0.001649190206,1388.666626,0.001388202771,1388.666626,0.005764084868,1388.666626,0.005939427298,
1388,0.0005509956973,1388,0.001623959979,1388,0.001414510072,1388,0.005724266637,1388,0.006007794291,
1387.333374,0.0005147367483,1387.333374,0.001475181198,1387.333374,0.001274214592,1387.333374,0.005454921629,1387.333374,0.005886604544,
1386.666626,0.0005530432682,1386.666626,0.001546849497,1386.666626,0.001349666738,1386.666626,0.005476914812,1386.666626,0.00600929046,
1386,0.0005942563876,1386,0.00152253441,1386,0.001317703165,1386,0.005363394972,1386,0.006023699883,
1385.333374,0.0006091095856,1385.333374,0.001521885046,1385.333374,0.001317002112,1385.333374,0.005338236224,1385.333374,0.006111112889,
1384.666626,0.0005412503378,1384.666626,0.001494947937,1384.666626,0.001267672167,1384.666626,0.005135422107,1384.666626,0.005939821247,
1384,0.0005156179541,1384,0.00150707853,1384,0.001119690132,1384,0.00494495593,1384,0.005859526806,
1383.333374,0.0006105871871,1383.333374,0.001589144231,1383.333374,0.00125134259,1383.333374,0.004950244445,1383.333374,0.005902033765,
1382.666626,0.0005251553957,1382.666626,0.001491597039,1382.666626,0.001213701325,1382.666626,0.004861206282,1382.666626,0.005839088,
