non-imine polymer 0.0% TFA,,non-imine polymer 0.017% TFA,,non-imine polymer 0.05% TFA,,non-imine polymer 0.1% TFA,,non-imine polymer 0.25% TFA,,non-imine polymer 0.5% TFA,,non-imine polymer 1.0% TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1400,0.001583480509,1400,0.003395004198,1400,0.003102852032,1400,0.006508158054,1400,0.004041425418,1400,0.008614799008,1400,0.008110447787,
1399.333374,0.001427417505,1399.333374,0.00298286113,1399.333374,0.002752044471,1399.333374,0.006482328754,1399.333374,0.003578136209,1399.333374,0.008181320503,1399.333374,0.007637583185,
1398.666626,0.001347667305,1398.666626,0.002827910008,1398.666626,0.002567593707,1398.666626,0.006395366043,1398.666626,0.003654511878,1398.666626,0.007979652844,1398.666626,0.007553049829,
1398,0.001155350707,1398,0.002594206948,1398,0.002435802016,1398,0.006412284449,1398,0.003525939072,1398,0.00779542001,1398,0.007326715626,
1397.333374,0.0009221563814,1397.333374,0.002269596327,1397.333374,0.002131053247,1397.333374,0.006253794301,1397.333374,0.003394978121,1397.333374,0.00749102328,1397.333374,0.007114576641,
1396.666626,0.0008393606404,1396.666626,0.002175017959,1396.666626,0.002098511904,1396.666626,0.006186123472,1396.666626,0.003227883251,1396.666626,0.007504586596,1396.666626,0.006839608774,
1396,0.0007163634291,1396,0.001945826109,1396,0.001871284097,1396,0.006268736906,1396,0.003126395401,1396,0.007275750861,1396,0.006729964633,
1395.333374,0.0006872723461,1395.333374,0.001817420125,1395.333374,0.001814326853,1395.333374,0.006317640189,1395.333374,0.003144724993,1395.333374,0.007223212626,1395.333374,0.006649103481,
1394.666626,0.0005508401664,1394.666626,0.001595509588,1394.666626,0.001600498101,1394.666626,0.006192767061,1394.666626,0.00294488715,1394.666626,0.007118471432,1394.666626,0.006381522398,
1394,0.0005238077138,1394,0.001550148707,1394,0.001575556467,1394,0.006162256468,1394,0.002970793517,1394,0.007104630582,1394,0.00641491171,
1393.333374,0.0004235715023,1393.333374,0.001411523437,1393.333374,0.00146923319,1393.333374,0.006104471162,1393.333374,0.002910486422,1393.333374,0.007026093546,1393.333374,0.006309682038,
1392.666626,0.0003763120039,1392.666626,0.001273461618,1392.666626,0.001352237421,1392.666626,0.005990603007,1392.666626,0.002909365809,1392.666626,0.007011387497,1392.666626,0.006344694179,
1392,0.000309007155,1392,0.00120038481,1392,0.001340241055,1392,0.005878969096,1392,0.002888935385,1392,0.007027198561,1392,0.00628016144,
1391.333374,0.0003042407916,1391.333374,0.001168821473,1391.333374,0.001301267883,1391.333374,0.005740424152,1391.333374,0.002914056648,1391.333374,0.007038853131,1391.333374,0.006242869422,
1390.666626,0.0002157613635,1390.666626,0.001094594481,1390.666626,0.001263051061,1390.666626,0.005546048284,1390.666626,0.002847660333,1390.666626,0.006962011568,1390.666626,0.006242186762,
1390,0.0002089759219,1390,0.001062831259,1390,0.001170560485,1390,0.005368295591,1390,0.002828300931,1390,0.007065636571,1390,0.006312177051,
1389.333374,0.0001402469352,1389.333374,0.001014697831,1389.333374,0.001127553871,1389.333374,0.005267590284,1389.333374,0.002847503871,1389.333374,0.00698721176,1389.333374,0.006217791233,
1388.666626,0.0001922458614,1388.666626,0.0009731593891,1388.666626,0.001097267494,1388.666626,0.005084687378,1388.666626,0.002739435993,1388.666626,0.007027619518,1388.666626,0.006200198084,
1388,0.0001949909929,1388,0.000995212351,1388,0.001129266806,1388,0.00494045252,1388,0.002773771062,1388,0.006979951169,1388,0.006240138318,
1387.333374,6.021493755E-005,1387.333374,0.0008658940205,1387.333374,0.001004890073,1387.333374,0.004732537549,1387.333374,0.002619545674,1387.333374,0.006815521512,1387.333374,0.00617611967,
1386.666626,0.0001522361708,1386.666626,0.0009434025851,1386.666626,0.001056447742,1386.666626,0.004657149781,1386.666626,0.00269937329,1386.666626,0.006864617579,1386.666626,0.006223673467,
1386,0.000160444979,1386,0.0009298350196,1386,0.001020950964,1386,0.004554437939,1386,0.002643296961,1386,0.006836111192,1386,0.006167953834,
1385.333374,0.0001553953771,1385.333374,0.0009503551992,1385.333374,0.001051102299,1385.333374,0.004478374496,1385.333374,0.002632020041,1385.333374,0.006799744442,1385.333374,0.006201957352,
1384.666626,0.0001176417718,1384.666626,0.0008875265485,1384.666626,0.0009824733716,1384.666626,0.004303019028,1384.666626,0.002567385323,1384.666626,0.00659766607,1384.666626,0.006117439829,
1384,0.0001639408874,1384,0.00079283386,1384,0.0009754943312,1384,0.004248617683,1384,0.002493804088,1384,0.006531439722,1384,0.00601396244,
1383.333374,0.0001848651591,1383.333374,0.0008796930779,1383.333374,0.001004786347,1383.333374,0.004256067798,1383.333374,0.002526271157,1383.333374,0.006482039578,1383.333374,0.006111008115,
1382.666626,0.0001603931887,1382.666626,0.0008612771635,1382.666626,0.0009337521624,1382.666626,0.004117725883,1382.666626,0.00245777308,1382.666626,0.006248752121,1382.666626,0.005908750929,
1382,0.0001277660485,1382,0.0008508504834,1382,0.0008684359491,1382,0.004013991915,1382,0.002324843546,1382,0.006063886918,1382,0.005780479871,
1381.333374,7.637032104E-005,1381.333374,0.0008240327006,1381.333374,0.0008498389507,1381.333374,0.003933007829,1381.333374,0.002270012628,1381.333374,0.005936645903,1381.333374,0.0057284371,
1380.666626,0.0001675404201,1380.666626,0.0008572309744,1380.666626,0.0008667240618,1380.666626,0.003940112889,1380.666626,0.002266811905,1380.666626,0.005817679688,1380.666626,0.005675692577,
1380,9.042910096E-005,1380,0.0007734621759,1380,0.0008503057761,1380,0.003781843232,1380,0.002100280719,1380,0.005718364846,1380,0.005484281108,
