FeCl3 0 uM,,FeCl3 5 uM,,FeCl3 20 uM,,FeCl3 50 uM,,FeCl3 100 uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1400,0.01662482321,1400,0.03926778212,1400,0.1100335643,1400,0.2266199589,1400,0.3474237621,
1399.333374,0.01657426171,1399.333374,0.0391587615,1399.333374,0.1101989821,1399.333374,0.2267663777,1399.333374,0.3476032913,
1398.666626,0.0153688984,1398.666626,0.03794988245,1398.666626,0.1090576351,1398.666626,0.2256897539,1398.666626,0.3463130891,
1398,0.01459127106,1398,0.03688239679,1398,0.1075051948,1398,0.2235166579,1398,0.3437949717,
1397.333374,0.01316954661,1397.333374,0.03526916727,1397.333374,0.1059443057,1397.333374,0.2221374959,1397.333374,0.3413691223,
1396.666626,0.01238052826,1396.666626,0.0344399251,1396.666626,0.1049047038,1396.666626,0.2206265628,1396.666626,0.3396102488,
1396,0.01137990411,1396,0.03344260529,1396,0.104324162,1396,0.2205681503,1396,0.3397475481,
1395.333374,0.01048833132,1395.333374,0.03246127069,1395.333374,0.1035015136,1395.333374,0.2197670639,1395.333374,0.3395196795,
1394.666626,0.009120953269,1394.666626,0.0312897861,1394.666626,0.1027256101,1394.666626,0.2196871638,1394.666626,0.3390197158,
1394,0.008030595258,1394,0.02993121743,1394,0.1006321013,1394,0.2168004364,1394,0.3357566595,
1393.333374,0.007276882418,1393.333374,0.02902194671,1393.333374,0.0997955054,1393.333374,0.2159629315,1393.333374,0.3342639208,
1392.666626,0.006787859369,1392.666626,0.02837353759,1392.666626,0.09874241799,1392.666626,0.214715302,1392.666626,0.3327939808,
1392,0.006488214247,1392,0.02830763534,1392,0.09920684993,1392,0.2156124562,1392,0.3334632814,
1391.333374,0.005742732435,1391.333374,0.02736092359,1391.333374,0.09848225117,1391.333374,0.2147039324,1391.333374,0.3328435123,
1390.666626,0.005356371403,1390.666626,0.02711276151,1390.666626,0.09822726995,1390.666626,0.2145549506,1390.666626,0.3330532014,
1390,0.004751170985,1390,0.02632230893,1390,0.09716110677,1390,0.2129474878,1390,0.3305812776,
1389.333374,0.004633287899,1389.333374,0.02609186433,1389.333374,0.09682676196,1389.333374,0.2124638408,1389.333374,0.3291712105,
1388.666626,0.004415295087,1388.666626,0.0258060731,1388.666626,0.09664546698,1388.666626,0.2123530209,1388.666626,0.3296065032,
1388,0.004435771145,1388,0.02596103586,1388,0.09700048715,1388,0.2128374875,1388,0.3302046955,
1387.333374,0.004037480336,1387.333374,0.02558367327,1387.333374,0.09676950425,1387.333374,0.2127045244,1387.333374,0.3303461373,
1386.666626,0.003840495599,1386.666626,0.02536305971,1386.666626,0.09660598636,1386.666626,0.2121645957,1386.666626,0.3293705285,
1386,0.003608987667,1386,0.02499142475,1386,0.09588825703,1386,0.2116728276,1386,0.3289200366,
1385.333374,0.003591969376,1385.333374,0.02498100512,1385.333374,0.09617611021,1385.333374,0.2108877152,1385.333374,0.3282612562,
1384.666626,0.003639789065,1384.666626,0.0252905339,1384.666626,0.09699605405,1384.666626,0.2127734274,1384.666626,0.3288441598,
1384,0.003361950396,1384,0.02482718602,1384,0.0957352072,1384,0.2105275095,1384,0.3270040751,
1383.333374,0.003579154145,1383.333374,0.0249746982,1383.333374,0.09618935734,1383.333374,0.2111234069,1383.333374,0.3281108737,
1382.666626,0.003382194554,1382.666626,0.02489785291,1382.666626,0.09641356766,1382.666626,0.2113030404,1382.666626,0.327491343,
1382,0.003254224081,1382,0.02501357906,1382,0.09656362981,1382,0.2113608569,1382,0.327916801,
1381.333374,0.003187723458,1381.333374,0.02482891269,1381.333374,0.09619988501,1381.333374,0.2109458148,1381.333374,0.3280667365,
1380.666626,0.003023002297,1380.666626,0.02474842034,1380.666626,0.0965045616,1380.666626,0.2115626782,1380.666626,0.328109771,
1380,0.00335597666,1380,0.02505822293,1380,0.09645051509,1380,0.2105516046,1380,0.3277416825,
1379.333374,0.003138363129,1379.333374,0.02499383688,1379.333374,0.09658057243,1379.333374,0.2113598883,1379.333374,0.3277533352,
1378.666626,0.002999464516,1378.666626,0.02471920848,1378.666626,0.09653149545,1378.666626,0.2110179812,1378.666626,0.3278152943,
1378,0.003078736598,1378,0.02474735118,1378,0.09612201154,1378,0.210317865,1378,0.3268156946,
1377.333374,0.003125482937,1377.333374,0.02483820543,1377.333374,0.09631597251,1377.333374,0.2106964737,1377.333374,0.3267430067,
1376.666626,0.003109213663,1376.666626,0.02484807186,1376.666626,0.09644783288,1376.666626,0.2110412866,1376.666626,0.3277395666,
1376,0.003082203912,1376,0.0248405356,1376,0.09628165513,1376,0.2103729844,1376,0.3267103136,
1375.333374,0.003130567027,1375.333374,0.02493689023,1375.333374,0.09636473656,1375.333374,0.211028412,1375.333374,0.3272558451,
1374.666626,0.003337976988,1374.666626,0.02500146069,1374.666626,0.09615075588,1374.666626,0.2104233205,1374.666626,0.3270896673,
1374,0.003131036414,1374,0.02496466413,1374,0.09640500695,1374,0.2110227793,1374,0.3271129131,
1373.333374,0.003117843531,1373.333374,0.02489269897,1373.333374,0.09610886127,1373.333374,0.210229516,1373.333374,0.3265765309,
