t=1hr FeCl3 0 uM,,t=1hr FeCl3 5 uM,,t=1hr FeCl3 20 uM,,t=1hr FeCl3 50 uM,,t=1hr FeCl3 100 uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1400,0.0159288533,1400,0.03338895738,1400,0.1127949134,1400,0.1757591963,1400,0.2032636553,
1399.333374,0.0159151312,1399.333374,0.03334017843,1399.333374,0.1129943952,1399.333374,0.1758625209,1399.333374,0.203601867,
1398.666626,0.01461828314,1398.666626,0.03219130263,1398.666626,0.1117782444,1398.666626,0.1748699695,1398.666626,0.2026119381,
1398,0.01363701653,1398,0.03087290935,1398,0.110040836,1398,0.1726473719,1398,0.2001534998,
1397.333374,0.01185489446,1397.333374,0.02913830802,1397.333374,0.1084744781,1397.333374,0.1711303592,1397.333374,0.1986518949,
1396.666626,0.01106074359,1396.666626,0.02824428678,1396.666626,0.1073145568,1396.666626,0.1698989719,1396.666626,0.1971881241,
1396,0.01035005786,1396,0.02736332268,1396,0.1067266837,1396,0.1695565432,1396,0.1969769448,
1395.333374,0.009466812015,1395.333374,0.02641998418,1395.333374,0.1058068946,1395.333374,0.168704778,1395.333374,0.1959789097,
1394.666626,0.008265949786,1394.666626,0.02519766614,1394.666626,0.1051112711,1394.666626,0.1682804525,1394.666626,0.1956192255,
1394,0.006736142561,1394,0.02362371422,1394,0.1028560847,1394,0.1655488461,1394,0.1925036758,
1393.333374,0.005939558614,1393.333374,0.02269470133,1393.333374,0.1019826829,1393.333374,0.1647938639,1393.333374,0.1915903091,
1392.666626,0.005247074645,1392.666626,0.02193704434,1392.666626,0.1008281559,1392.666626,0.1636019796,1392.666626,0.190213725,
1392,0.005330898799,1392,0.02204724774,1392,0.101458542,1392,0.1643824428,1392,0.1910447627,
1391.333374,0.004431665409,1391.333374,0.02106428705,1391.333374,0.1006543934,1391.333374,0.1634845436,1391.333374,0.1900475323,
1390.666626,0.003990374506,1390.666626,0.0207642708,1390.666626,0.1003831252,1390.666626,0.1632282138,1390.666626,0.1898249239,
1390,0.003026234452,1390,0.01972734369,1390,0.09915395826,1390,0.161672622,1390,0.1879408211,
1389.333374,0.002978795208,1389.333374,0.01965892129,1389.333374,0.09875164926,1389.333374,0.1613148153,1389.333374,0.1876085997,
1388.666626,0.00276496564,1388.666626,0.01922789402,1388.666626,0.0985198617,1388.666626,0.1610748023,1388.666626,0.1874742061,
1388,0.002964434214,1388,0.01956473105,1388,0.09896769375,1388,0.1614916474,1388,0.1880027205,
1387.333374,0.002616290236,1387.333374,0.01921677217,1387.333374,0.09878479689,1387.333374,0.1613967121,1387.333374,0.1877041459,
1386.666626,0.002196924062,1386.666626,0.01885354891,1386.666626,0.09845435619,1386.666626,0.1609007865,1386.666626,0.1872986555,
1386,0.001976821804,1386,0.01852020621,1386,0.09766572714,1386,0.1601740867,1386,0.1866309494,
1385.333374,0.001925492776,1385.333374,0.0184374433,1385.333374,0.09778807312,1385.333374,0.1598585397,1385.333374,0.1860255599,
1384.666626,0.002169476589,1384.666626,0.01875645109,1384.666626,0.09861528873,1384.666626,0.1613805294,1384.666626,0.1877472997,
1384,0.001631417195,1384,0.01824459061,1384,0.09719374776,1384,0.1593355685,1384,0.1856735945,
1383.333374,0.001919512637,1383.333374,0.01843028702,1383.333374,0.09758190811,1383.333374,0.1596842706,1383.333374,0.1861428022,
1382.666626,0.001871648128,1382.666626,0.01831673272,1382.666626,0.09783930331,1382.666626,0.160093382,1382.666626,0.1866579205,
1382,0.001831509406,1382,0.01844716631,1382,0.09810453653,1382,0.1602344215,1382,0.1867076606,
1381.333374,0.001653815503,1381.333374,0.01829648204,1381.333374,0.09769016504,1381.333374,0.1596461385,1381.333374,0.1861719042,
1380.666626,0.001411965,1380.666626,0.01810466312,1380.666626,0.09790351242,1380.666626,0.1601365805,1380.666626,0.1867892742,
1380,0.001941041672,1380,0.01853014715,1380,0.09786628187,1380,0.1594453454,1380,0.18588081,
1379.333374,0.0018213453,1379.333374,0.01838769577,1379.333374,0.09805677831,1379.333374,0.1597982496,1379.333374,0.186613515,
1378.666626,0.00152089796,1378.666626,0.01805846207,1378.666626,0.09790454805,1378.666626,0.1594880223,1378.666626,0.1862454563,
1378,0.001503675594,1378,0.01809459738,1378,0.09760404378,1378,0.159109816,1378,0.1855802387,
1377.333374,0.001574101625,1377.333374,0.01814719848,1377.333374,0.09770163894,1377.333374,0.1592170745,1377.333374,0.1859344691,
1376.666626,0.001770294621,1376.666626,0.01825250126,1376.666626,0.09794830531,1376.666626,0.1595490575,1376.666626,0.18647407,
1376,0.001514273928,1376,0.01809953526,1376,0.0977172628,1376,0.1590104699,1376,0.1856551319,
1375.333374,0.00164095324,1375.333374,0.01824351214,1375.333374,0.09793289751,1375.333374,0.1594079733,1375.333374,0.1862738878,
1374.666626,0.001900844625,1374.666626,0.01835072786,1374.666626,0.09769032896,1374.666626,0.1589415222,1374.666626,0.1858005524,
1374,0.001623986056,1374,0.01818358339,1374,0.09804750234,1374,0.1594850272,1374,0.186366111,
1373.333374,0.001499597449,1373.333374,0.01808512397,1373.333374,0.09765905142,1373.333374,0.1588273644,1373.333374,0.1855890602,
1372.666626,0.001520378399,1372.666626,0.01796699315,1372.666626,0.09765706956,1372.666626,0.1588689685,1372.666626,0.1858025491,
1372,0.001797092962,1372,0.01814336516,1372,0.09750057757,1372,0.1585629135,1372,0.1855353564,
1371.333374,0.001577479066,1371.333374,0.01792811789,1371.333374,0.09756146371,1371.333374,0.1585925967,1371.333374,0.1855406016,
1370.666626,0.002469540108,1370.666626,0.01870353334,1370.666626,0.09841162711,1370.666626,0.1595616788,1370.666626,0.1867702156,
1370,0.001436221879,1370,0.01790400036,1370,0.09754668176,1370,0.1586376876,1370,0.1855646521,
1369.333374,0.001584052108,1369.333374,0.01804699376,1369.333374,0.09794677794,1369.333374,0.1589797437,1369.333374,0.1858096868,
1368.666626,0.001388722216,1368.666626,0.0177929569,1368.666626,0.09707192332,1368.666626,0.1579841822,1368.666626,0.1848005801,
1368,0.001721303095,1368,0.01811912842,1368,0.09795699269,1368,0.1588758081,1368,0.1858160496,
1367.333374,0.002087119035,1367.333374,0.01847104356,1367.333374,0.09861174971,1367.333374,0.1595185101,1367.333374,0.186432749,
1366.666626,0.002235118998,1366.666626,0.01857531816,1366.666626,0.09861502796,1366.666626,0.1597786844,1366.666626,0.1868427247,
1366,0.001684270683,1366,0.01790213957,1366,0.09768792987,1366,0.1581543386,1366,0.1849094182,
1365.333374,0.001662104623,1365.333374,0.01779996976,1365.333374,0.09713326395,1365.333374,0.1575125158,1365.333374,0.1843725145,
1364.666626,0.001550902147,1364.666626,0.01784471236,1364.666626,0.09770014882,1364.666626,0.1584864706,1364.666626,0.1854542494,
1364,0.001437961939,1364,0.01799734496,1364,0.09823966771,1364,0.1591049284,1364,0.1860749871,
1363.333374,0.001064933138,1363.333374,0.01752020232,1363.333374,0.0975195989,1363.333374,0.1581980437,1363.333374,0.1851257086,
1362.666626,0.001074197236,1362.666626,0.01738891378,1362.666626,0.09730025381,1362.666626,0.1578676254,1362.666626,0.1845044345,
1362,0.001545446692,1362,0.0176474601,1362,0.09731417894,1362,0.1575134099,1362,0.1842172742,
1361.333374,0.001752126846,1361.333374,0.01799418963,1361.333374,0.09830396622,1361.333374,0.1588075161,1361.333374,0.1857643872,
1360.666626,0.001728294068,1360.666626,0.0180146955,1360.666626,0.09808585048,1360.666626,0.1588378847,1360.666626,0.1856566519,
1360,0.001094879932,1360,0.01740287058,1360,0.09681245685,1360,0.1573657393,1360,0.1842321604,
1359.333374,0.001464739791,1359.333374,0.01767733134,1359.333374,0.09718030691,1359.333374,0.1575660557,1359.333374,0.1843220592,
1358.666626,0.0003964692005,1358.666626,0.01678824797,1358.666626,0.09661843628,1358.666626,0.1568489224,1358.666626,0.1835785359,
1358,0.001157868304,1358,0.01729780063,1358,0.09728263319,1358,0.1576701403,1358,0.1844158918,
1357.333374,0.0003131259873,1357.333374,0.01666888036,1357.333374,0.09636522084,1357.333374,0.1565888673,1357.333374,0.1833278835,
