t=4hrs FeCl3 0 uM,,t=4hrs FeCl3 5 uM,,t=4hrs FeCl3 20 uM,,t=4hrs FeCl3 50 uM,,t=4hrs FeCl3 100 uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1600,0.002230357379,1600,0.007690408733,1600,0.082478486,1600,0.1441881359,1600,0.07253514975,
1599.333374,0.002200046089,1599.333374,0.007673677988,1599.333374,0.08238265663,1599.333374,0.144138217,1599.333374,0.07254509628,
1598.666626,0.002194946632,1598.666626,0.007653048262,1598.666626,0.08232720941,1598.666626,0.1441257596,1598.666626,0.07259257883,
1598,0.002193567809,1598,0.007636766881,1598,0.08225505799,1598,0.1440955698,1598,0.07256608456,
1597.333374,0.00226277858,1597.333374,0.007643379271,1597.333374,0.08222321421,1597.333374,0.1440455765,1597.333374,0.07263994217,
1596.666626,0.002167083323,1596.666626,0.007631813642,1596.666626,0.08211571723,1596.666626,0.1440097392,1596.666626,0.07258486748,
1596,0.00214921101,1596,0.007656183559,1596,0.08207827806,1596,0.1439982951,1596,0.07273324579,
1595.333374,0.00224391371,1595.333374,0.007586292457,1595.333374,0.08201167732,1595.333374,0.1440464109,1595.333374,0.07276336104,
1594.666626,0.002214433858,1594.666626,0.007669857703,1594.666626,0.08197215945,1594.666626,0.1440184265,1594.666626,0.07279700041,
1594,0.002146193292,1594,0.00753411185,1594,0.08185946941,1594,0.1438893676,1594,0.0727186501,
1593.333374,0.002130767098,1593.333374,0.007537430618,1593.333374,0.08179933578,1593.333374,0.1438797116,1593.333374,0.07276180387,
1592.666626,0.002206003992,1592.666626,0.007520652842,1592.666626,0.08181411773,1592.666626,0.1438947469,1592.666626,0.07286342978,
1592,0.002177229384,1592,0.007502084598,1592,0.08172602952,1592,0.1438391805,1592,0.07284637541,
1591.333374,0.002187271602,1591.333374,0.007481937297,1591.333374,0.08166722953,1591.333374,0.1438376755,1591.333374,0.07293722034,
1590.666626,0.002115445677,1590.666626,0.007422132883,1590.666626,0.08157179505,1590.666626,0.1437817663,1590.666626,0.07288853824,
1590,0.002171063563,1590,0.007435457315,1590,0.08159225434,1590,0.1437730044,1590,0.07298835367,
1589.333374,0.002210609149,1589.333374,0.007458156906,1589.333374,0.08147588372,1589.333374,0.1437129974,1589.333374,0.07301411033,
1588.666626,0.002226922894,1588.666626,0.007482859306,1588.666626,0.0814210549,1588.666626,0.1437191218,1588.666626,0.07304979116,
1588,0.002252630424,1588,0.007410494145,1588,0.08131752908,1588,0.1437054276,1588,0.07306547463,
1587.333374,0.002173899207,1587.333374,0.007390930317,1587.333374,0.08117195964,1587.333374,0.1435646713,1587.333374,0.07305891812,
