t=0hrs FeCl3 0uM,,t=0hrs FeCl3 20uM,,t=0hrs FeCl3 50uM,,t=0hrs FeCl3 100uM,,t=0hrs FeCl3 5uM repeat,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1400,0.006113265641,1400,0.006079952233,1400,0.005114572123,1400,0.005455367267,1400,0.002385277534,
1399.333374,0.005727728829,1399.333374,0.005872776732,1399.333374,0.005101921503,1399.333374,0.005729853641,1399.333374,0.002406491432,
1398.666626,0.005660297815,1398.666626,0.005528875161,1398.666626,0.004912726581,1398.666626,0.005182285327,1398.666626,0.002089980291,
1398,0.00534316292,1398,0.005099616479,1398,0.004388543777,1398,0.004595849197,1398,0.001800238155,
1397.333374,0.004933671094,1397.333374,0.004402141552,1397.333374,0.003783723339,1397.333374,0.003742780769,1397.333374,0.001210508402,
1396.666626,0.004645715468,1396.666626,0.004196313675,1396.666626,0.003594840644,1396.666626,0.003586827544,1396.666626,0.001196517143,
1396,0.004231495783,1396,0.003690041834,1396,0.003179326886,1396,0.003288495354,1396,0.0009165013325,
1395.333374,0.00379855535,1395.333374,0.003319065319,1395.333374,0.002861757064,1395.333374,0.003161021741,1395.333374,0.0008369745337,
1394.666626,0.00347320037,1394.666626,0.002657074481,1394.666626,0.002288150135,1394.666626,0.002526114928,1394.666626,0.0002912112104,
1394,0.003204647452,1394,0.002229134552,1394,0.001968318596,1394,0.001738274004,1394,-8.11708087E-005,
1393.333374,0.002883879934,1393.333374,0.00186720246,1393.333374,0.001625700854,1393.333374,0.001408381038,1393.333374,-0.0003564587678,
1392.666626,0.00278064888,1392.666626,0.001745213405,1392.666626,0.001531444606,1392.666626,0.001335774898,1392.666626,-0.0003333868226,
1392,0.002515491797,1392,0.001644097269,1392,0.00151061127,1392,0.001518066507,1392,-0.0001514582691,
1391.333374,0.00239285198,1391.333374,0.001316794311,1391.333374,0.001106376527,1391.333374,0.001057874877,1391.333374,-0.0005856115604,
1390.666626,0.002250678837,1390.666626,0.001088755438,1390.666626,0.001061352086,1390.666626,0.0008313723956,1390.666626,-0.0007122633979,
1390,0.002124472056,1390,0.0008823387907,1390,0.0007393109263,1390,0.0002904600115,1390,-0.0009775438812,
1389.333374,0.002042721026,1389.333374,0.0009473717655,1389.333374,0.0007976315683,1389.333374,0.0005221749307,1389.333374,-0.0008994337404,
1388.666626,0.002000694163,1388.666626,0.0007204342401,1388.666626,0.0006262964453,1388.666626,0.0004427462409,1388.666626,-0.0009841558058,
1388,0.001885609119,1388,0.0006696683122,1388,0.0006476836861,1388,0.0006250780425,1388,-0.0009076483548,
1387.333374,0.001819863683,1387.333374,0.0005266586086,1387.333374,0.0004288315249,1387.333374,0.0002315081365,1387.333374,-0.00109158433,
1386.666626,0.001776324701,1386.666626,0.0004333401448,1386.666626,0.0003663632669,1386.666626,0.0001135765924,1386.666626,-0.001174771576,
1386,0.001765434165,1386,0.0003221408988,1386,0.0002593253739,1386,-7.180173998E-005,1386,-0.00126811245,
1385.333374,0.001705034403,1385.333374,0.0002824818657,1385.333374,0.000216875007,1385.333374,-3.623884186E-005,1385.333374,-0.001257271855,
1384.666626,0.00172307028,1384.666626,0.0003412852529,1384.666626,0.0002603614412,1384.666626,0.0001496466721,1384.666626,-0.001142448746,
1384,0.001682399656,1384,0.0002541710273,1384,0.0001290866203,1384,-0.0001173511264,1384,-0.001241526799,
1383.333374,0.001677202294,1383.333374,0.0002289440599,1383.333374,0.0001118158907,1383.333374,-2.86289378E-005,1383.333374,-0.001265686238,
1382.666626,0.001734765479,1382.666626,0.0001767594658,1382.666626,6.528932136E-005,1382.666626,3.968500096E-005,1382.666626,-0.001326388563,
1382,0.001720133587,1382,0.0002735714079,1382,8.574278763E-005,1382,-4.084613829E-005,1382,-0.001217159443,
1381.333374,0.001715819468,1381.333374,0.0001823272614,1381.333374,5.273291754E-005,1381.333374,-0.0001193179196,1381.333374,-0.001343214419,
1380.666626,0.001768319285,1380.666626,0.0001715025137,1380.666626,-3.261619668E-006,1380.666626,-0.0002289269323,1380.666626,-0.001361175091,
1380,0.001813312992,1380,0.0002666296496,1380,0.0001444677328,1380,0.0001550587476,1380,-0.001120709465,
1379.333374,0.001691287034,1379.333374,0.000213404579,1379.333374,6.919870793E-005,1379.333374,0.0001347314828,1379.333374,-0.001188815339,
1378.666626,0.00170999812,1378.666626,0.0001555766503,1378.666626,1.780991079E-005,1378.666626,-0.0001303421741,1378.666626,-0.00133428548,
