t=5hrs FeCl3 0uM,,t=5hrs FeCl3 5uM,,t=5hrs FeCl3 20uM,,t=5hrs FeCl3 50uM,,t=5hrs FeCl3 100uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1400,0.007548282389,1400,0.006600872613,1400,0.009736222215,1400,0.005599956959,1400,0.007254824042,
1399,0.006920768414,1399,0.006304586772,1399,0.008976560086,1399,0.005182626192,1399,0.006991552189,
1398,0.006713796407,1398,0.005759573076,1398,0.008253286593,1398,0.004882515408,1398,0.006566811819,
1397,0.006259203888,1397,0.005282106344,1397,0.007515069097,1397,0.004481879063,1397,0.006246441044,
1396,0.005603811704,1396,0.00454300642,1396,0.006543922238,1396,0.003918380011,1396,0.005672204308,
1395,0.004801447503,1395,0.003683228046,1395,0.005328566302,1395,0.00310665858,1395,0.00489288196,
1394,0.004383732565,1394,0.003045394085,1394,0.004323516507,1394,0.002696924843,1394,0.004413516726,
1393,0.004035755526,1393,0.002787318313,1393,0.003892834997,1393,0.002383533632,1393,0.00421654433,
1392,0.00378288771,1392,0.002639129991,1392,0.003600113094,1392,0.002306600567,1392,0.004134294111,
1391,0.003344055032,1391,0.002120700199,1391,0.002986197593,1391,0.001822281163,1391,0.003659419483,
1390,0.003225953551,1390,0.001693314058,1390,0.002394908341,1390,0.001520690043,1390,0.003356733127,
1389,0.003000272671,1389,0.001775674988,1389,0.002408339642,1389,0.001503909472,1389,0.003348202677,
1388,0.002908896888,1388,0.001783940475,1388,0.002397641307,1388,0.001509130583,1388,0.003453447716,
1387,0.002735424554,1387,0.001468583825,1387,0.002048130846,1387,0.001336657675,1387,0.003212314332,
1386,0.002629129449,1386,0.001329049817,1386,0.001832211274,1386,0.001204278436,1386,0.003040597541,
1385,0.002547569806,1385,0.00143814378,1385,0.001897646696,1385,0.001236415468,1385,0.003134582425,
1384,0.002408287488,1384,0.001292362344,1384,0.001703397138,1384,0.001178996288,1384,0.003050294938,
1383,0.002390405396,1383,0.001239011413,1383,0.001701006317,1383,0.001225408632,1383,0.003019222524,
1382,0.002313158475,1382,0.001360754599,1382,0.001837176387,1382,0.001228290144,1382,0.003014686983,
1381,0.00236669369,1381,0.001388696255,1381,0.001820487552,1381,0.001266893349,1381,0.003160056891,
1380,0.002199733863,1380,0.001412224607,1380,0.001889534993,1380,0.001244073734,1380,0.00307683344,
1379,0.00230514328,1379,0.001298074261,1379,0.001681594062,1379,0.001154390397,1379,0.002943375614,
1378,0.002181235934,1378,0.001194388606,1378,0.001627831487,1378,0.001112656901,1378,0.002907619812,
1377,0.002171375789,1377,0.001410043216,1377,0.001898426679,1377,0.00125990971,1377,0.003129993565,
1376,0.00209882413,1376,0.001259624143,1376,0.001819161815,1376,0.001241944963,1376,0.002973217517,
1375,0.002096534939,1375,0.001208301983,1375,0.001675227424,1375,0.001181539963,1375,0.00300462544,
1374,0.00203920994,1374,0.00128558604,1374,0.001924842829,1374,0.001243346836,1374,0.003045472316,
1373,0.002053748583,1373,0.001283976366,1373,0.001937375404,1373,0.001244644751,1373,0.003047297243,
1372,0.001955004875,1372,0.001487233327,1372,0.002145490842,1372,0.001445961418,1372,0.003125430783,
1371,0.001962389797,1371,0.001467207214,1371,0.002202621894,1371,0.001389812911,1371,0.003172416706,
1370,0.001901676529,1370,0.001130486606,1370,0.001867774408,1370,0.001231067814,1370,0.002946972148,
1369,0.001860313234,1369,0.001289298758,1369,0.002000356093,1369,0.001326505211,1369,0.003050738247,
1368,0.001897672657,1368,0.001317417482,1368,0.00210116501,1368,0.001383866067,1368,0.003064997727,
1367,0.001816744334,1367,0.001065088902,1367,0.001852436224,1367,0.001236155862,1367,0.002951089991,
1366,0.001788723166,1366,0.001257209806,1366,0.002051485935,1366,0.001331127016,1366,0.003028841224,
1365,0.001806060667,1365,0.001327076461,1365,0.002233037492,1365,0.001393007115,1365,0.003152469173,
1364,0.001826960244,1364,0.001049571321,1364,0.00193586736,1364,0.001321312273,1364,0.002979681361,
1363,0.001656647772,1363,0.001199450344,1363,0.002010810422,1363,0.001331776148,1363,0.003052458633,
1362,0.001681775902,1362,0.001208769158,1362,0.002090006368,1362,0.001356703695,1362,0.003008352825,
1361,0.00161016325,1361,0.001153767458,1361,0.002080512466,1361,0.001334606437,1361,0.003006371902,
1360,0.001472635777,1360,0.0009740155656,1360,0.001878927578,1360,0.00124840904,1360,0.002831323305,
1359,0.00141427631,1359,0.0009509777883,1359,0.001772243995,1359,0.001176530379,1359,0.002701743739,
1358,0.001317884889,1358,0.0008738050819,1358,0.001840971876,1358,0.001174090547,1358,0.002789089689,
1357,0.00123563665,1357,0.0007976315683,1357,0.001762861037,1357,0.001117743668,1357,0.002691663336,
1356,0.001211780356,1356,0.0007577216602,1356,0.001750411466,1356,0.00106392114,1356,0.002653246047,
1355,0.00121414254,1355,0.0006388953771,1355,0.001589066349,1355,0.001072173123,1355,0.002549991477,
1354,0.001065737568,1354,0.0006713534822,1354,0.001771802199,1354,0.001083539333,1354,0.002684188075,
1353,0.001080814516,1353,0.0005878279335,1353,0.001661117189,1353,0.001058160327,1353,0.002536060987,
1352,0.001009845757,1352,0.0004983836552,1352,0.001654932857,1352,0.001045704936,1352,0.002503541298,
1351,0.0009254249744,1351,0.0004855814914,1351,0.001705761999,1351,0.001057304093,1351,0.002573999576,
1350,0.0007803342305,1350,0.0005480668624,1350,0.001798496582,1350,0.001117042964,1350,0.002599701518,
1349,0.0007118259091,1349,0.0004243747389,1349,0.00176413462,1349,0.001070745871,1349,0.002527390607,
1348,0.0006780943368,1348,0.0004079473147,1348,0.001804579049,1348,0.001024661353,1348,0.002488675294,
1347,0.0006493428955,1347,0.0003752497432,1347,0.001772114076,1347,0.001034832792,1347,0.0024711804,
1346,0.0006499909796,1346,0.0004171196488,1346,0.001854671864,1346,0.001099888585,1346,0.00246417732,
1345,0.0006997174933,1345,0.0003893441171,1345,0.001890158863,1345,0.001111748628,1345,0.002520647133,
1344,0.0006010996876,1344,0.000325119996,1344,0.001890756888,1344,0.001107466524,1344,0.002459282987,
1343,0.0005655363784,1343,0.000251270103,1343,0.001912674517,1343,0.001061533811,1343,0.002447568346,
1342,0.000625752029,1342,0.0003305342398,1342,0.001951858634,1342,0.001173078315,1342,0.002471935237,
1341,0.0005814514006,1341,0.0002982569858,1341,0.001936855377,1341,0.001173623372,1341,0.002448037034,
1340,0.0006123498897,1340,0.0003347568854,1340,0.002015751554,1340,0.001180475811,1340,0.00249492377,
1339,0.000523937284,1339,0.0002275454899,1339,0.001980202273,1339,0.001136741368,1339,0.002447308041,
1338,0.0005312460125,1338,0.0002136635594,1338,0.002067611553,1338,0.001189560629,1338,0.002454284811,
1337,0.0005077911774,1337,0.0002066191664,1337,0.002098849975,1337,0.001154546044,1337,0.002433381043,
1336,0.0004785326892,1336,0.0002357298217,1336,0.002116746269,1336,0.001181436121,1336,0.002437962685,
1335,0.0004055117606,1335,0.0002478770912,1335,0.002182744909,1335,0.001170015428,1335,0.00240209233,
1334,0.0004522043455,1334,0.0002055573423,1334,0.002214459935,1334,0.001195764402,1334,0.002490159357,
1333,0.0003615444584,1333,0.0002178332797,1333,0.002180247335,1333,0.00118044985,1333,0.002408027183,
1332,0.0003533577546,1332,0.0001841659396,1332,0.002226428594,1332,0.001217049896,1332,0.002440748038,
1331,0.0003842400329,1331,0.0002864450216,1331,0.002352300799,1331,0.001179281739,1331,0.002490523737,
1330,0.0003065203491,1330,0.0001926084224,1330,0.002273707651,1330,0.001160230255,1330,0.002432756359,
1329,0.0002977130061,1329,0.0002248519449,1329,0.002361332066,1329,0.001168769551,1329,0.002426612889,
1328,0.0002309642441,1328,0.0001983059046,1328,0.002332468983,1328,0.001092103194,1328,0.00243731169,
1327,0.0002880510292,1327,0.000249793753,1327,0.002283934271,1327,0.001124543254,1327,0.002411931753,
1326,0.000236714026,1326,0.0001819906029,1326,0.002318025101,1326,0.001056292094,1326,0.002397381002,
1325,0.0002110995993,1325,0.0001953535684,1325,0.002373721218,1325,0.001043758821,1325,0.002399150981,
1324,0.0002132491791,1324,0.0002342017251,1324,0.002332234755,1324,0.001085693249,1324,0.0023762458,
1323,0.0002561136207,1323,0.0002632624237,1323,0.00241063023,1323,0.001073704218,1323,0.002438743599,
1322,0.0001999633678,1322,0.0002110736968,1322,0.00235125958,1322,0.001020016847,1322,0.002412998816,
1321,0.0002179886651,1321,0.0002087169414,1321,0.002342801075,1321,0.0009926697239,1321,0.002408313565,
1320,0.0002610348747,1320,0.0002754363813,1320,0.002356282901,1320,0.001034858637,1320,0.002437077463,
1319,0.0002032265038,1319,0.0002153469832,1319,0.002326092683,1319,0.000918524689,1319,0.002372419694,
1318,0.0002118765551,1318,0.0002791145234,1318,0.002348110545,1318,0.0009808908217,1318,0.002428669482,
1317,0.0002350823197,1317,0.0002618637227,1317,0.002292912221,1317,0.0009143482312,1317,0.00239579333,
1316,0.0002117988624,1316,0.0002617083082,1316,0.002254269784,1316,0.0009104571654,1316,0.002429320244,
1315,0.0002310678392,1315,0.0002537825203,1315,0.002195180859,1315,0.0009443883901,1315,0.002468238585,
1314,0.0002574863902,1314,0.0002615270205,1314,0.002214537933,1314,0.0008631706005,1314,0.002414873103,
1313,0.0002944750304,1313,0.0002573309757,1313,0.002164039528,1313,0.0009023898165,1313,0.002430049004,
1312,0.0002871444158,1312,0.0002668109664,1312,0.002142161131,1312,0.000854689104,1312,0.002417007694,
1311,0.0002939569822,1311,0.0002412465547,1311,0.002054164885,1311,0.0008807824925,1311,0.002438847674,
1310,0.0002922214335,1310,0.0002380608348,1310,0.002021551132,1310,0.0008444701089,1310,0.002433667425,
1309,0.0002425674757,1309,0.0001763451291,1309,0.001937115449,1309,0.0008829354192,1309,0.002466051606,
1308,0.0002950967173,1308,0.0002245670476,1308,0.001942471834,1308,0.000911909854,1308,0.002475085435,
1307,0.0002847613359,1307,0.0003253013419,1307,0.001867384533,1307,0.0008987063775,1307,0.002506795805,
1306,0.000249664241,1306,0.0002663706255,1306,0.001711141551,1306,0.0008704850334,1306,0.002436062321,
1305,0.0002831812599,1305,0.0002727425308,1305,0.00167579914,1305,0.0009024676401,1305,0.002469748491,
1304,0.0003054323606,1304,0.000278518768,1304,0.001549966866,1304,0.0008742719656,1304,0.002505129436,
1303,0.0003104578063,1303,0.0003622698714,1303,0.001491571078,1303,0.0008432510658,1303,0.002536087064,
1302,0.0002848131408,1302,0.000324006076,1302,0.001401421148,1302,0.0008212576504,1302,0.002533874009,
1301,0.0003155610175,1301,0.0003308451269,1301,0.001297295443,1301,0.0008839210495,1301,0.002462016651,
1300,0.0003031269007,1300,0.0003840845893,1300,0.001275071292,1300,0.0008341994253,1300,0.002490081126,
1299,0.0003210528812,1299,0.0004126112035,1299,0.001156051527,1299,0.0008078495157,1299,0.002526869997,
1298,0.0003126078809,1298,0.0003883336612,1298,0.0010950875,1298,0.0008130623028,1298,0.002533847932,
1297,0.000291055796,1297,0.0003802760039,1297,0.0009261253872,1297,0.0007461305941,1297,0.002497006441,
1296,0.0002573827805,1296,0.0004148395092,1296,0.0008565565804,1296,0.0007061994984,1296,0.002479641233,
1295,0.0002798397909,1295,0.0003785660374,1295,0.0007548951544,1295,0.0007262941799,1295,0.00251072715,
1294,0.000258367043,1294,0.0004222500429,1294,0.0007395442808,1294,0.0006722090766,1294,0.002495053923,
1293,0.0002731051645,1293,0.0003948109807,1293,0.0006255187327,1293,0.000614786637,1293,0.002485915553,
1292,0.000321415544,1292,0.0004114452167,1292,0.0005873354385,1292,0.0006773683708,1292,0.002549001947,
1291,0.0002815234766,1291,0.0004304898612,1291,0.0005657178699,1291,0.0005844581756,1291,0.002543169307,
1290,0.0003542385821,1290,0.0005073506036,1290,0.0005170174409,1290,0.0006757091032,1290,0.002591472585,
1289,0.0002447172301,1289,0.0003990083642,1289,0.0004566873249,1289,0.0005832139868,1289,0.002546163741,
1288,0.0003744206915,1288,0.0005367405829,1288,0.0004577497602,1288,0.0006146311061,1288,0.002605534857,
1287,0.0002935425146,1287,0.0004904016969,1287,0.0003378656111,1287,0.0005748934927,1287,0.002567125019,
1286,0.0002599211002,1286,0.000535963045,1286,0.0003243428364,1286,0.000513078121,1286,0.0025656668,
1285,0.0003301974793,1285,0.0005404727999,1285,0.0003598086478,1285,0.0005582789308,1285,0.002617019461,
1284,0.0003314668429,1284,0.0005427017459,1284,0.0003460779262,1284,0.0005486111622,1284,0.002605769318,
1283,0.0002830776502,1283,0.0005363259115,1283,0.0003583837533,1283,0.0005322308862,1283,0.002607539995,
1282,0.0002948117908,1282,0.0004936152254,1282,0.0003249127476,1282,0.0004758116847,1282,0.002579650143,
1281,0.00028502036,1281,0.0004845708027,1281,0.0003496530699,1281,0.0004952737945,1281,0.002657543402,
1280,0.0003308451269,1280,0.0005077393143,1280,0.000301080494,1280,0.0005070396001,1280,0.002639364451,
1279,0.0002857197542,1279,0.0004539405345,1279,0.0002880769316,1279,0.0004384707136,1279,0.002606680617,
1278,0.0003386946046,1278,0.0005078688846,1278,0.0003247573331,1278,0.0004973211326,1278,0.002657725709,
1277,0.000338720507,1277,0.0005456046201,1277,0.0003337465751,1277,0.0005558166304,1277,0.002698774217,
1276,0.0003347050806,1276,0.0005357038463,1276,0.0003152242571,1276,0.0004870327248,1276,0.002665877808,
1275,0.0003331507323,1275,0.0005275657168,1275,0.0002430336899,1275,0.000452929904,1275,0.002623790409,
1274,0.0003460520238,1274,0.0005076356465,1274,0.0002309124393,1274,0.0004900388885,1274,0.00260889437,
