t=24hrs FeCl3 0uM,,t=24hrs FeCl3 5uM,,t=24hrs FeCl3 20uM,,t=24hrs FeCl3 50uM,,t=24hrs FeCl3 100uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1400,0.01406119205,1400,0.01489323936,1400,0.01507777534,1400,0.01426091511,1400,0.0132049825,
1399.333374,0.01392835192,1399.333374,0.01460264809,1399.333374,0.01515786257,1399.333374,0.01440311503,1399.333374,0.01338562556,
1398.666626,0.01290303841,1398.666626,0.01371585019,1398.666626,0.01435722597,1398.666626,0.01369931269,1398.666626,0.01301705372,
1398,0.01205296721,1398,0.01272518281,1398,0.01334753167,1398,0.01294170693,1398,0.01203335263,
1397.333374,0.01052938402,1397.333374,0.01121403929,1397.333374,0.011970683,1397.333374,0.01157906279,1397.333374,0.01077143196,
1396.666626,0.009692756459,1396.666626,0.01038757153,1396.666626,0.01095910836,1396.666626,0.01071032323,1396.666626,0.009843715467,
1396,0.008806617931,1396,0.009432923049,1396,0.009731351398,1396,0.009590196423,1396,0.008830313571,
1395.333374,0.007898638025,1395.333374,0.008541902527,1395.333374,0.008634048514,1395.333374,0.008495044895,1395.333374,0.007880580612,
1394.666626,0.006371671334,1394.666626,0.007154812105,1394.666626,0.007312104572,1394.666626,0.007257008925,1394.666626,0.006458103657,
1394,0.00507562561,1394,0.005697382148,1394,0.005971969105,1394,0.006021836307,1394,0.005399012472,
1393.333374,0.004339255858,1393.333374,0.004922544118,1393.333374,0.005053626373,1393.333374,0.005180242006,1393.333374,0.004497205839,
1392.666626,0.003743564244,1392.666626,0.004375234246,1392.666626,0.004414667375,1392.666626,0.00450630812,1392.666626,0.003938963637,
1392,0.003764948808,1392,0.004229901358,1392,0.004030216951,1392,0.004209068604,1392,0.003640676616,
1391.333374,0.002782055642,1391.333374,0.003320134711,1391.333374,0.003143421374,1391.333374,0.003399700159,1391.333374,0.002881117864,
1390.666626,0.002439888893,1390.666626,0.002903945511,1390.666626,0.00277879904,1390.666626,0.003078241134,1390.666626,0.002388296882,
1390,0.001498974045,1390,0.001996611245,1390,0.002109228633,1390,0.002384678926,1390,0.001838788157,
1389.333374,0.00161899731,1389.333374,0.002070810646,1389.333374,0.00186106714,1389.333374,0.002184435958,1389.333374,0.001666288357,
1388.666626,0.001386333024,1388.666626,0.001798418583,1388.666626,0.001625337172,1388.666626,0.001892706845,1388.666626,0.001380775822,
1388,0.001362338662,1388,0.001836864511,1388,0.001474661753,1388,0.001762627158,1388,0.001350939157,
1387.333374,0.000872793491,1387.333374,0.001369038248,1387.333374,0.001127164578,1387.333374,0.001465389039,1387.333374,0.001100744936,
1386.666626,0.0006287072902,1386.666626,0.001103547751,1386.666626,0.0009510297095,1386.666626,0.001293478766,1386.666626,0.0009113391279,
1386,0.0003993969876,1386,0.0008578794077,1386,0.0007053697482,1386,0.001086108503,1386,0.0006404508022,
1385.333374,0.0003435650142,1385.333374,0.0007367957151,1385.333374,0.0006060248706,1385.333374,0.0009167866665,1385.333374,0.0006783017307,
1384.666626,0.0004543810501,1384.666626,0.0009610436973,1384.666626,0.0006843426381,1384.666626,0.001104897237,1384.666626,0.0007218343671,
1384,0.0001113239341,1384,0.0006657016929,1384,0.0004654978984,1384,0.0008596690604,1384,0.0005238595186,
1383.333374,0.0002430077875,1383.333374,0.0007753552054,1383.333374,0.000426551298,1383.333374,0.0007647490711,1383.333374,0.0005801294465,
1382.666626,0.0002360147191,1382.666626,0.0007829015376,1382.666626,0.0004494835157,1382.666626,0.0007194229984,1382.666626,0.0006111315452,
1382,0.0001333332038,1382,0.0006012552185,1382,0.0004454411392,1382,0.0007716469117,1382,0.0006460245349,
1381.333374,5.428626901E-005,1381.333374,0.0005398507346,1381.333374,0.0003836441319,1381.333374,0.0007468307158,1381.333374,0.0006145792431,
1380.666626,-0.0001564783743,1380.666626,0.0003444976464,1380.666626,0.0003423214948,1380.666626,0.0006658313214,1380.666626,0.0005546761677,
1380,0.0001965966512,1380,0.0007047475083,1380,0.0005358593771,1380,0.0008903798298,1380,0.0008018328226,
1379.333374,0.0001241150603,1379.333374,0.0005702019553,1379.333374,0.0003959510068,1379.333374,0.0008111690986,1379.333374,0.0007362770848,
1378.666626,-9.54569623E-005,1378.666626,0.0004726501356,1378.666626,0.0002807982091,1378.666626,0.0006725201965,1378.666626,0.0006061804015,
1378,-0.0001897027105,1378,0.0003189286508,1378,0.0002174188849,1378,0.0005840175436,1378,0.0005633850815,
1377.333374,-6.771241169E-005,1377.333374,0.0004704733437,1377.333374,0.0003237211204,1377.333374,0.0007225603913,1377.333374,0.0006339179818,
1376.666626,6.578122702E-005,1376.666626,0.0005997517728,1376.666626,0.0003316222865,1376.666626,0.0006675942568,1376.666626,0.0006492651301,
1376,-0.0001004777077,1376,0.0004078695783,1376,0.0003080487077,1376,0.000733476656,1376,0.0006502502365,
1375.333374,4.783990516E-005,1375.333374,0.0005369997816,1375.333374,0.0003446271585,1375.333374,0.0007708171033,1375.333374,0.0007313245442,
1374.666626,0.0002476439986,1374.666626,0.0007653195644,1374.666626,0.0004289351637,1374.666626,0.0008423173567,1374.666626,0.0008454038179,
1374,-0.0001091215308,1374,0.0003972465056,1374,0.000292687706,1374,0.0007412297418,1374,0.00073837745,
1373.333374,-3.882721649E-005,1373.333374,0.0005166546325,1373.333374,0.0003578137839,1373.333374,0.0008051264449,1373.333374,0.0008128547925,
1372.666626,-7.920384087E-005,1372.666626,0.0004409582762,1372.666626,0.0002817306959,1372.666626,0.000715792994,1372.666626,0.0007442894857,
1372,0.0001083462921,1372,0.0007158707594,1372,0.0002865745337,1372,0.0007412297418,1372,0.0008235918358,
1371.333374,-0.0001402275375,1371.333374,0.0004186224833,1371.333374,0.0002000669483,1371.333374,0.000641721068,1371.333374,0.0007708171033,
1370.666626,0.0004508568672,1370.666626,0.001045393641,1370.666626,0.0005385807599,1370.666626,0.0009664139943,1370.666626,0.001121584675,
1370,-0.0002938098914,1370,0.0002114880772,1370,0.0002532385988,1370,0.0006716127391,1370,0.0008317614556,
1369.333374,-0.0001891334687,1369.333374,0.0003039040312,1369.333374,0.000287092611,1369.333374,0.0007853392162,1369.333374,0.0009225714603,
1368.666626,-0.0003661320661,1368.666626,7.023430953E-005,1368.666626,0.0002227799996,1368.666626,0.0006497058203,1368.666626,0.0007723211311,
1368,-0.000125891107,1368,0.0003942668845,1368,0.000351673807,1368,0.0007490866701,1368,0.001003229525,
1367.333374,4.607946903E-005,1367.333374,0.0005719126784,1367.333374,0.0004374342388,1367.333374,0.0008986545145,1367.333374,0.001079543028,
1366.666626,1.488468661E-005,1366.666626,0.0005440494861,1366.666626,0.0004025580129,1366.666626,0.0008217244758,1366.666626,0.000941041857,
1366,-0.0001467486436,1366,0.0003007955384,1366,0.0002185584453,1366,0.0006754498463,1366,0.0009143482312,
1365.333374,-0.0002914299839,1365.333374,0.0002107370237,1365.333374,0.0001295527036,1365.333374,0.0005719645415,1365.333374,0.0008756467141,
1364.666626,-0.0004120643716,1364.666626,8.416343917E-005,1364.666626,5.770365533E-005,1364.666626,0.0005028152373,1364.666626,0.0008249144885,
1364,-0.0004424763611,1364,-5.60653898E-005,1364,6.298512744E-005,1364,0.0006052990211,1364,0.0009172016871,
1363.333374,-0.0007714410895,1363.333374,-0.0003157457686,1363.333374,-0.0001229409536,1363.333374,0.0003637725022,1363.333374,0.0006638350314,
1362.666626,-0.0007059058407,1362.666626,-0.000232031598,1362.666626,-0.0002567646734,1362.666626,0.0003146284434,1362.666626,0.0005973669467,
1362,-0.0004802297335,1362,9.247452545E-005,1362,-0.0002579029824,1362,0.0003089035454,1362,0.000694972754,
1361.333374,-0.0003501477186,1361.333374,3.502512845E-005,1361.333374,-0.0002994491661,1361.333374,0.0002218735317,1361.333374,0.0006185194943,
1360.666626,-0.0005466263392,1360.666626,-0.000109846158,1360.666626,-0.0003237645142,1360.666626,0.0001875843445,1360.666626,0.0005442309193,
1360,-0.0009365275037,1360,-0.0004355459241,1360,-0.0006003981107,1360,-2.816302003E-005,1360,0.0002988527704,
1359.333374,-0.0007712343941,1359.333374,-0.0003433710081,1359.333374,-0.0005834400654,1359.333374,-6.295011553E-005,1359.333374,0.0002939828846,
1358.666626,-0.001506329514,1358.666626,-0.001075884909,1358.666626,-0.001066433964,1358.666626,-0.0004904174129,1358.666626,-0.0001908411941,
1358,-0.001156338607,1358,-0.0007071463624,1358,-0.000975322735,1358,-0.0003994438157,1358,-8.536353562E-005,
1357.333374,-0.001682792208,1357.333374,-0.001259285142,1357.333374,-0.001236467622,1357.333374,-0.0007153129554,1357.333374,-0.0003675287298,
1356.666626,-0.001308116829,1356.666626,-0.0009094565758,1356.666626,-0.001097729779,1356.666626,-0.0005694284919,1356.666626,-0.0002057964593,
1356,-0.001463041059,1356,-0.001046911813,1356,-0.001215042779,1356,-0.0006691025337,1356,-0.000209780992,
1355.333374,-0.001410614583,1355.333374,-0.001022843411,1355.333374,-0.00124823791,1355.333374,-0.0006816118839,1355.333374,-0.0002366885601,
1354.666626,-0.001341666095,1354.666626,-0.0009378706454,1354.666626,-0.001223767758,1354.666626,-0.0005938321119,1354.666626,-0.0001638272806,
1354,-0.001489767921,1354,-0.001054658787,1354,-0.001192171243,1354,-0.0005853013135,1354,-8.417301433E-005,
1353.333374,-0.001725079026,1353.333374,-0.001330620958,1353.333374,-0.001410924131,1353.333374,-0.0007763506728,1353.333374,-0.0003679943038,
1352.666626,-0.001896040514,1352.666626,-0.001503801439,1352.666626,-0.001534704585,1352.666626,-0.0008710171678,1352.666626,-0.0004411833652,
1352,-0.001753078774,1352,-0.00133056927,1352,-0.001384140924,1352,-0.000754644745,1352,-0.0002933959768,
1351.333374,-0.001699759043,1351.333374,-0.001328814426,1351.333374,-0.001457313658,1351.333374,-0.0006689991569,1351.333374,-0.0001672429207,
1350.666626,-0.001760813175,1350.666626,-0.001360555761,1350.666626,-0.001432339312,1350.666626,-0.0007342815516,1350.666626,-0.0002333769517,
1350,-0.001720902044,1350,-0.001355085056,1350,-0.001465259818,1350,-0.0006908643991,1350,-0.0001690024801,
1349.333374,-0.001890061074,1349.333374,-0.001540637342,1349.333374,-0.001500757528,1349.333374,-0.0007645158912,1349.333374,-0.0002306344977,
