imine t=24hrs FeCl3 0uM,,imine t=24hrs FeCl3 5uM,,imine t=24hrs FeCl3 20uM,,imine t=24hrs FeCl3 50uM,,imine t=24hrs FeCl3 100uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1200,-0.02813793905,1200,-0.03133233637,1200,-0.03002645634,1200,-0.0238025412,1200,-0.02304706909,
1199.333374,-0.02819019556,1199.333374,-0.03134977072,1199.333374,-0.03006075695,1199.333374,-0.02381758578,1199.333374,-0.02308963239,
1198.666626,-0.02818544209,1198.666626,-0.0313564688,1198.666626,-0.03007544391,1198.666626,-0.02383331768,1198.666626,-0.02311663143,
1198,-0.0282528773,1198,-0.03135497496,1198,-0.03014490567,1198,-0.02380430512,1198,-0.02317901887,
1197.333374,-0.02832389064,1197.333374,-0.03143694624,1197.333374,-0.03022411093,1197.333374,-0.0238165576,1197.333374,-0.02323756926,
1196.666626,-0.02838150971,1196.666626,-0.03147879243,1196.666626,-0.03031131625,1196.666626,-0.02389530838,1196.666626,-0.02325896546,
1196,-0.02850729227,1196,-0.03152145073,1196,-0.03036398813,1196,-0.0239105951,1196,-0.02331583574,
1195.333374,-0.02856289782,1195.333374,-0.03159506246,1195.333374,-0.0304627493,1195.333374,-0.02398349904,1195.333374,-0.02344422229,
1194.666626,-0.02856498212,1194.666626,-0.03170851246,1194.666626,-0.03057774901,1194.666626,-0.02409244142,1194.666626,-0.02359375358,
1194,-0.02857676148,1194,-0.03170235083,1194,-0.03054353781,1194,-0.02404277399,1194,-0.02358894795,
1193.333374,-0.02871644497,1193.333374,-0.0318245776,1193.333374,-0.03069310449,1193.333374,-0.02416017279,1193.333374,-0.02370112576,
1192.666626,-0.02880589105,1192.666626,-0.03192435578,1192.666626,-0.03075966984,1192.666626,-0.0242654942,1192.666626,-0.02376068383,
1192,-0.02885012329,1192,-0.03196822107,1192,-0.0308162421,1192,-0.02425193228,1192,-0.02384267934,
1191.333374,-0.02893595956,1191.333374,-0.03210080788,1191.333374,-0.03092570044,1191.333374,-0.02436286211,1191.333374,-0.0239470005,
1190.666626,-0.02894690447,1190.666626,-0.03208912537,1190.666626,-0.03095568903,1190.666626,-0.02436594665,1190.666626,-0.02394567803,
1190,-0.02895310335,1190,-0.03212364763,1190,-0.03096229397,1190,-0.02434646524,1190,-0.0239399448,
1189.333374,-0.02903276868,1189.333374,-0.03218710795,1189.333374,-0.03103676997,1189.333374,-0.02448472567,1189.333374,-0.02402871475,
1188.666626,-0.0290130116,1188.666626,-0.0321607627,1188.666626,-0.03100543842,1188.666626,-0.02438391,1188.666626,-0.02398785949,
1188,-0.0290074423,1188,-0.03225296363,1188,-0.03106236458,1188,-0.02444616333,1188,-0.02404213697,
1187.333374,-0.02893697657,1187.333374,-0.03216927499,1187.333374,-0.03102153912,1187.333374,-0.02440064773,1187.333374,-0.02400745451,
1186.666626,-0.02888316102,1186.666626,-0.03215220571,1186.666626,-0.03096089512,1186.666626,-0.02431851439,1186.666626,-0.02396963537,
1186,-0.02883578464,1186,-0.03217321634,1186,-0.03094633482,1186,-0.02435385622,1186,-0.02394435555,
1185.333374,-0.02888442017,1185.333374,-0.03212687001,1185.333374,-0.03098943457,1185.333374,-0.02437553927,1185.333374,-0.0240077991,
1184.666626,-0.02885210887,1184.666626,-0.03210364655,1184.666626,-0.03095805086,1184.666626,-0.02437089011,1184.666626,-0.0239320565,
1184,-0.02878355607,1184,-0.03210181743,1184,-0.03091118857,1184,-0.02429251932,1184,-0.02384650148,
1183.333374,-0.0287314672,1183.333374,-0.03207349777,1183.333374,-0.03089585528,1183.333374,-0.02432859875,1183.333374,-0.02387668751,
1182.666626,-0.02865320072,1182.666626,-0.0320363231,1182.666626,-0.03081971407,1182.666626,-0.02425961941,1182.666626,-0.02383522876,
1182,-0.02874692529,1182,-0.032119032,1182,-0.03092974983,1182,-0.02443818562,1182,-0.0239326451,
1181.333374,-0.0286728777,1181.333374,-0.03210518509,1181.333374,-0.030878352,1181.333374,-0.02435415052,1181.333374,-0.02386845462,
1180.666626,-0.02878607437,1180.666626,-0.03219258785,1180.666626,-0.03094884194,1180.666626,-0.02442110702,1180.666626,-0.0239515081,
1180,-0.02867098711,1180,-0.03207720071,1180,-0.03088201769,1180,-0.02442556061,1180,-0.02385826223,
1179.333374,-0.02870568633,1179.333374,-0.03210508823,1179.333374,-0.03089585528,1179.333374,-0.02446789108,1179.333374,-0.0239230413,
1178.666626,-0.0286798086,1178.666626,-0.03215768561,1178.666626,-0.0309521202,1178.666626,-0.02449690923,1178.666626,-0.02389741503,
1178,-0.0286499057,1178,-0.03215667605,1178,-0.0309139844,1178,-0.0244965665,1178,-0.02388810553,
1177.333374,-0.02871935256,1177.333374,-0.03223378584,1177.333374,-0.03097718954,1177.333374,-0.02458458766,1177.333374,-0.02397722937,
1176.666626,-0.02868223004,1176.666626,-0.03224037215,1176.666626,-0.03095197678,1176.666626,-0.02460166067,1176.666626,-0.02394670621,
1176,-0.02876669355,1176,-0.03225383162,1176,-0.03096750006,1176,-0.02464867197,1176,-0.02395013534,
1175.333374,-0.02872172743,1175.333374,-0.03230670094,1175.333374,-0.0310071744,1175.333374,-0.02477187291,1175.333374,-0.02396674454,
1174.666626,-0.02869851515,1174.666626,-0.03228886798,1174.666626,-0.03099830449,1174.666626,-0.02469802462,1174.666626,-0.02396561764,
1174,-0.02880114317,1174,-0.03234802932,1174,-0.03100259416,1174,-0.02482184581,1174,-0.02399741299,
1173.333374,-0.02879077569,1173.333374,-0.03236326203,1173.333374,-0.03103812039,1173.333374,-0.02487572655,1173.333374,-0.02401480265,
1172.666626,-0.02873282321,1172.666626,-0.03233159333,1172.666626,-0.03098114207,1172.666626,-0.02487861179,1172.666626,-0.02397634648,
1172,-0.02876402996,1172,-0.03236581013,1172,-0.03102616593,1172,-0.02485582791,1172,-0.02398986928,
1171.333374,-0.02877633646,1171.333374,-0.03238214925,1171.333374,-0.03099174798,1171.333374,-0.02493111603,1171.333374,-0.02400260605,
1170.666626,-0.02882304229,1170.666626,-0.03246272355,1170.666626,-0.03104559146,1170.666626,-0.02500858903,1170.666626,-0.02409572154,
1170,-0.02880715206,1170,-0.03241857141,1170,-0.03101160936,1170,-0.0249682162,1170,-0.02401965298,
1169.333374,-0.02878055163,1169.333374,-0.03247372434,1169.333374,-0.03105841205,1169.333374,-0.02500326186,1169.333374,-0.02403366379,
1168.666626,-0.02886925824,1168.666626,-0.03251624107,1168.666626,-0.03106067702,1168.666626,-0.02510080673,1168.666626,-0.02410561591,
1168,-0.02888088487,1168,-0.03260308504,1168,-0.03114294447,1168,-0.02514292486,1168,-0.02410130575,
1167.333374,-0.02888136916,1167.333374,-0.03256158531,1167.333374,-0.03112222254,1167.333374,-0.02511238679,1167.333374,-0.02408920787,
1166.666626,-0.02891537361,1166.666626,-0.03260471672,1166.666626,-0.03110024706,1166.666626,-0.02516720816,1166.666626,-0.02411438152,
1166,-0.02898811921,1166,-0.03260750324,1166,-0.03116501495,1166,-0.02523574792,1166,-0.02402563021,
1165.333374,-0.02899664268,1165.333374,-0.03264731541,1165.333374,-0.03110583685,1165.333374,-0.02522324398,1165.333374,-0.02417897619,
1164.666626,-0.02900351956,1164.666626,-0.03267161548,1164.666626,-0.03119802102,1164.666626,-0.02530442551,1164.666626,-0.02421535924,
1164,-0.02896642312,1164,-0.03265682235,1164,-0.03112525865,1164,-0.02526173554,1164,-0.02413029969,
1163.333374,-0.02907276526,1163.333374,-0.03270834684,1163.333374,-0.03115465492,1163.333374,-0.02536576614,1163.333374,-0.02416717447,
1162.666626,-0.02907305583,1162.666626,-0.03279265389,1162.666626,-0.03124278225,1162.666626,-0.02543642372,1162.666626,-0.02423352376,
1162,-0.0290368367,1162,-0.03278598189,1162,-0.03121849895,1162,-0.02542748861,1162,-0.02421888337,
1161.333374,-0.02911619656,1161.333374,-0.03282592446,1161.333374,-0.03125651181,1161.333374,-0.02550721727,1161.333374,-0.02426084317,
1160.666626,-0.02905344591,1160.666626,-0.03277781978,1160.666626,-0.03126706183,1160.666626,-0.02552796528,1160.666626,-0.02422985062,
1160,-0.02906758524,1160,-0.03276389837,1160,-0.03127192706,1160,-0.02558600344,1160,-0.02425271645,
1159.333374,-0.02904250287,1159.333374,-0.03277196363,1159.333374,-0.03129866347,1159.333374,-0.02561709471,1159.333374,-0.02422564104,
1158.666626,-0.02913343161,1158.666626,-0.03287713975,1158.666626,-0.03137515485,1158.666626,-0.02576900274,1158.666626,-0.02434945107,
1158,-0.02911808342,1158,-0.03294308111,1158,-0.03143636882,1158,-0.02587310597,1158,-0.0243997667,
1157.333374,-0.02907533199,1157.333374,-0.0329198055,1157.333374,-0.03151798621,1157.333374,-0.02600459196,1157.333374,-0.02446329221,
1156.666626,-0.02911169268,1156.666626,-0.0329298377,1156.666626,-0.03159159794,1156.666626,-0.02617766522,1156.666626,-0.02464118786,
1156,-0.0291175507,1156,-0.03290420771,1156,-0.03175764531,1156,-0.02637941577,1156,-0.02468609065,
1155.333374,-0.02906395309,1155.333374,-0.03301971406,1155.333374,-0.03184849024,1155.333374,-0.02670757286,1155.333374,-0.02476003766,
1154.666626,-0.02905983664,1154.666626,-0.03328948095,1154.666626,-0.03203483298,1154.666626,-0.02705046535,1154.666626,-0.02478791215,
1154,-0.02879862487,1154,-0.03339170292,1154,-0.03187899292,1154,-0.02722623572,1154,-0.02476018481,
1153.333374,-0.0283410605,1153.333374,-0.03331278265,1153.333374,-0.03149280325,1153.333374,-0.02717444673,1153.333374,-0.02453566156,
1152.666626,-0.02767229639,1152.666626,-0.03286297992,1152.666626,-0.0307733193,1152.666626,-0.02676428668,1152.666626,-0.02397688664,
1152,-0.02699495852,1152,-0.03234582022,1152,-0.02995813638,1152,-0.02620715462,1152,-0.02334081009,
1151.333374,-0.02672987059,1151.333374,-0.03210965544,1151.333374,-0.02941399068,1151.333374,-0.02589525096,1151.333374,-0.02295141853,
1150.666626,-0.02675279789,1150.666626,-0.03193647787,1150.666626,-0.02918866649,1150.666626,-0.02568434551,1150.666626,-0.02289410681,
1150,-0.026894724,1150,-0.03194528073,1150,-0.02925715782,1150,-0.02563944645,1150,-0.0229348205,
1149.333374,-0.02730169706,1149.333374,-0.03206599504,1149.333374,-0.02947823703,1149.333374,-0.02568668686,1149.333374,-0.02315035462,
1148.666626,-0.02776618302,1148.666626,-0.03227454796,1148.666626,-0.02982847206,1148.666626,-0.02588413097,1148.666626,-0.02346374281,
1148,-0.02821105905,1148,-0.03245148063,1148,-0.03020397201,1148,-0.02598040365,1148,-0.02359953895,
1147.333374,-0.02852004208,1147.333374,-0.03259741515,1147.333374,-0.03043248691,1147.333374,-0.02605569176,1147.333374,-0.02380832285,
1146.666626,-0.02874435671,1146.666626,-0.03269250318,1146.666626,-0.03056298383,1146.666626,-0.02593626827,1146.666626,-0.02392970584,
