non-imine polymer t=48hrs FeCl3 0uM,,non-imine polymer t=48hrs FeCl3 5uM,,non-imine polymer t=48hrs FeCl3 20uM,,non-imine polymer t=48hrs FeCl3 50uM,,non-imine polymer t=48hrs FeCl3 100uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1200,2.215895438E-005,1200,-0.0008871373138,1200,-0.001453753444,1200,-0.001687278971,1200,-0.002360431477,
1199.333374,5.695286382E-005,1199.333374,-0.0008838823414,1199.333374,-0.001457726466,1199.333374,-0.001663968083,1199.333374,-0.002392200287,
1198.666626,7.103690587E-005,1198.666626,-0.0008827456622,1198.666626,-0.001429501222,1198.666626,-0.001632042695,1198.666626,-0.002327424241,
1198,8.178147255E-005,1198,-0.0008651785902,1198,-0.00140514446,1198,-0.001622758573,1198,-0.002305074828,
1197.333374,0.0001115569612,1197.333374,-0.0008944738656,1197.333374,-0.001400190406,1197.333374,-0.001523251645,1197.333374,-0.002213347238,
1196.666626,4.657135287E-005,1196.666626,-0.0007674100343,1196.666626,-0.001452153781,1196.666626,-0.001559363562,1196.666626,-0.002268046141,
1196,9.340661927E-005,1196,-0.0007946965052,1196,-0.00138728891,1196,-0.001612700638,1196,-0.002239152323,
1195.333374,0.0001719945431,1195.333374,-0.0007406903896,1195.333374,-0.00137691584,1195.333374,-0.001515564509,1195.333374,-0.002236165106,
1194.666626,0.0001165801586,1194.666626,-0.0007817769656,1194.666626,-0.001428469201,1194.666626,-0.00155931199,1194.666626,-0.002264286391,
1194,0.0001280249853,1194,-0.0007977971109,1194,-0.001416961779,1194,-0.001521239523,1194,-0.002276183339,
1193.333374,8.473303751E-005,1193.333374,-0.0008275103173,1193.333374,-0.001449109521,1193.333374,-0.001556371571,1193.333374,-0.002331955824,
1192.666626,0.0001148194497,1192.666626,-0.0007795030833,1192.666626,-0.001479190891,1192.666626,-0.001558073913,1192.666626,-0.0023418942,
1192,0.0001199980397,1192,-0.0008269419195,1192,-0.00155157398,1192,-0.001603055047,1192,-0.002355385339,
1191.333374,0.0001289830398,1191.333374,-0.0008175372495,1191.333374,-0.001518711564,1191.333374,-0.00161239109,1191.333374,-0.002384013729,
1190.666626,0.0001744028996,1190.666626,-0.0008088558679,1190.666626,-0.001501273364,1190.666626,-0.001547240652,1190.666626,-0.002342872554,
1190,0.0001207748355,1190,-0.0008551547071,1190,-0.001566998311,1190,-0.001589540509,1190,-0.002441007877,
1189.333374,0.0001823531493,1189.333374,-0.0008505560691,1189.333374,-0.001537541975,1189.333374,-0.001585413935,1189.333374,-0.002383189974,
1188.666626,0.0002274936851,1188.666626,-0.0008097860264,1188.666626,-0.001553070033,1188.666626,-0.001564780134,1188.666626,-0.002375157783,
1188,0.0001750762021,1188,-0.0009447931079,1188,-0.001576386741,1188,-0.001610121573,1188,-0.002445950173,
1187.333374,0.00022650951,1187.333374,-0.0009035668918,1187.333374,-0.00162033434,1187.333374,-0.001580204,1187.333374,-0.002449038904,
1186.666626,0.0002666814544,1186.666626,-0.0008966954774,1186.666626,-0.001603983459,1186.666626,-0.001524025458,1186.666626,-0.002407388994,
1186,0.0002907967719,1186,-0.0008827973506,1186,-0.001571228262,1186,-0.001509425114,1186,-0.002464482794,
1185.333374,0.0003234102332,1185.333374,-0.0008626984782,1185.333374,-0.001557764364,1185.333374,-0.001489716349,1185.333374,-0.002347094938,
1184.666626,0.0003371920611,1184.666626,-0.000880162348,1184.666626,-0.001556784264,1184.666626,-0.001445239526,1184.666626,-0.002350545023,
1184,0.0003662337258,1184,-0.0008861040114,1184,-0.001557351672,1184,-0.001389301615,1184,-0.002320678206,
1183.333374,0.0004774701956,1183.333374,-0.0008347962284,1183.333374,-0.001483731321,1183.333374,-0.001298206393,1183.333374,-0.002233538311,
1182.666626,0.0004120152444,1182.666626,-0.0008832106832,1182.666626,-0.001534343464,1182.666626,-0.001288347412,1182.666626,-0.002230087295,
1182,0.0005078429822,1182,-0.0008749439148,1182,-0.001470109913,1182,-0.001150916913,1182,-0.00216477178,
1181.333374,0.0006021884037,1181.333374,-0.0008097860264,1181.333374,-0.001322465949,1181.333374,-0.001014992595,1181.333374,-0.00199922407,
1180.666626,0.0006966580404,1180.666626,-0.0007323691971,1180.666626,-0.001278694603,1180.666626,-0.0009295532946,1180.666626,-0.00193980115,
1180,0.0006571722333,1180,-0.0008285954827,1180,-0.001311213826,1180,-0.0008794390014,1180,-0.001921916031,
1179.333374,0.0006925096386,1179.333374,-0.0008169171633,1179.333374,-0.001295780414,1179.333374,-0.0007808984374,1179.333374,-0.001809433918,
1178.666626,0.0007322579622,1178.666626,-0.0008105611196,1178.666626,-0.00124137185,1178.666626,-0.0006611418794,1178.666626,-0.001769991242,
1178,0.000794675143,1178,-0.0008091142518,1178,-0.001207350288,1178,-0.000608463306,1178,-0.00170512218,
1177.333374,0.0008331101271,1177.333374,-0.0007879267214,1177.333374,-0.001199502731,1177.333374,-0.0005113608786,1177.333374,-0.001636787783,
1176.666626,0.0009199254564,1176.666626,-0.000753404398,1176.666626,-0.001121845562,1176.666626,-0.0003880125878,1176.666626,-0.001553224749,
1176,0.000974456605,1176,-0.0006816118839,1176,-0.001070410595,1176,-0.0002408280416,1176,-0.001417323016,
1175.333374,0.001012206892,1175.333374,-0.0007244097069,1175.333374,-0.0010654527,1175.333374,-0.0001946188713,1175.333374,-0.001441833912,
1174.666626,0.001029928681,1174.666626,-0.0006909677759,1174.666626,-0.001066175755,1174.666626,-0.0001111918828,1174.666626,-0.001358697773,
1174,0.001025024569,1174,-0.0007143825642,1174,-0.001040662406,1174,-4.690284186E-005,1174,-0.001310542808,
1173.333374,0.001081489259,1173.333374,-0.0006414980162,1173.333374,-0.001016077236,1173.333374,5.314714508E-005,1173.333374,-0.00124668912,
1172.666626,0.001130538527,1172.666626,-0.0006640366628,1172.666626,-0.001028163359,1172.666626,0.0001379423484,1172.666626,-0.001241268707,
1172,0.00109765667,1172,-0.0005881966208,1172,-0.0009590508416,1172,0.0001929450955,1172,-0.001176785328,
1171.333374,0.001136689447,1171.333374,-0.0005802345113,1171.333374,-0.000982244499,1171.333374,0.0003202757216,1171.333374,-0.001107180025,
1170.666626,0.001203915104,1170.666626,-0.000546160969,1170.666626,-0.0009431916405,1170.666626,0.0004140103702,1170.666626,-0.001079551643,
1170,0.001193973352,1170,-0.0005371639272,1170,-0.0009256786434,1170,0.000519609137,1170,-0.001035342575,
1169.333374,0.00118460285,1169.333374,-0.0005529345362,1169.333374,-0.0008991754148,1169.333374,0.0005991814542,1169.333374,-0.001017368515,
1168.666626,0.00122029474,1168.666626,-0.0005550545175,1168.666626,-0.0008761839126,1168.666626,0.000679364719,1168.666626,-0.001006986597,
1168,0.001184836496,1168,-0.0005768737756,1168,-0.0009085783386,1168,0.0007322060992,1168,-0.0009728432633,
1167.333374,0.001217309502,1167.333374,-0.0005488497554,1167.333374,-0.0008411002345,1167.333374,0.0008346402901,1167.333374,-0.0009100765456,
1166.666626,0.001225019339,1166.666626,-0.0005741852219,1166.666626,-0.0008565498283,1166.666626,0.0009844452143,1166.666626,-0.000886827358,
1166,0.001346135279,1166,-0.0004609397147,1166,-0.0007768158102,1166,0.001052711043,1166,-0.0007956266636,
1165.333374,0.001267516403,1165.333374,-0.0005236162106,1165.333374,-0.000781673647,1165.333374,0.001111618825,1165.333374,-0.0007503034431,
1164.666626,0.001290441141,1164.666626,-0.0005348370178,1164.666626,-0.0007593478076,1164.666626,0.001111359335,1164.666626,-0.000758572598,
1164,0.00124968111,1164,-0.0006093938719,1164,-0.0008462673868,1164,0.00112903316,1164,-0.0008018795634,
1163.333374,0.001322948025,1163.333374,-0.000627798494,1163.333374,-0.0007733532693,1163.333374,0.001250615693,1163.333374,-0.0006662594387,
1162.666626,0.001309446408,1162.666626,-0.0005835951306,1162.666626,-0.0007928361301,1162.666626,0.001267750049,1162.666626,-0.0006868842756,
1162,0.001277304022,1162,-0.0006390166236,1162,-0.0007947481936,1162,0.001238544239,1162,-0.0006901407614,
1161.333374,0.001295815455,1161.333374,-0.0005742369103,1161.333374,-0.0007483395166,1161.333374,0.001345252502,1161.333374,-0.0006123407511,
1160.666626,0.001255781855,1160.666626,-0.0006936039426,1160.666626,-0.0008139200509,1160.666626,0.001286884188,1160.666626,-0.0006039654254,
1160,0.001246617758,1160,-0.0007030112902,1160,-0.0008392400341,1160,0.001271592453,1160,-0.0006269196165,
1159.333374,0.001224110718,1159.333374,-0.0007567637367,1159.333374,-0.0008560848073,1159.333374,0.001276447321,1159.333374,-0.0006192166475,
1158.666626,0.001122155576,1158.666626,-0.0009120914037,1158.666626,-0.0009583792998,1158.666626,0.001190754701,1158.666626,-0.000669877918,
1158,0.00100730313,1158,-0.0009443281451,1158,-0.0009990837425,1158,0.001126126386,1158,-0.0006440310972,
1157.333374,0.0009599800105,1157.333374,-0.0009364241851,1157.333374,-0.001065401128,1157.333374,0.001099032117,1157.333374,-0.0005413005129,
1156.666626,0.0007924189558,1156.666626,-0.001169401803,1156.666626,-0.001092307386,1156.666626,0.0008796671173,1156.666626,-0.0005616727867,
1156,0.0006092910771,1156,-0.001324014273,1156,-0.001304090722,1156,0.0006968654343,1156,-0.0006130128168,
1155.333374,0.0004661198182,1155.333374,-0.001600733842,1155.333374,-0.001554617542,1155.333374,0.0004643058637,1155.333374,-0.0008108711918,
1154.666626,0.0003270629095,1154.666626,-0.001784943743,1154.666626,-0.001986082643,1154.666626,0.0003216745972,1154.666626,-0.0009964494966,
1154,0.0003318036324,1154,-0.00182479748,1154,-0.002251307713,1154,0.0002106334287,1154,-0.001092307386,
1153.333374,0.0003022202582,1153.333374,-0.001836139476,1153.333374,-0.002542775357,1153.333374,8.292066923E-005,1153.333374,-0.001230014488,
1152.666626,0.0003739025269,1152.666626,-0.001801803475,1152.666626,-0.00273548672,1152.666626,4.639013423E-005,1152.666626,-0.001361381495,
1152,0.0007047475083,1152,-0.001653859508,1152,-0.002675135154,1152,0.0002042624255,1152,-0.00125309045,
1151.333374,0.0009347379673,1151.333374,-0.001289534615,1151.333374,-0.002456966788,1151.333374,0.0004444564402,1151.333374,-0.001104907831,
1150.666626,0.001169236843,1150.666626,-0.0009785253787,1150.666626,-0.002063688589,1150.666626,0.0006926652277,1150.666626,-0.0007341781748,
1150,0.001270294306,1150,-0.0008643002366,1150,-0.001782520441,1150,0.0006352400524,1150,-0.0005824060063,
1149.333374,0.001391137252,1149.333374,-0.000735005131,1149.333374,-0.001461080392,1149.333374,0.0007179710083,1149.333374,-0.0004009438271,
1148.666626,0.001518170349,1148.666626,-0.0005864904961,1148.666626,-0.001115752151,1148.666626,0.0008357036859,1148.666626,-0.000216352797,
1148,0.001576803508,1148,-0.000496105873,1148,-0.00089132227,1148,0.0009339337703,1148,-6.967943773E-005,
1147.333374,0.001585532911,1147.333374,-0.0003707876022,1147.333374,-0.0007244097069,1147.333374,0.0008257703739,1147.333374,-3.624020337E-006,
1146.666626,0.001506740809,1146.666626,-0.0002745633246,1146.666626,-0.0005855081254,1146.666626,0.0008405796252,1146.666626,8.602759044E-005,
1146,0.001472895499,1146,-0.0002404140832,1146,-0.0004387008375,1146,0.0007736436673,1146,0.0001803073101,
1145.333374,0.001532457769,1145.333374,-0.0001825612417,1145.333374,-0.0003179186024,1145.333374,0.000711203611,1145.333374,0.0002525133605,
1144.666626,0.001578518189,1144.666626,-0.0001195249497,1144.666626,-0.0001191108895,1144.666626,0.0007545321132,1144.666626,0.0003273219627,
1144,0.001625311095,1144,-3.732596088E-005,1144,6.32699157E-005,1144,0.0008341216017,1144,0.0004337288265,
1143.333374,0.001697186148,1143.333374,7.815677236E-005,1143.333374,0.0002659561869,1143.333374,0.0009001590079,1143.333374,0.000608642993,
