laccase enzyme _ model compound (0.34 mg_ml) time 0hrs,,AU-030-A1 + enzyme time 4hrs,,AU-030-A1 + enzyme time 4hrs1,,2023_10_26_AU-030-A1 + enzyme 23 hrs,,AU-030-A1 + enzyme 48 hrs,,AU-030-A1 + enzyme 48 hrs1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
650,0.01593792997,650,0.1634640247,650,0.1836210042,650,0.2369917929,650,0.2703638971,650,0.2653676271,
649.333313,0.01593148522,649.3330078,0.1633383036,649.3330078,0.1835474074,649.333313,0.237010166,649.333313,0.2703106999,649.333313,0.2653505206,
648.666687,0.01602749527,648.6660156,0.1634302288,648.6660156,0.1836346835,648.666687,0.2369286716,648.666687,0.2702742219,648.666687,0.265322566,
648,0.01598422788,647.9990234,0.1632924825,647.9990234,0.1835192442,648,0.2369238585,648,0.2702357471,648,0.2652550936,
647.333313,0.01601054706,647.3319702,0.163283512,647.3319702,0.1835157722,647.333313,0.2368991077,647.333313,0.2701769173,647.333313,0.2652524412,
646.666687,0.01603125595,646.664978,0.1632814854,646.664978,0.1834767461,646.666687,0.2368795425,646.666687,0.2701965272,646.666687,0.2651920915,
646,0.01600498706,645.9979858,0.1631722301,645.9979858,0.1834186167,646,0.2367785275,646,0.2701560855,646,0.2651282549,
645.333313,0.01601438783,645.3309937,0.1631245166,645.3309937,0.1833540946,645.333313,0.2367377728,645.333313,0.2701052129,645.333313,0.265067488,
644.666687,0.01599907875,644.6640015,0.1631023288,644.6640015,0.1833065599,644.666687,0.2367653549,644.666687,0.2701216936,644.666687,0.2650541067,
644,0.01604884863,643.9970093,0.1630429775,643.9970093,0.183287099,644,0.2367168665,644,0.2700427175,644,0.2649736106,
643.333313,0.01606085524,643.3300171,0.1629952788,643.3300171,0.1831860095,643.333313,0.2366860211,643.333313,0.2700409591,643.333313,0.2649247646,
642.666687,0.01604538411,642.6630249,0.1629170328,642.6630249,0.1831850559,642.666687,0.2366384864,642.666687,0.2699868083,642.666687,0.2649028003,
642,0.01604272425,641.9959717,0.1628785282,641.9959717,0.1831094921,642,0.2366213799,642,0.2699064612,642,0.2648312151,
641.333313,0.01608368754,641.3289795,0.1628120542,641.3289795,0.1830781102,641.333313,0.2365425229,641.333313,0.269878149,641.333313,0.2648031712,
640.666687,0.01604600251,640.6619873,0.1627760231,640.6619873,0.1829915494,640.666687,0.2365000397,640.666687,0.2698521018,640.666687,0.2647232115,
640,0.01603969,639.9949951,0.162784189,639.9949951,0.1829196811,640,0.236482501,640,0.2697709799,640,0.264760524,
639.333313,0.01607178897,639.3280029,0.1627667546,639.3280029,0.1828898937,639.333313,0.2364495248,639.333313,0.269789964,639.333313,0.2647585273,
638.666687,0.01602279581,638.6610107,0.1627367437,638.6610107,0.1828153282,638.666687,0.2364245355,638.666687,0.2696584463,638.666687,0.2646555007,
